# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.65089, -2.38008, -2.41307, -3.05288, -3.36685, -3.37058, -1.46829, -0.828819, -2.51721, -2.78905, -2.66957, -3.11205, -0.613895, 0.859752, -1.67732, -1.3804, -0.165709, 1.48589, -0.0491468, -0.703167, 0.531818, -0.496433, -1.45327, -0.674647, -1.87564, -1.31762, -2.38972, -0.899468, -0.983874, -0.144809
0.02, 0.0319375, -3.1758, -2.26219, -2.33661, -3.13358, -3.16962, -3.83304, -0.760092, -0.344922, -2.7818, -2.78059, -2.80199, -2.81218, -0.233946, 0.597005, -1.83881, -0.923429, 0.496102, 1.3218, -0.321005, -0.68998, 0.314889, -1.15334, -1.27827, -0.363093, -1.29993, -1.04196, -1.58811, -0.290957, -0.586061, -0.0483461
0.04, 0.0319375, -2.86947, -2.67152, -2.04908, -3.05225, -3.54769, -3.15579, -0.616573, -1.13919, -3.1515, -2.89062, -2.96423, -2.60655, 0.301036, 0.452645, -1.33776, -1.41316, 0.46969, 1.32018, -1.18267, -0.61251, 0.64391, -0.63251, -1.26125, -0.853754, -1.59115, -1.50946, -1.5955, -0.549742, -0.845601, -0.439132
0.06, 0.0319375, -1.87146, -2.27184, -2.75146, -4.03892, -3.17206, -2.40793, 0.195952, -0.382339, -2.73809, -3.29679, -3.2285, -2.66477, 0.453038, 0.365622, -2.07759, -1.67584, 0.479229, 1.23226, -0.669605, -0.179832, 0.785219, -1.40148, -0.813342, -0.69499, -1.61347, -1.00656, -1.64336, -0.842663, -0.46347, -0.386353
0.08, 0.0319375, -2.93993, -2.39789, -2.5555, -3.44617, -3.58654, -2.49296, 0.118864, -1.02036, -3.11818, -3.28667, -3.08076, -2.60641, 0.372974, 0.0493572, -2.22874, -2.41745, 0.54329, 0.716517, -1.50488, -0.15508, 0.527447, -1.42519, -0.956559, -1.32121, -1.35712, -0.835727, -1.64053, -1.00159, -0.438529, -0.30574
0.1, 0.0319375, -2.00883, -2.53798, -2.62687, -3.76968, -3.55593, -2.23275, -0.279825, -1.95826, -3.49965, -3.19338, -3.18618, -2.41635, 0.401603, -0.453887, -2.4213, -1.83842, 0.929888, 0.873369, -2.38333, 0.293278, 0.442799, -1.72448, -0.3511, -1.39385, -1.39309, -1.42858, -1.06114, -0.737119, -0.638575, 0.0797797
0.12, 0.0319375, -2.18199, -2.73898, -3.02973, -3.47873, -3.29131, -1.73619, -0.392191, -2.33645, -3.26418, -2.96488, -3.53963, -2.03998, 0.336504, -0.704136, -2.28832, -1.48231, 0.580229, 0.410985, -2.1893, 0.686661, 0.301995, -1.34776, -0.627462, -1.9054, -0.946243, -1.80356, -0.955181, -0.901049, -0.65695, 0.0809887
0.14, 0.0319375, -2.87803, -2.45419, -3.40571, -3.36455, -3.23007, -1.48601, -0.704518, -1.97235, -3.30173, -3.21873, -3.64213, -0.815299, 0.428213, -1.36066, -2.30981, -1.00031, 0.98343, 0.0119145, -1.44787, 0.571355, -0.39744, -1.55972, -0.948931, -1.52853, -1.02758, -1.70073, -0.487542, -1.14514, -0.757806, 0.440455
0.16, 0.0319375, -3.05781, -2.9111, -2.65799, -3.01614, -2.71125, -1.32764, -1.01428, -3.08762, -3.52447, -4.20463, -3.0204, -0.447384, 0.0580311, -1.97076, -2.74126, -1.0369, 0.651361, -0.57996, -1.44081, 0.352299, -0.79111, -1.51691, -0.900697, -1.92737, -1.5199, -1.55288, -0.665865, -0.727465, -0.728103, 0.0370369
0.18, 0.0319375, -3.01932, -2.28183, -2.57923, -3.25234, -2.90393, -1.14386, -0.486578, -2.97698, -3.578, -3.6476, -3.21481, -0.259878, 0.500113, -2.083, -3.28405, -0.422608, 0.609534, -1.26241, -0.898859, 0.879311, -0.725882, -1.46536, -1.18516, -1.84265, -1.81569, -1.23389, -0.544465, -0.781208, -0.863482, -0.0301341
0.2, 0.0319375, -2.99211, -2.444, -2.36309, -3.12571, -3.64536, -0.862979, -0.641893, -2.83411, -3.00178, -3.3668, -3.30709, -0.0164792, 0.163308, -1.73286, -2.83935, -1.34616, -0.0932144, -1.00247, -1.24298, 0.332634, -1.30631, -1.48254, -1.66339, -1.85914, -1.45373, -1.59992, -1.00667, -1.29568, -1.20945, -0.242753
0.22, 0.0319375, -3.78812, -2.32297, -2.46455, -3.50802, -3.18996, -0.784875, -0.443212, -2.9305, -3.37849, -3.37126, -3.07771, 0.0274777, 0.10205, -1.81091, -2.46118, -1.8673, -1.28858, -1.90408, -1.54377, -0.0224604, -1.57907, -2.04549, -1.75291, -2.02994, -1.87681, -1.56435, -0.84484, -1.42688, -1.54976, -1.24017
0.24, 0.0319375, -2.9233, -2.46422, -2.773, -3.07971, -3.35505, -1.02327, -0.569022, -2.86298, -2.68626, -3.06018, -2.86707, -0.293375, -0.0601701, -2.57862, -2.95876, -1.16798, -0.584171, -1.96917, -1.70435, -0.152149, -1.87814, -2.31177, -2.1002, -1.96969, -1.74686, -1.29871, -0.664152, -1.95456, -1.78122, -1.22429
0.26, 0.0319375, -3.22096, -2.64637, -2.23753, -2.59083, -2.88785, -1.36197, -0.989133, -3.31343, -2.61551, -3.35925, -2.68412, -0.746255, -0.591107, -2.45494, -2.77906, -0.590014, 0.239212, -2.15514, -2.30089, -1.50979, -2.87812, -2.5069, -2.24215, -2.40908, -1.85618, -1.97952, -1.47759, -2.09466, -2.13867, -1.42991
0.28, 0.0319375, -2.05687, -2.36734, -2.33313, -3.85708, -3.36618, -1.97213, -0.940659, -2.82122, -3.20909, -2.98357, -3.63522, -1.76059, -0.999683, -2.7237, -2.95998, -1.02165, 0.0595589, -1.63482, -2.41135, -0.881571, -1.97561, -2.00907, -1.86908, -1.97605, -1.8009, -2.0089, -1.6654, -2.22592, -2.15504, -1.63774
0.3, 0.0319375, -2.72544, -2.24229, -2.3747, -3.4345, -2.8103, -1.74845, -0.914242, -2.63059, -2.47521, -2.16965, -2.67668, -1.35017, -0.244046, -2.22238, -2.09353, -1.34764, -0.446001, -2.55691, -2.4529, -1.79156, -3.12145, -2.74513, -2.5627, -2.68598, -1.94901, -2.26964, -2.07261, -2.21352, -2.2226, -1.81239
0.32, 0.0319375, -2.94031, -1.92917, -2.23387, -3.377, -3.44776, -1.7892, -1.25546, -3.17535, -2.72338, -2.72934, -2.90788, -1.52017, -1.02457, -2.42127, -2.37901, -1.89987, -0.98258, -2.3013, -2.53603, -1.82748, -2.60133, -2.83155, -2.79171, -2.25299, -1.43746, -2.06315, -2.25359, -2.34601, -2.47466, -1.62382
0.34, 0.0319375, -2.70736, -2.45404, -2.02273, -2.83733, -2.63532, -1.60462, -1.09546, -2.64791, -3.0839, -2.74394, -2.5917, -1.53257, -0.803391, -2.463, -2.51444, -2.03796, -0.997691, -2.82757, -2.53284, -2.19864, -2.55146, -2.71748, -2.5283, -2.56323, -2.36681, -2.40363, -2.37888, -2.01335, -2.12299, -2.39036
0.36, 0.0319375, -2.64023, -2.91077, -2.43724, -3.91041, -3.30565, -2.02193, -1.72249, -2.68655, -2.65243, -3.03487, -2.51815, -2.24729, -1.59136, -2.89455, -2.92996, -2.55314, -1.72077, -2.51909, -3.00432, -2.0888, -2.99188, -2.9634, -2.52389, -2.44772, -2.10241, -2.57215, -2.44853, -2.2902, -2.08601, -2.11305
0.38, 0.0319375, -2.89218, -2.09028, -2.20071, -3.40601, -2.99521, -2.57409, -2.53819, -2.79954, -2.75571, -2.5198, -2.95045, -2.28517, -1.59548, -2.88357, -2.93459, -2.4784, -2.32933, -3.0237, -3.17219, -2.85281, -3.0316, -3.20891, -2.79169, -2.65635, -2.40132, -2.4131, -2.34656, -2.35262, -2.5005, -2.54046
0.4, 0.0319375, -3.25737, -2.4606, -2.48023, -3.3642, -2.38063, -2.60449, -3.03674, -2.7188, -2.66871, -3.05683, -2.85584, -1.91679, -1.52914, -2.99115, -3.05274, -2.95564, -3.1294, -3.11057, -2.89365, -3.05655, -2.67528, -2.93655, -2.91963, -2.60082, -2.45273, -2.67588, -2.53255, -2.44499, -2.38133, -2.60246
0.42, 0.0319375, -2.48583, -2.24125, -2.0689, -2.8406, -3.03724, -3.03074, -2.89323, -3.26593, -2.70874, -2.51466, -2.8424, -2.25075, -2.35711, -2.19719, -3.33255, -3.28053, -2.72334, -3.43865, -3.2329, -2.75286, -3.0215, -2.79437, -2.586, -2.5943, -2.58503, -2.60953, -2.32225, -2.38345, -2.5694, -2.50865
