# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.1666, 0.0649085, 0.32561, -0.33029, 0.568447, 0.298245, 0.071588, 0.51597, 0.864822, 1.99203, 1.44094, 2.08447, 2.41486, 1.93828, 1.98898, 2.29221, 2.47414, 1.54392, 1.54052, 1.9176, 1.84426, 1.04653, 1.30984, 1.54888, 2.3496, 2.47839, 2.97577, 3.48744, 3.69493, 3.37696
0.02, 0.0319375, -0.486402, -0.104402, -0.725721, -0.0558779, -0.863028, -0.0993131, -0.43768, 0.735215, 1.94272, 2.79961, 1.83199, 2.12574, 2.12869, 1.83312, 2.042, 2.09882, 2.0908, 1.49064, 1.28268, 1.55888, 1.48458, 1.50779, 1.7737, 1.92618, 2.24922, 2.57096, 3.12353, 3.6875, 4.18185, 3.65985
0.04, 0.0319375, -1.38636, 0.498554, 0.365466, -1.60806, -1.00582, 0.35668, 0.507213, 1.71261, 2.42124, 2.72953, 3.0953, 2.33158, 2.31342, 2.27346, 2.06472, 3.11748, 2.6257, 1.70165, 1.55273, 1.4938, 1.59178, 1.68259, 1.94732, 2.10582, 2.55648, 2.8152, 3.10987, 3.64999, 3.73794, 3.36444
0.06, 0.0319375, -1.09022, -0.280291, -0.455213, -1.10583, 0.00810714, -0.13756, 0.193881, 1.19353, 1.57363, 2.07704, 1.80826, 2.44672, 2.22033, 1.93659, 1.79388, 2.16131, 1.97826, 1.84529, 1.58074, 1.70094, 1.95769, 1.40903, 1.32123, 1.9667, 2.58763, 3.15384, 3.55733, 3.66319, 3.73933, 3.36396
0.08, 0.0319375, -0.295501, 0.169363, 0.75529, 0.527537, -0.416061, 0.352045, 1.06199, 0.719784, 2.87978, 3.18429, 2.4804, 2.15723, 2.60465, 1.87114, 1.64911, 2.40451, 2.34235, 2.06517, 2.3859, 2.14625, 1.87896, 1.53137, 1.59904, 1.98418, 2.28115, 3.03706, 3.58308, 3.925, 4.01337, 3.78892
0.1, 0.0319375, 1.2425, 1.40842, 0.648359, 0.947149, 0.667517, 0.277849, 0.138993, 2.36346, 2.95821, 3.15142, 2.79636, 3.25741, 3.34949, 3.2223, 2.88483, 3.67764, 2.85481, 3.0162, 2.70009, 2.59207, 1.99272, 2.18887, 1.98324, 2.35585, 2.54729, 3.09617, 3.29175, 3.67284, 3.47234, 3.41529
0.12, 0.0319375, 1.09334, 1.20966, 0.416605, 1.23582, 1.05295, -0.00993799, 0.621623, 2.50052, 3.02518, 3.17357, 2.79156, 3.33003, 4.1054, 3.80895, 3.25126, 3.40438, 2.45689, 2.88791, 2.55402, 2.27198, 2.19408, 1.99197, 2.34216, 2.74555, 2.9427, 3.08276, 3.74759, 3.87071, 3.53184, 3.41667
0.14, 0.0319375, 0.721319, 0.764024, 1.30369, 1.68205, 1.44087, 1.23382, 1.68972, 2.95758, 3.42777, 3.48032, 3.36082, 3.47379, 3.9097, 3.68927, 2.91558, 3.22759, 2.78411, 2.31053, 2.10533, 2.39084, 1.84053, 1.88808, 2.23851, 2.51703, 2.44718, 2.94838, 3.35386, 3.36466, 3.27848, 3.45182
0.16, 0.0319375, -0.265962, 0.489225, 0.380856, 1.28367, 1.9427, 2.07056, 2.12957, 3.23637, 2.83578, 3.4097, 2.14382, 2.56359, 3.24335, 3.26476, 3.02146, 3.33663, 3.08367, 2.44683, 2.44629, 1.99638, 1.6792, 1.77612, 1.81343, 2.22773, 2.33121, 3.10575, 3.17625, 3.24647, 3.23358, 3.05428
0.18, 0.0319375, 0.163077, 1.04417, 0.713002, 0.489611, 1.7201, 2.3999, 1.78479, 2.74111, 2.45038, 2.01559, 2.08241, 2.14455, 2.86964, 2.88343, 2.6729, 3.02092, 2.5054, 2.22083, 2.1997, 2.54492, 1.80847, 1.6091, 1.71241, 2.08982, 2.45414, 3.02286, 3.13854, 3.5402, 3.5203, 3.53846
