# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.960194, -1.28187, 0.158549, -0.213, -0.312889, -0.6392, -0.263273, -0.113256, 0.0606448, -0.0509496, -1.08237, -0.50009, -0.527595, -1.00354, -0.894608, -0.553843, -0.626158, -0.806119, -0.77813, -0.82393, -0.751, -1.02525, -0.495417, -0.0749698, -0.315962, -0.572534, -1.18286, -0.966775, -0.418408, 0.167328
0.02, 0.0319375, -1.7651, -0.83957, 0.153011, -0.603718, -0.674027, -0.824949, -0.0923558, 0.0635423, -0.159065, 0.108967, -0.545966, -0.619896, -0.542861, -0.679666, -0.0866286, -0.32355, -0.840744, -0.640516, -0.555952, -0.614857, -0.786654, -0.409959, -0.673121, -0.28291, -0.527494, -0.580039, -1.10412, -0.554014, -0.35375, -0.104056
0.04, 0.0319375, -0.870111, -0.671451, -0.0812759, -1.19972, -1.11501, -0.706208, -0.589329, -0.335245, -0.818626, -0.611063, -0.653277, -0.943085, -0.652933, -0.513777, -1.0473, -0.631544, -0.567757, -0.739837, -1.06609, -1.20219, -0.870618, -0.602731, -0.789596, -0.159482, -0.278285, -0.542325, -0.898537, -0.713501, -0.349606, 0.0650789
0.06, 0.0319375, -1.57118, -1.95437, -0.373849, -1.57687, -1.7831, -1.15105, -0.623126, -0.928453, -0.856548, -0.501967, -1.1577, -0.617567, -0.564189, -1.02596, -0.99006, -0.950767, -1.1341, -1.0361, -1.19291, -1.30485, -1.08193, -1.16558, -0.837973, -0.379693, -0.881056, -0.592021, -1.26325, -0.905252, -0.535308, -0.199663
0.08, 0.0319375, -2.17047, -1.91061, -2.22659, -1.31631, -0.812908, -1.02875, -0.486816, -0.842991, -0.770537, -1.01217, -1.26902, -1.00066, -0.911784, -1.14315, -1.28313, -0.65981, -0.911381, -1.53204, -1.13272, -1.3403, -1.17365, -0.692236, -0.718265, -0.556848, -0.727074, -1.16679, -0.941875, -0.516504, -0.534804, -0.268542
0.1, 0.0319375, -1.28558, -1.14281, -0.692006, -1.74008, -1.55657, -0.617595, 0.463447, -0.019304, -0.535583, -0.315359, -0.496053, -0.608215, -0.189943, -0.361004, -1.2287, -0.651591, -0.752581, -1.23407, -0.817948, -1.21642, -1.05729, -0.955685, -0.784203, -0.37, -0.493612, -0.548711, -1.00947, -0.68634, -0.620651, -0.0252771
0.12, 0.0319375, -0.973463, -1.38213, -0.20761, -1.27959, -0.962438, -0.334104, 0.694974, 0.0530434, 0.100567, 0.238177, -0.807946, -0.604245, -0.530994, -0.523973, -0.966244, -0.760514, -0.989594, -1.11629, -1.1702, -1.35604, -1.14769, -0.977292, -0.503108, -0.588563, -0.771851, -0.833569, -1.30175, -0.84425, -0.498517, 0.372587
0.14, 0.0319375, -1.65825, -1.12927, -0.207678, -0.464992, -0.725496, -0.78147, -0.00111004, -0.181085, -0.023804, -0.184337, -0.731619, -0.989131, -0.956737, -0.618765, -0.471308, -0.624307, -0.672007, -1.04759, -0.809532, -1.13443, -1.10561, -1.00486, -0.675143, -0.469042, -0.435903, -0.554064, -0.704041, -0.539157, -0.432522, 0.11235
0.16, 0.0319375, -1.24107, -0.769338, -0.00247702, -1.76397, -0.834556, -0.255597, -0.473358, -0.93714, 0.0408628, -0.0162401, -1.27262, -1.10872, -1.27156, -1.31426, -1.3891, -0.59814, -0.768644, -0.846598, -0.512152, -1.60468, -1.16931, -0.578735, -0.638676, -0.541148, -0.461681, -0.276423, -0.989106, -0.724439, -0.463414, -0.0193654
0.18, 0.0319375, -1.89315, -0.360027, 0.550878, -0.772786, -0.953407, -1.2519, -0.0473696, -0.541614, -0.497197, -0.436093, -0.644834, -1.01216, -0.944908, -0.807369, -1.22357, -1.09249, -0.994878, -0.902996, -1.05315, -1.31618, -1.44031, -1.15592, -0.484843, -0.263323, -0.287349, -0.730594, -1.28091, -0.597638, -0.115122, 0.0196383
