# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.8764, -1.7841, -1.26848, -1.79578, -1.20029, -0.899851, -0.747604, -0.498301, 0.121294, 0.0315301, -0.786296, -0.720249, -0.781713, -0.672715, -0.401943, -0.292033, -0.610555, -0.619725, -0.606711, -0.260941, -0.295883, -0.179357, -0.172708, -0.3584, -0.332391, -0.186183, 0.103109, -0.215671, -0.332098, -0.176606
0.02, 0.0319375, -2.13997, -2.18733, -1.62388, -1.5723, -0.782725, -0.431011, -0.763291, -0.74814, -0.203826, -0.234839, -0.826875, -0.238477, -0.619678, -0.370682, -0.451692, -0.664982, -0.807485, -0.676629, -0.351484, 0.0359806, -0.098211, -0.295698, -0.235583, -0.135061, -0.327175, -0.0606834, 0.100653, 0.438906, 0.0807518, -0.435242
0.04, 0.0319375, -1.97751, -1.94351, -1.52191, -1.01338, -0.745239, -0.962064, -0.603079, -0.845437, -0.515939, -0.937983, -0.743244, -0.438353, -0.521803, -0.968657, -0.842528, -0.950213, -0.541886, -0.889485, -0.779028, -0.0780474, -0.489914, -0.429828, -0.0894734, -0.502889, -0.0190175, 0.0179703, 0.0590362, -0.113365, -0.0324761, 0.0500161
0.06, 0.0319375, -1.87361, -1.22011, -1.62846, -1.38168, -1.43845, -0.492971, -0.721228, -0.772007, 0.112022, -0.345309, -0.773156, -0.301762, -0.553396, -0.60744, -0.594459, -0.745341, -1.10597, -0.795211, -0.442009, 0.0192071, -0.187248, -0.371027, -0.439765, -0.695279, -0.267171, -0.312637, -0.0311158, 0.0768189, 0.0420189, -0.0347632
0.08, 0.0319375, -1.67106, -1.2861, -1.11198, -1.25674, -1.13998, -0.788619, -0.649711, -0.758519, -0.502159, -0.614155, -0.642513, -0.685415, -0.678236, -0.234576, -0.0925909, -0.648865, -0.68522, -0.347499, 0.000704755, -0.175914, -0.278727, -0.162474, -0.236319, -0.257116, -0.329425, -0.316047, -0.260812, -0.0897932, -0.223216, -0.253029
0.1, 0.0319375, -1.42526, -1.90267, -1.51459, -1.34819, -1.53404, -0.749277, -1.07564, -1.33918, -0.854146, -0.85378, -0.797084, -0.533293, -0.560685, -0.580981, -0.675799, -0.636193, -0.719246, -0.655128, -0.329492, -0.140294, -0.214535, 0.0272386, -0.45815, -0.45528, -0.339487, -0.275195, -0.0141946, 0.126516, -0.0717208, -0.405385
0.12, 0.0319375, -1.92305, -1.68698, -2.01717, -1.61626, -1.05814, -0.767746, -0.749375, -0.547884, -0.177368, -0.253874, -0.453225, -0.912735, -0.647694, -0.84455, -1.09793, -1.08561, -1.37601, -0.874759, -0.569015, -0.137297, -0.079029, -0.33214, -0.110279, -0.25147, -0.0890888, -0.00263071, -0.299675, -0.0719386, -0.348352, -0.205035
0.14, 0.0319375, -1.63383, -1.42229, -2.25533, -1.30276, -0.626051, -0.777984, -0.842104, -1.36604, -0.847877, -0.909835, -0.612505, -0.341065, -0.149496, -1.18821, -0.648174, -0.639, -0.967661, -0.817229, -0.587374, -0.527891, -0.0421072, -0.0361687, -0.0450917, -0.2454, -0.26443, -0.24721, -0.251808, -0.0584994, -0.305327, -0.358183
0.16, 0.0319375, -2.22347, -1.56231, -2.13829, -1.40845, -0.927949, -0.813634, -1.35164, -1.36554, -0.704884, -0.127296, -0.32122, -0.138655, -0.273998, -0.844609, -0.911663, -0.610687, -0.848928, -0.519009, -0.537895, -0.323784, -0.0120132, -0.113994, -0.251653, -0.131797, -0.126023, -0.30754, 0.248328, 0.25602, 0.0838534, -0.0676879
0.18, 0.0319375, -1.8492, -1.8144, -1.86989, -1.65973, -1.50305, -1.18546, -0.316985, -0.687889, -0.266594, 0.211991, 0.0750156, -0.572028, -0.0717833, -0.788718, -1.49004, -1.04667, -0.7141, -0.349343, 0.0691694, 0.224329, 0.241833, -0.232947, -0.162676, -0.0227892, -0.437702, 0.174495, 0.0606182, 0.273242, -0.219968, -0.0843091
0.2, 0.0319375, -2.15325, -1.29187, -1.85432, -2.05812, -1.36128, -1.06472, -0.936677, -0.348722, -0.323442, -0.356233, -0.226607, -0.538559, -0.424792, -0.46152, -0.582502, -0.810999, -0.909569, -0.796062, -0.332555, -0.476135, -0.232143, -0.125889, -0.439819, -0.0504027, -0.679338, 0.0925116, 0.328446, 0.00814852, 0.00362501, -0.0140882
0.22, 0.0319375, -2.18274, -1.47132, -1.86168, -1.33979, -1.48045, -0.624394, -1.04003, -1.12177, -0.285085, 0.141979, -0.205115, -0.88992, -0.491948, -0.783621, -0.305855, -0.679444, -0.49011, -0.734907, -0.216371, -0.146219, -0.0627343, -0.127453, 0.117159, -0.367637, -0.309036, -0.102961, 0.151361, -0.0117105, -0.254438, 0.161306
