# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -7.66103, -7.53237, -7.86568, -7.80992, -7.80267, -8.05905, -7.24712, -6.96044, -6.92527, -7.03487, -7.40042, -7.11271, -7.21654, -7.15352, -6.99508, -7.06453, -6.92438, -7.03033, -6.49534, -6.42228, -6.20618, -6.35067, -6.29796, -6.03989, -6.08211, -6.25578, -6.21972, -5.61513, -5.69654
0.02, 0.0319375, -8.05905, -8.05905, -7.5421, -7.89544, -7.67641, -7.62655, -7.32134, -7.57152, -7.49875, -7.44952, -7.474, -7.75841, -6.99143, -6.7233, -6.80507, -6.40686, -6.37698, -6.52718, -6.49739, -6.35601, -6.22419, -6.04838, -6.36229, -6.26237, -6.38103, -6.09991, -5.78602, -5.48422, -5.65789, -5.91832
0.04, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -7.64626, -7.62082, -7.27328, -6.93272, -7.165, -7.35478, -7.33817, -7.58029, -7.31509, -6.98379, -6.73924, -6.88386, -6.76666, -6.81869, -6.24085, -6.41376, -6.42997, -6.22105, -6.22546, -6.60503, -6.44335, -6.23165, -6.35871, -5.89959, -6.28773, -6.16887
0.06, 0.0319375, -0.843627, -0.409308, -0.996521, -0.434088, 0.557695, 0.108482, 0.7232, 0.670822, 0.907624, 1.0505, 0.493853, 0.161712, 0.131455, 0.520876, -0.268426, -0.0112172, -0.426716, -0.97632, -0.821483, -0.727079, -0.173753, -0.567475, -1.06391, -1.25177, -1.29042, -1.26333, -1.54619, -1.62739, -1.50403, -1.19763
0.08, 0.0319375, -1.54593, -1.28772, -0.778454, -0.781253, -0.255057, -0.237783, 0.134616, 0.566179, 0.83238, 0.953407, 0.013075, 0.0987789, 0.884298, 1.2288, -0.376147, -0.177879, -0.276794, -1.11317, -1.05932, -0.571121, -0.440972, -0.685308, -0.882872, -1.05876, -1.01285, -1.46329, -2.22627, -2.18793, -2.45771, -1.90376
0.1, 0.0319375, -2.96626, -2.12899, -1.80898, -1.43911, -1.25779, -1.36671, -0.992497, -0.00526231, 0.295977, 0.946598, -0.0367616, -0.256422, 0.296611, 0.728138, -0.443442, -0.143651, -0.478697, -0.92743, -0.422011, -0.590466, -0.98736, -0.195576, 0.636369, -0.143676, -0.849824, -0.912674, -1.64156, -2.15753, -2.35809, -2.10167
0.12, 0.0319375, -1.76021, -2.31323, -2.64332, -1.82916, -1.46857, -1.27205, -0.925271, -0.19365, -0.40286, 0.127874, -0.254639, -0.220031, -0.216627, 0.669648, -0.504003, -0.405594, -0.606553, -0.597382, -0.951034, -0.774354, -0.397462, 0.451224, 0.928121, -0.513708, -0.535033, -0.441146, -1.10025, -1.57383, -2.03852, -1.72191
0.14, 0.0319375, -2.35983, -2.00148, -2.0472, -2.75257, -2.48179, -1.94527, -0.929766, -0.22964, 0.0778398, -0.130375, -0.315377, -0.449453, 0.118702, 0.294895, -0.973474, -0.723934, -0.595658, -1.02016, -1.08121, -0.934146, -0.408059, 0.248559, 0.490104, -0.0390358, -0.54171, -0.529867, -0.869003, -0.995754, -1.20837, -1.39846
0.16, 0.0319375, -3.37253, -2.74006, -2.60818, -2.18798, -1.86301, -1.76119, -1.16149, -0.593426, -0.639107, 0.151651, -0.79022, -1.42331, -0.568708, 0.251691, -0.757894, -0.979832, -1.03134, -1.45581, -1.15069, -1.17987, -0.801289, -0.565778, -0.590041, -0.880739, -1.34851, -1.1484, -1.45648, -1.64748, -1.38076, -1.29588
0.18, 0.0319375, -3.7445, -4.2408, -2.912, -2.28098, -2.08834, -2.31978, -1.29844, -0.771976, -0.354448, 0.236254, -1.21033, -1.3561, -0.439272, -0.330814, -1.15339, -1.23112, -1.17425, -1.73213, -1.38257, -1.09311, -0.755447, -0.927176, -0.970213, -1.06612, -0.675749, -1.14468, -1.7251, -1.51143, -1.12866, -1.3126
0.2, 0.0319375, -3.95832, -2.95329, -3.1919, -3.30096, -3.14459, -2.57047, -0.978889, -1.11371, -1.26211, -0.748213, -1.75937, -1.61405, -0.906736, -0.464894, -1.26242, -1.6537, -2.33328, -1.93708, -1.69698, -1.35187, -1.18881, -1.24059, -1.22164, -1.14531, -1.78986, -1.77856, -2.10565, -1.88986, -1.69208, -1.7002
0.22, 0.0319375, -3.54633, -2.83036, -3.06357, -2.4774, -1.84436, -1.98955, -1.00497, -0.428701, -0.848576, -0.194475, -1.00355, -1.50266, -1.76822, -1.42544, -1.30787, -1.89532, -2.31909, -2.08847, -1.668, -1.48037, -1.49337, -1.08721, -1.36504, -1.49133, -1.41073, -1.38796, -1.96639, -2.17988, -2.13164, -1.87601
0.24, 0.0319375, -2.95231, -2.48496, -2.9098, -2.80815, -2.66622, -2.42086, -1.24879, -0.738769, -1.06257, -0.766646, -1.08859, -1.35426, -1.19739, -1.25703, -1.94468, -2.56269, -2.40119, -2.64909, -2.66613, -1.95647, -1.3453, -1.77191, -1.67973, -2.00204, -1.6308, -1.6857, -2.24981, -2.52875, -2.46117, -2.14871
0.26, 0.0319375, -3.22937, -3.39124, -3.74647, -3.45803, -2.67486, -2.39893, -1.63382, -0.917675, -1.59217, -1.64083, -1.41517, -2.00486, -1.12526, -0.474063, -2.22123, -2.29364, -2.29461, -2.19264, -2.547, -2.48082, -1.85665, -2.01504, -1.76207, -1.93724, -1.73103, -2.16299, -2.86837, -2.86319, -2.71688, -2.36006
0.28, 0.0319375, -3.30011, -3.15103, -3.36067, -4.11821, -3.29895, -2.96659, -1.52726, -1.46356, -1.34071, -1.04899, -1.80299, -1.80225, -1.24637, -0.903324, -1.66616, -1.75047, -1.98825, -2.81866, -2.65588, -2.46825, -2.34564, -2.03104, -1.83062, -1.86881, -1.79218, -2.16621, -3.36429, -3.35454, -3.01611, -2.51493
0.3, 0.0319375, -3.79972, -3.67877, -3.34745, -3.87898, -3.15294, -2.25708, -1.21628, -1.00015, -1.26914, -0.933301, -1.96248, -2.18688, -2.16712, -1.31735, -1.89353, -2.20161, -2.13302, -2.49228, -2.66507, -2.58358, -2.60373, -2.42907, -2.12946, -1.81946, -1.70061, -2.03245, -3.43783, -3.28483, -3.27593, -2.34465
0.32, 0.0319375, -3.86562, -4.31613, -3.6911, -3.57735, -3.28721, -3.70014, -1.96399, -1.31834, -1.62525, -0.874474, -1.56526, -2.52318, -1.27847, -1.1927, -1.91585, -2.03554, -2.3727, -2.80803, -3.39501, -3.30674, -2.45478, -2.30827, -2.19248, -1.9946, -1.90504, -2.23675, -3.02813, -3.12177, -2.91779, -2.42593
0.34, 0.0319375, -2.88967, -3.55338, -3.65504, -3.62169, -3.13926, -3.16642, -2.50332, -1.75219, -1.80053, -1.16319, -2.82109, -2.43034, -2.04461, -1.47769, -2.51, -2.7723, -2.6691, -2.58018, -3.21966, -3.05012, -2.64772, -1.98074, -1.63062, -1.30959, -1.40667, -1.65558, -2.6534, -3.26301, -2.60253, -1.91047
0.36, 0.0319375, -3.2046, -3.35759, -3.14281, -3.5174, -3.2768, -2.65754, -2.18763, -1.94949, -1.97547, -1.06593, -2.17454, -2.13707, -1.74928, -1.62869, -3.14302, -2.67402, -2.97418, -3.62121, -3.58585, -3.62016, -2.97144, -3.30612, -2.75792, -2.64947, -2.25034, -2.1239, -2.6079, -3.29623, -3.13286, -2.47304
0.38, 0.0319375, -3.43558, -3.55928, -3.56671, -3.6518, -3.05868, -3.43566, -2.20349, -2.12877, -2.45034, -1.81347, -1.86926, -2.46693, -1.65293, -1.50936, -2.33208, -3.08563, -3.41517, -3.32849, -3.26193, -3.36674, -2.76875, -2.52081, -2.73505, -2.6944, -2.27991, -3.07247, -3.51113, -3.40629, -3.5021, -3.08508
0.4, 0.0319375, -4.01027, -3.30041, -3.16448, -3.93263, -3.6169, -3.6275, -2.04694, -1.75111, -2.54909, -2.13164, -1.70668, -2.34918, -1.88557, -1.72162, -2.76633, -3.15959, -3.21567, -3.39766, -3.58677, -3.51545, -3.0078, -3.02015, -2.55312, -2.631, -2.46366, -2.77241, -3.26581, -3.36116, -3.05301, -2.69876
0.42, 0.0319375, -4.07296, -3.52124, -3.7287, -4.02095, -3.24397, -3.23006, -2.76652, -2.47911, -2.64942, -2.52879, -2.46244, -2.12159, -1.98759, -1.85561, -2.50897, -2.70961, -3.15209, -3.06491, -3.18041, -3.09467, -2.89125, -2.70154, -2.15511, -1.92662, -1.98439, -2.32812, -3.57215, -3.39227, -3.30618, -2.28175
0.44, 0.0319375, -0.809541, -0.825106, -0.806897, -0.315685, -0.00960068, 0.302482, 0.0777286, -0.928189, -0.867665, -0.565419, -0.272637, -0.307617, -0.226545, -0.748499, -1.35406, -2.68524, -2.45332, -1.54717, -2.34556, -2.55394, -1.96559, -1.54495, -1.11352, -0.633798, -1.43162, -3.80859, -4.67061, -5.37925, -5.25394, -3.61409
0.46, 0.0319375, 0.301244, -0.544973, -0.586128, 0.635369, 1.06426, 1.52227, 1.03579, 0.133777, 0.455624, 0.390463, 0.388142, 0.979669, 0.879624, 0.0365795, -0.86584, -0.693383, -0.607983, -1.45972, -1.63777, -1.52553, -0.863345, -0.517347, -0.745671, -0.748975, -1.26036, -1.15667, -2.37365, -4.59874, -4.2594, -3.43505
0.48, 0.0319375, -0.371366, -0.0814022, 1.21358, 1.39839, 1.88651, 2.2147, 2.80855, 2.5582, 1.80968, 1.54264, 1.8089, 1.58396, 2.22537, 1.50481, 0.919792, 0.270939, -0.334152, -0.032398, -0.426936, 0.16819, 1.29829, 1.70914, -0.422841, 0.0459728, 1.16282, 1.12342, -0.352755, -1.28058, -1.38888, -2.03471
0.5, 0.0319375, -0.535638, -0.0745657, 0.313461, 1.41027, 2.47943, 2.56181, 3.6887, 2.92214, 2.99945, 4.13541, 3.49335, 2.54121, 2.50339, 3.16289, 1.98941, 1.24436, 1.31995, 0.978214, 1.37218, 1.90446, 1.9531, 2.289, -0.196143, 0.00997617, 2.01289, 1.48409, -0.070574, 0.260801, -0.15477, 0.508268
0.52, 0.0319375, -2.19557, -1.18421, -1.66941, 0.127756, 2.77977, 3.43114, 2.60239, 3.28714, 3.63604, 3.46162, 4.41385, 2.99452, 2.38518, 2.58909, 2.77334, 0.994334, 1.35451, 1.12884, 1.37144, 2.03526, 2.52904, 1.8023, -0.291089, -1.06983, 0.761753, 0.616637, -0.717237, 0.51938, 0.270606, 0.624804
0.54, 0.0319375, -2.34398, -1.01368, -0.280244, -0.629688, 1.57743, 3.66503, 3.74252, 3.00123, 3.75335, 3.20352, 2.24628, 2.69323, 3.15845, 2.50243, 2.11542, 2.04576, 1.43044, 1.18762, 1.34335, 1.14408, 1.99876, 0.664905, -2.56764, -0.521245, 0.488121, 0.459352, -1.41946, 0.0317992, 0.472736, 1.19975
0.56, 0.0319375, -0.935589, -0.66634, 0.298873, -0.341314, 1.27895, 3.54967, 3.89589, 3.17356, 3.44794, 3.81901, 2.41601, 2.24018, 2.24007, 1.77677, 2.40829, 1.4505, 1.32371, 1.18219, 1.32743, 1.08718, 2.24693, 1.38174, -0.428693, -1.14507, 0.329757, -0.0969081, -1.64256, -0.491872, 0.185492, 0.683351
