# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -7.58186, -7.86983, -7.7962, -7.49736, -7.25289, -8.05905, -7.83975, -7.473, -7.84798, -7.5852, -7.15179, -6.93142, -6.72382, -6.69265, -6.70017, -6.32692, -6.62687, -6.65453, -6.48637, -6.56997, -6.48473, -6.71094, -6.59159, -5.92225, -5.92957, -5.91742, -5.65011, -5.79614, -5.68461
0.02, 0.0319375, -7.96734, -7.92533, -7.60724, -8.05905, -7.35596, -6.89034, -7.02736, -7.27305, -7.14442, -7.19249, -6.8583, -6.56266, -6.57347, -7.23172, -6.93527, -6.58273, -6.51598, -6.6293, -6.83701, -6.86964, -6.42236, -6.44484, -6.14159, -6.13128, -6.19874, -6.15365, -5.95284, -5.80729, -5.89547, -5.90138
0.04, 0.0319375, -7.8835, -7.75797, -8.05905, -7.76195, -6.76082, -7.32558, -7.26118, -7.3908, -7.2787, -7.19809, -7.30298, -7.35857, -7.5151, -6.99465, -7.32662, -6.43272, -6.46417, -7.06232, -6.75569, -6.48897, -6.35324, -6.48709, -6.93819, -6.66208, -6.11997, -6.36086, -6.10503, -5.96163, -6.20756, -6.019
0.06, 0.0319375, -7.88134, -7.41272, -7.62207, -7.47524, -6.83272, -7.14045, -7.40935, -7.53633, -7.01932, -6.97405, -7.57421, -7.42524, -7.30181, -6.57006, -6.72422, -6.99719, -6.27448, -6.71637, -6.31452, -6.28211, -6.50336, -6.39224, -6.44236, -6.33696, -6.18757, -5.98843, -5.80271, -5.73707, -5.80925, -5.66879
0.08, 0.0319375, -4.64886, -4.24881, -4.26147, -4.47394, -4.61064, -5.14814, -4.92926, -4.59082, -4.53571, -5.16976, -5.22533, -4.32551, -4.29963, -4.27493, -4.37392, -4.77837, -5.10856, -4.56614, -4.51679, -4.9828, -4.53111, -4.36494, -4.56153, -4.3162, -4.78114, -4.39309, -4.63377, -4.62825, -3.95076, -4.44388
0.1, 0.0319375, -1.72377, -0.902549, -1.1833, -0.856094, -0.813676, -1.47712, -1.12629, -0.192301, -0.650047, -1.40985, -1.20372, -0.927784, -1.60078, -1.67857, -1.7874, -1.5223, -1.68513, -1.56886, -1.39298, -1.88982, -1.88071, -1.46673, -1.43488, -1.40958, -1.4309, -1.66503, -1.33356, -1.24332, -1.46814, -1.60808
0.12, 0.0319375, -1.88433, -1.39417, -1.89902, -1.81111, -1.21057, -0.433396, -0.627741, -0.131967, -0.461703, -0.562969, -1.11122, -1.84049, -1.6659, -1.22905, -1.31894, -1.34687, -1.5865, -2.03415, -1.99532, -1.84795, -1.86346, -1.60131, -1.38549, -1.24546, -1.47622, -1.24955, -1.35076, -1.50715, -1.37089, -1.08929
0.14, 0.0319375, -0.638605, -1.09134, -1.87288, -1.067, -0.619359, -0.882244, -0.657176, -0.919331, -1.31768, -1.21948, -1.40375, -1.71684, -1.56436, -1.12757, -1.85536, -1.47625, -1.74171, -1.57914, -1.54854, -1.87757, -1.72861, -1.73386, -1.53408, -1.49969, -1.4197, -1.63263, -1.83853, -1.58916, -1.45101, -1.32309
0.16, 0.0319375, -0.658336, -1.17723, -1.08046, -1.72664, -0.632757, -0.824811, -0.642223, -1.04037, -1.28377, -0.637129, -0.887366, -0.974427, -1.33489, -1.56065, -1.44103, -1.75727, -1.63515, -1.73819, -1.94072, -1.83953, -1.65043, -1.5916, -1.50209, -1.54777, -1.18423, -1.41766, -1.67215, -1.52584, -1.48603, -1.31336
0.18, 0.0319375, -0.967906, -1.74812, -1.65956, -0.910382, -1.0059, -1.41261, -1.19362, -0.96023, -1.37183, -1.14872, -1.20825, -1.21677, -1.20631, -1.40266, -1.74523, -2.00708, -1.5578, -1.32561, -1.50753, -1.71486, -1.72352, -1.5897, -1.42039, -1.55222, -1.85334, -1.8362, -1.19393, -1.21196, -1.42575, -1.03403
0.2, 0.0319375, -0.71014, -1.13117, -1.79792, -1.0191, -0.548958, -1.48557, -1.42537, -1.13964, -1.21036, -0.488921, -1.08712, -1.6558, -1.91027, -1.40309, -1.47682, -1.61377, -1.75422, -2.1314, -1.9027, -1.83726, -1.41715, -1.28633, -1.64048, -1.3686, -1.34256, -1.34313, -1.45566, -1.49413, -1.42069, -1.264
0.22, 0.0319375, -1.66326, -0.708022, -0.703668, -0.745724, -0.837024, -0.623099, -1.22051, -1.30716, -0.998336, -1.3268, -0.833572, -1.31164, -1.37358, -1.33217, -1.57127, -1.60044, -2.07194, -2.10832, -1.72437, -1.40707, -1.47664, -1.32964, -1.48473, -1.65084, -1.29198, -1.4146, -1.4701, -1.39508, -1.51207, -1.18336
0.24, 0.0319375, -0.884241, -1.32788, -1.39949, -1.00525, -0.750122, -0.980492, -1.07328, -0.694426, -0.521729, -1.26899, -1.71137, -1.29891, -1.34276, -1.71668, -1.75937, -1.70558, -1.92874, -2.18635, -1.98065, -1.68178, -1.67287, -1.66027, -1.50777, -1.45643, -1.54816, -1.63531, -1.39336, -1.53066, -1.58153, -1.38083
0.26, 0.0319375, -1.66726, -0.853209, -1.65036, -1.45021, -1.01831, -1.31721, -0.757112, -0.526162, -1.75407, -1.33343, -1.62088, -0.92421, -1.08306, -1.36649, -2.02697, -1.41678, -1.53711, -1.51415, -1.45874, -1.72395, -1.70314, -1.59843, -1.42824, -1.79585, -1.59217, -1.39448, -1.25967, -1.24938, -1.16298, -1.38978
0.28, 0.0319375, -1.33756, -1.84474, -1.37678, -0.837121, -0.535702, -0.433297, -1.21054, -0.934113, -1.09696, -0.862023, -0.932041, -1.27433, -1.10122, -1.46264, -2.18001, -2.2844, -1.70074, -1.97165, -1.93501, -2.14235, -1.59279, -1.79783, -1.43654, -1.7437, -1.42494, -1.42286, -1.38221, -1.12577, -1.29902, -1.5984
0.3, 0.0319375, -1.21872, -1.95765, -0.815021, -0.698279, -1.0298, -1.03931, -1.24879, -0.786228, -0.882316, -0.72031, -1.52493, -1.04462, -1.6696, -1.80074, -1.64199, -1.87208, -1.87927, -1.91916, -2.08805, -1.88573, -1.80728, -1.79421, -2.02727, -1.67468, -1.6744, -1.69635, -1.76152, -1.56671, -1.43043, -1.3308
0.32, 0.0319375, -0.677155, -0.911014, -0.941704, -0.998214, -1.00076, -1.17079, -0.910484, -0.755734, -0.569113, -1.14724, -1.417, -1.33875, -1.07879, -0.730846, -1.87414, -1.80426, -1.5929, -1.65443, -1.85807, -1.6961, -1.53601, -1.45033, -1.55953, -1.66258, -1.51215, -1.7694, -1.57867, -1.24994, -1.32051, -1.21061
0.34, 0.0319375, -1.72071, -1.24941, -1.18438, -1.11529, -1.44068, -1.01981, -1.35599, -1.04174, -0.915656, -0.819553, -1.02898, -0.797841, -1.18429, -1.92491, -2.12674, -1.70969, -1.66217, -1.79067, -1.71141, -2.02477, -1.8665, -1.62601, -1.8913, -1.69551, -1.38919, -1.33476, -1.56726, -1.67588, -1.52941, -1.13125
0.36, 0.0319375, -1.47619, -0.976497, -1.21667, -0.646179, -0.611231, -0.738389, -0.616224, -0.995866, -0.773411, -0.833315, -1.17386, -1.79618, -1.61079, -1.51477, -1.9395, -1.72896, -1.70602, -2.13749, -1.84043, -2.07689, -1.81926, -1.69576, -1.7484, -1.73044, -1.57106, -1.76019, -1.4695, -1.43131, -1.72909, -1.73842
0.38, 0.0319375, -0.479795, -1.31861, -1.39527, 0.196079, 0.0583893, -0.982065, -0.695686, -0.934654, -0.465075, -1.11904, -1.31122, -1.53041, -1.45807, -1.54669, -2.40305, -2.3293, -1.67714, -1.75915, -1.60029, -1.71216, -1.61753, -1.54191, -1.51309, -1.52024, -1.48124, -1.76456, -1.28333, -1.61728, -1.7542, -1.25075
0.4, 0.0319375, -0.611786, -1.25312, -1.77172, -0.540829, 0.379042, -0.739925, -1.29082, -0.942466, -0.593965, -1.18169, -0.743393, -1.17264, -1.18498, -1.41569, -1.74038, -1.83845, -1.76522, -1.6929, -2.0307, -2.03978, -1.47336, -1.2815, -1.48766, -1.96254, -1.73905, -1.66416, -1.83027, -1.99908, -1.70085, -1.60491
0.42, 0.0319375, -0.908546, -1.9675, -1.60861, -0.617011, 0.420088, -1.22118, -2.09822, -1.08494, -0.706194, -0.875916, -1.72013, -1.52093, -1.30142, -1.27322, -1.45627, -1.66815, -1.59327, -1.89281, -1.83201, -1.90327, -1.87408, -1.60581, -1.61036, -1.66516, -1.41374, -1.54806, -1.59647, -1.3262, -1.32345, -1.42638
0.44, 0.0319375, -1.59261, -2.17397, -1.58343, -0.551303, 0.308918, -0.946451, -1.36668, -0.735428, -0.544587, -1.21504, -1.40396, -1.19117, -1.60344, -1.36414, -1.52031, -1.40522, -1.36885, -1.33232, -1.36621, -1.67328, -1.78159, -1.54152, -1.64503, -1.42909, -1.59765, -1.76862, -1.45894, -1.46121, -1.37455, -1.64259
