# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.36829, -1.86527, -1.82095, -1.06328, -0.780505, -0.62213, -1.56305, -1.37798, -1.16156, -1.16841, -1.4358, -1.98274, -2.26383, -2.3222, -2.48058, -2.57267, -2.45156, -3.03737, -2.94563, -3.04529, -2.86229, -3.29601, -3.56192, -3.89103, -4.18734, -4.4013, -3.72667, -3.90265, -3.8489, -4.29731
0.02, 0.0319375, -1.69389, -2.15978, -2.45617, -1.27334, -1.30059, -1.03581, -2.2057, -2.58502, -2.78346, -2.31226, -2.53589, -2.28212, -2.65509, -2.73957, -2.75619, -2.97845, -3.36943, -3.06843, -3.16639, -3.61373, -3.1651, -3.29584, -3.51186, -3.82022, -4.01749, -4.24078, -4.26068, -4.35733, -4.19718, -4.15715
0.04, 0.0319375, -1.57408, -1.31666, -1.8326, -2.63869, -1.23628, -0.971338, -1.7403, -2.80302, -2.35029, -2.06836, -2.61306, -3.02941, -2.87552, -2.4178, -2.51049, -3.10522, -3.2064, -3.12041, -2.68335, -3.45208, -3.45587, -3.2021, -3.80626, -3.75281, -3.95821, -4.06159, -4.22488, -4.21891, -4.1416, -4.07062
0.06, 0.0319375, -2.1821, -1.31207, -1.62672, -2.74976, -2.45993, -0.930916, -1.96058, -2.10883, -1.75025, -1.84065, -2.51779, -2.23009, -2.90427, -2.39865, -2.7591, -2.90716, -2.84512, -2.56605, -2.74936, -3.0171, -3.10694, -3.52389, -3.67658, -3.97247, -3.82412, -4.07368, -4.43082, -4.25287, -4.07147, -4.11077
0.08, 0.0319375, -1.95381, -2.07595, -1.99307, -1.56935, -0.92323, -1.08593, -2.37123, -1.55817, -2.154, -1.96523, -2.41743, -2.36397, -2.52952, -2.38925, -2.60169, -2.9363, -3.00031, -3.49331, -3.14443, -3.28623, -3.45999, -3.37318, -3.29218, -3.70465, -3.83373, -4.02395, -4.10789, -4.16396, -4.30489, -4.1744
0.1, 0.0319375, 1.72663, 1.91136, 1.80265, 1.62851, 1.66243, 1.21774, 0.331223, 0.454438, 0.46609, -0.0627581, -0.625899, -0.439648, -0.751169, -1.16218, -1.60238, -1.6469, -1.7021, -1.36607, -0.928784, -1.59177, -1.9879, -2.1983, -2.43189, -2.3358, -2.9433, -3.36609, -3.63088, -3.63293, -3.56172, -3.66554
0.12, 0.0319375, 1.19365, 0.459122, -0.0388019, -0.0337561, 0.497988, 0.654869, -0.273094, -0.203699, -0.355209, -0.436898, -0.545413, -0.784839, -1.02502, -1.28692, -1.21343, -0.905727, -1.14044, -1.19382, -1.48947, -1.16679, -1.49723, -2.06955, -1.86473, -1.94271, -2.46838, -2.82031, -2.89807, -3.16405, -2.73592, -2.95944
0.14, 0.0319375, 0.567609, -1.0886, -0.0983689, 0.588994, 0.392889, 0.267514, -0.813223, -1.19841, -0.571804, -0.454581, -0.785746, -0.90569, -1.2721, -1.68175, -1.59996, -1.43795, -1.08897, -1.56724, -1.32909, -1.40717, -1.92543, -1.73599, -1.58761, -2.46344, -2.48919, -2.68968, -2.38881, -2.90746, -2.96878, -3.28214
0.16, 0.0319375, 0.535711, -1.27872, -0.900096, -0.805966, -0.802992, -0.685453, -0.796919, -0.7518, -1.53174, -1.28022, -1.75552, -1.21676, -1.42704, -1.46114, -1.57356, -1.78421, -1.5471, -2.10597, -1.47775, -1.84906, -2.46105, -2.78495, -2.78719, -3.00611, -2.56756, -2.85272, -3.22896, -3.28972, -3.29048, -3.60907
0.18, 0.0319375, 0.246259, -1.10093, -1.17365, -1.35584, -1.43556, -0.918528, -1.42381, -1.48063, -0.815249, -1.16391, -1.54178, -1.33314, -1.73789, -2.03144, -1.81792, -2.31254, -2.42982, -2.14093, -1.74517, -2.55355, -2.81261, -2.64257, -2.55107, -2.64681, -2.76661, -3.58571, -3.48526, -3.3363, -3.58077, -3.68652
