# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.62345, -2.85951, -3.03501, -2.86086, -2.25841, -2.00043, -3.33282, -2.69512, -3.27662, -3.45314, -3.66769, -3.1538, -2.55682, -3.47749, -3.75844, -2.57785, -2.65628, -3.35085, -3.39049, -3.23965, -2.62847, -2.92852, -2.53158, -2.96376, -2.8596, -2.41663, -2.54595, -2.40372, -2.82991, -2.80474
0.02, 0.0319375, -1.92596, -2.47136, -2.95312, -2.74597, -2.58304, -2.02533, -2.79069, -2.4673, -2.52395, -3.33576, -3.241, -3.13888, -2.8233, -3.3691, -3.23313, -2.85258, -2.94024, -3.16698, -3.24909, -2.94898, -3.01589, -2.66914, -2.6438, -3.07642, -2.65099, -2.40938, -2.35432, -2.58577, -2.58984, -2.42275
0.04, 0.0319375, -3.0225, -2.10539, -2.44821, -2.68547, -1.93302, -2.29305, -2.95894, -3.50068, -2.82051, -3.52088, -3.69922, -2.96785, -2.77509, -2.91374, -3.3106, -2.76126, -2.99355, -3.25934, -3.15234, -2.90209, -2.86608, -2.9748, -3.08774, -2.46241, -2.63439, -2.52936, -2.60059, -2.52831, -2.69145, -2.5511
0.06, 0.0319375, -2.12058, -2.04931, -2.93097, -2.62661, -1.65173, -2.33331, -2.75274, -2.76368, -3.61791, -3.13983, -3.69966, -3.29704, -2.85371, -2.90711, -3.24928, -2.95354, -3.3799, -3.15381, -3.09903, -3.21721, -3.1251, -2.75276, -2.95902, -2.82161, -2.36363, -2.53725, -2.75632, -2.5258, -2.67336, -2.62503
0.08, 0.0319375, -1.80304, -2.02659, -2.09671, -2.73715, -2.04461, -1.45837, -2.22971, -2.19463, -2.22331, -2.71767, -1.96746, -1.31465, -1.86624, -2.30134, -1.96588, -2.26184, -2.77145, -2.50282, -2.71251, -2.44728, -1.69845, -1.41321, -1.77586, -2.17219, -2.299, -2.37847, -2.72672, -2.5103, -2.64642, -2.76756
0.1, 0.0319375, -1.93578, -1.97105, -2.97602, -2.12083, -1.93805, -1.61908, -2.31118, -2.24998, -2.65872, -2.95887, -2.97644, -3.03784, -3.01245, -2.45996, -2.61878, -2.92312, -2.5952, -2.41377, -2.40809, -2.77519, -2.63544, -2.09709, -2.07173, -2.29149, -2.36692, -2.57585, -2.67478, -2.6382, -2.57887, -2.47808
0.12, 0.0319375, -1.94908, -2.32098, -2.71059, -2.52527, -1.72543, -1.81139, -3.30777, -2.402, -2.39088, -2.89587, -3.13365, -3.78134, -3.05278, -3.33137, -3.61062, -2.69242, -2.51861, -2.77052, -3.06127, -2.74674, -2.70622, -2.51081, -2.76279, -2.57556, -2.55626, -2.59296, -2.35292, -2.44798, -2.57844, -2.38593
0.14, 0.0319375, -2.53968, -2.39238, -2.30276, -2.58409, -2.58614, -2.38693, -3.19198, -3.55517, -2.80702, -3.5728, -3.94988, -3.06932, -2.70004, -3.0397, -3.00187, -2.84253, -2.84268, -3.10095, -3.90749, -3.30155, -3.00987, -3.1523, -2.92958, -3.08973, -2.49034, -2.61404, -2.69896, -2.59472, -2.78863, -2.46818
0.16, 0.0319375, -2.61383, -2.62513, -2.51067, -2.52157, -2.69164, -2.22847, -2.67872, -2.745, -3.37492, -3.97045, -3.6945, -3.10602, -2.69498, -3.38919, -3.05767, -2.87802, -3.56503, -2.81888, -3.03023, -3.03421, -2.79704, -2.76131, -2.69778, -2.58597, -2.20263, -2.20894, -2.81752, -2.76546, -2.68941, -2.58078
0.18, 0.0319375, -2.53923, -2.46968, -2.61949, -2.05483, -1.98038, -1.69226, -3.33416, -3.58996, -2.75996, -3.19132, -3.57991, -3.15491, -2.74289, -3.13457, -3.65853, -3.09822, -3.02606, -3.44147, -3.24817, -3.01629, -3.09018, -3.20996, -2.83493, -2.68556, -2.26011, -2.2916, -2.55606, -2.52611, -2.62614, -2.62802
0.2, 0.0319375, -2.87624, -2.88513, -2.05209, -2.34968, -1.30447, -1.61898, -3.15536, -2.7944, -2.92898, -3.3802, -3.15924, -2.69893, -2.80871, -3.56594, -3.6949, -3.05914, -3.1422, -3.26038, -3.05095, -3.31729, -2.78991, -2.81884, -2.76273, -2.65454, -2.5544, -2.26719, -2.47079, -2.70014, -2.78742, -2.50734
0.22, 0.0319375, -2.1432, -2.08619, -2.19115, -2.60248, -2.10811, -1.89953, -2.57874, -3.00616, -3.13693, -3.79044, -3.63396, -2.88551, -2.78266, -3.66104, -3.80211, -3.25496, -3.40012, -3.21618, -2.96619, -2.56275, -2.80328, -3.15455, -2.85471, -2.82538, -2.57351, -2.63925, -2.57124, -2.56653, -2.76874, -2.74172
0.24, 0.0319375, -3.04589, -2.04942, -2.20828, -1.78774, -2.34792, -2.20892, -3.02674, -3.10712, -2.87401, -3.22304, -3.78603, -3.52979, -3.26356, -3.04238, -3.18242, -3.09129, -3.37048, -3.02875, -2.97171, -3.15049, -3.1599, -3.1495, -2.53624, -2.76199, -2.52234, -2.844, -2.93921, -2.51781, -2.92604, -2.64811
0.26, 0.0319375, -2.05541, -2.23803, -2.1547, -1.82348, -1.80354, -1.85385, -3.24108, -2.58919, -3.09713, -3.67124, -4.34897, -3.25588, -2.84388, -3.51321, -3.78276, -2.85248, -3.65115, -3.22035, -3.41669, -3.49583, -3.10918, -2.77156, -2.67123, -2.82768, -2.64759, -2.55647, -2.51017, -2.40716, -2.51922, -2.62333
0.28, 0.0319375, -1.67676, -2.21631, -2.77082, -2.8534, -2.41906, -1.86638, -2.77176, -2.5796, -2.86733, -3.31389, -3.2105, -3.41136, -2.81301, -3.95583, -4.30779, -3.44496, -3.52356, -3.32806, -2.98472, -3.18762, -3.04328, -3.09825, -2.97018, -2.7, -2.48888, -2.73547, -2.29473, -2.37804, -2.84234, -2.71377
0.3, 0.0319375, -1.98118, -2.6812, -2.83389, -2.38283, -1.74155, -2.07159, -2.40964, -2.45423, -2.93489, -3.2737, -3.67825, -3.06251, -3.06753, -3.90709, -3.21936, -3.16307, -3.50805, -3.46321, -2.94686, -3.11662, -3.1657, -2.76963, -2.83898, -2.83892, -2.50104, -2.65139, -2.97549, -2.63327, -2.50128, -2.49317
0.32, 0.0319375, -1.74558, -2.25155, -3.5072, -3.23147, -2.54444, -3.13131, -3.18929, -2.99965, -3.17823, -4.36437, -4.19057, -3.13386, -2.62819, -3.3644, -3.464, -3.13542, -2.91601, -3.10539, -3.6823, -3.28099, -3.01174, -2.94227, -2.60519, -2.9811, -2.83754, -2.59128, -2.55597, -2.36665, -2.3796, -2.40033
0.34, 0.0319375, -1.9562, -2.64161, -2.83121, -2.79069, -2.72372, -2.68647, -3.2071, -3.14105, -2.95857, -3.26188, -3.58966, -3.48789, -3.37202, -3.03686, -3.40245, -2.87809, -2.86688, -3.28446, -3.34861, -3.19126, -2.8988, -3.00191, -2.72847, -2.68684, -2.73099, -2.6762, -2.59711, -2.42589, -2.45336, -2.49209
0.36, 0.0319375, -2.26791, -2.64907, -2.36844, -1.82595, -1.68421, -2.03364, -2.65598, -2.5347, -2.23784, -2.23999, -1.95228, -1.38319, -1.55555, -2.11739, -1.99941, -2.25391, -2.05577, -2.31254, -2.80295, -2.5173, -1.6692, -1.44704, -2.27429, -2.51157, -2.20226, -2.50765, -2.496, -2.35299, -2.56415, -2.56308
0.38, 0.0319375, -2.49346, -2.26127, -2.6137, -1.8787, -1.80856, -2.4391, -3.38035, -2.66089, -2.70513, -3.09193, -2.99409, -2.72505, -2.42537, -2.72155, -3.03961, -2.62637, -2.18288, -2.7173, -2.22779, -2.49038, -2.22937, -2.11817, -2.04688, -2.57458, -2.37489, -2.33123, -2.44859, -2.47288, -2.46291, -2.58628
0.4, 0.0319375, -2.89388, -2.40003, -2.07372, -1.7024, -2.05137, -2.365, -2.64248, -2.52296, -3.43789, -3.28667, -3.38039, -3.28918, -2.82626, -3.06292, -2.75881, -3.1892, -2.81425, -2.86644, -3.0209, -2.63369, -2.74832, -2.35187, -2.87454, -2.75406, -2.69252, -3.15792, -2.51417, -2.47013, -2.4196, -2.57933
0.42, 0.0319375, -2.3015, -2.42185, -3.145, -2.1091, -2.09373, -1.55531, -2.906, -2.90477, -3.06263, -3.2391, -4.78999, -3.80598, -3.37935, -3.63999, -3.03098, -2.66091, -2.89751, -3.46405, -3.49122, -3.42411, -3.3657, -2.53411, -2.90208, -3.03549, -2.81814, -2.62604, -2.5596, -2.47374, -2.63086, -2.61992
