# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.455916, -0.688348, -1.13782, -1.38571, -1.6517, -2.47829, -2.2566, -1.73477, -1.78355, -1.65581, -1.95685, -2.46996, -1.78272, -1.73167, -1.29937, -1.92582, -2.33966, -2.38592, -2.67111, -2.67064, -3.17551, -3.7983, -3.85981, -3.37801, -2.71501, -2.8804, -2.94653, -2.69148, -3.25015, -2.3746
0.02, 0.0319375, -1.20607, -0.610662, -1.51347, -1.11154, -1.69037, -2.51897, -2.68859, -1.56793, -1.91949, -2.05889, -1.95985, -2.53593, -2.40462, -1.81787, -2.04646, -2.2853, -2.3789, -2.56389, -2.62145, -3.12206, -3.32354, -3.23237, -3.27675, -3.11448, -2.96704, -3.29787, -3.15492, -2.73415, -2.84408, -2.57532
0.04, 0.0319375, -0.947515, -0.746036, -1.91191, -2.08967, -2.35786, -2.94908, -2.27384, -2.38003, -2.6594, -2.514, -2.434, -3.08023, -2.5134, -2.54833, -2.70978, -2.45419, -2.37741, -2.67508, -2.79578, -2.9623, -3.30111, -3.76245, -3.68081, -3.35635, -3.0278, -3.51849, -3.18889, -2.87449, -2.73229, -2.50148
0.06, 0.0319375, -0.401549, -0.165846, -0.175349, -1.31006, -1.77136, -2.36071, -2.23742, -1.9825, -2.095, -2.26696, -2.44096, -2.58216, -2.77861, -2.44512, -2.61657, -2.39301, -2.12257, -2.99174, -2.81682, -2.97755, -3.32041, -3.74293, -3.82638, -3.30373, -2.9742, -3.00629, -3.04539, -2.96457, -3.01885, -2.84454
0.08, 0.0319375, -1.13434, -0.617547, -0.136966, -1.19024, -1.95608, -2.2297, -3.01795, -3.16138, -2.24904, -2.64048, -2.69718, -2.79836, -3.07749, -3.01934, -2.78149, -2.99541, -2.24329, -3.15044, -2.63782, -2.99654, -3.37266, -4.06435, -4.08337, -3.79273, -3.07532, -3.23865, -3.22134, -3.00596, -3.00742, -3.24174
0.1, 0.0319375, 0.576795, -0.103249, -1.45184, -0.458449, -0.467381, -1.51576, -1.4309, -1.86744, -1.56786, -2.20333, -2.45604, -2.89909, -2.91386, -2.96784, -3.22844, -2.97902, -2.44108, -3.09082, -3.26432, -3.10632, -3.45984, -3.84005, -3.5385, -3.48396, -3.21266, -3.41543, -3.48361, -3.212, -3.02262, -2.67987
0.12, 0.0319375, 0.295453, -0.00841452, -0.817501, -0.195617, -0.7901, -1.56598, -1.60712, -2.08942, -2.16104, -1.68411, -1.76041, -2.27007, -2.91923, -2.94173, -3.26922, -3.18286, -2.76887, -3.22117, -3.31811, -2.97733, -3.37799, -3.35477, -3.72341, -3.45133, -3.13016, -3.12488, -3.35758, -3.28015, -3.30463, -2.62155
0.14, 0.0319375, 0.217525, -0.21554, -0.302239, -0.409341, -0.584648, -0.91798, -1.55776, -1.35661, -1.22793, -1.33682, -1.23356, -2.84559, -2.98649, -2.70554, -3.27166, -3.43425, -2.9163, -3.25281, -3.37023, -2.98379, -3.10185, -3.54933, -3.33797, -3.58617, -3.23383, -3.51329, -3.32316, -3.53129, -3.25564, -2.74124
0.16, 0.0319375, 0.700665, 1.3541, 0.371432, -0.666411, 0.312286, 0.0985651, -0.847346, -1.14184, -0.81171, -1.30516, -1.72783, -2.80928, -3.39062, -2.94867, -3.17959, -3.28753, -3.47807, -3.77595, -3.1879, -2.85604, -3.469, -3.54913, -3.84193, -3.73836, -3.55606, -3.19498, -3.28344, -3.10526, -3.34072, -2.84416
0.18, 0.0319375, -0.105893, 1.13159, 1.57353, 0.269744, 0.188518, 0.278381, 0.616829, 0.375988, -0.0384659, 0.0450751, -0.865377, -1.42294, -1.6365, -1.28894, -1.42247, -1.88604, -1.60581, -1.6381, -1.8637, -2.62586, -2.91681, -2.91982, -3.13198, -3.36537, -2.78189, -2.5943, -3.15685, -2.71617, -2.82857, -2.38072
0.2, 0.0319375, 1.37207, 2.12666, 2.28357, 1.60209, 1.18627, 0.797956, 1.62149, 1.71652, 2.00785, 1.60342, 1.55628, 0.658093, -0.111159, 0.821912, 0.537419, 0.0293173, 0.772495, 0.535224, 0.245172, -0.141732, -0.241664, 0.405508, 0.0188484, -0.984396, -1.07359, -1.45175, -1.38592, -1.62144, -1.03656, -0.687749
0.22, 0.0319375, 0.648974, 2.29173, 1.66886, 2.06151, 1.94131, 1.16524, 2.01334, 2.86671, 4.1227, 4.57289, 3.33281, 2.26116, 1.77468, 1.86932, 2.48407, 1.75626, 1.84025, 3.0035, 3.02453, 2.11081, 2.18777, 1.86446, 2.47505, 2.18282, 0.853868, 0.347066, -0.299556, 0.00252298, 0.951574, 1.21919
0.24, 0.0319375, 0.190336, 2.11373, 2.23249, 0.765182, 1.33329, 1.3326, 1.7891, 2.93221, 4.08546, 4.77241, 4.52301, 2.86195, 2.92476, 2.81713, 2.41468, 2.15335, 2.86352, 3.53453, 2.95659, 2.24241, 1.79113, 2.29981, 3.06757, 2.80536, 1.18767, 0.965486, 0.252406, 0.466208, 1.47491, 1.56947
0.26, 0.0319375, -0.172005, 0.758715, 2.13441, 0.764803, 0.719551, 0.564058, 1.55708, 2.40132, 3.43501, 4.09809, 4.76406, 3.20021, 2.9578, 2.70961, 2.22928, 2.57629, 3.20123, 3.07219, 2.76274, 2.11124, 2.12873, 2.07266, 2.90268, 2.32373, 0.968165, 0.98477, 0.254103, 0.475127, 1.34628, 0.992896
0.28, 0.0319375, -0.363971, 0.476029, 1.96161, 1.07841, 0.941824, 0.50666, 1.66949, 2.84865, 4.25762, 4.85832, 4.21687, 3.1892, 2.81389, 2.67826, 2.52141, 2.85252, 3.19633, 3.29242, 2.3661, 2.12268, 2.49175, 2.47065, 3.56244, 2.50227, 1.5572, 1.27484, 0.318965, 0.439046, 1.51938, 1.36633
0.3, 0.0319375, -0.96325, 0.751106, 1.70874, 1.03616, 0.520002, 0.371942, 1.39805, 3.06719, 4.11833, 4.65139, 3.49306, 2.84026, 2.95851, 3.19873, 3.32445, 3.34342, 3.81392, 3.3272, 3.05057, 2.47094, 2.96741, 2.92767, 1.78289, 1.20208, 1.21873, 0.793303, 0.34337, 0.540087, 1.05194, 0.760767
0.32, 0.0319375, -1.14907, -0.879745, -0.57488, -0.371816, -0.367874, 0.0975875, 1.75845, 3.33752, 3.64181, 3.09489, 2.70084, 1.73078, 2.4155, 4.001, 4.04677, 3.81822, 3.97431, 3.59174, 3.47633, 3.06067, 2.83652, 3.11061, 2.28986, 1.12021, 0.56791, 0.430974, 0.162771, 0.718384, 1.6505, 0.867943
0.34, 0.0319375, -0.504221, -0.351402, -0.945508, -1.45944, -2.06609, -1.0147, 2.55921, 3.53259, 1.95943, 1.55003, 1.43958, 1.22913, 2.36689, 3.78784, 2.37453, 3.18645, 3.10609, 4.14679, 3.29682, 2.29359, 2.84891, 2.5839, 1.06193, 0.577047, -0.307753, -0.104417, -0.275032, -0.559045, 0.11158, 0.336325
0.36, 0.0319375, -0.778158, -1.88288, -2.48236, -1.9816, -1.78813, -0.127747, 2.65003, 2.7671, 1.68124, 1.55858, 1.20947, 1.72602, 3.56878, 3.34088, 2.19501, 2.66153, 2.51611, 3.05524, 1.95192, 3.29149, 3.80393, 2.01237, 0.747187, 0.631263, -0.310178, 0.148403, -0.821887, -1.10361, -0.545967, -0.12546
0.38, 0.0319375, -0.164902, -1.49946, -1.05392, -1.03894, -0.856044, 0.353292, 1.19549, 1.72299, 2.75622, 4.16154, 3.70132, 2.73967, 2.75604, 1.89223, 1.84879, 2.29652, 3.35316, 3.04641, 2.24892, 3.06699, 1.94796, 1.36292, 0.671819, 0.00678935, -0.217457, -0.746889, -1.11948, -0.880971, -0.514629, -0.369942
0.4, 0.0319375, -0.19213, -0.354328, -0.158931, -1.45864, -1.68392, -1.06557, 0.106815, 4.21537, 4.04328, 2.32123, 0.669132, -0.544853, 0.549488, 2.85145, 3.47693, 2.27686, 1.40217, 0.979712, 2.73153, 2.2796, 1.26758, 1.1539, 1.08598, -0.729216, -0.644902, -0.844934, -0.426893, -0.456324, -0.140812, -0.214322
0.42, 0.0319375, -0.98167, -1.91952, -1.74411, -1.35406, -1.10037, -1.46377, -0.232513, 3.8322, 4.44529, 1.4425, -0.552634, -0.443918, 0.929669, 1.91811, 4.0941, 2.84708, 0.0563636, -0.015828, 2.51944, 3.06633, 0.534519, 0.337246, 1.73144, 0.0552427, -0.634015, -0.387168, -0.1771, -0.163655, -0.842195, -0.239522
0.44, 0.0319375, -1.3341, -1.24114, -2.03189, -1.56889, -1.3525, -1.33998, -0.96203, 1.72145, 4.72163, 3.36839, -0.283612, -0.331601, 0.075784, 0.360346, 3.10971, 4.31555, 0.972936, -1.15103, 0.225639, 3.81447, 2.95844, -1.22851, 0.592746, 1.00045, -1.62105, -0.0557873, -0.0345217, -0.827077, 0.210068, -0.736917
0.46, 0.0319375, -1.06127, -0.925114, -1.07685, -1.52327, -1.53845, -1.68841, -1.12595, 0.638439, 4.77748, 4.43897, 0.493708, -0.821227, -1.09543, -0.797059, 1.27365, 4.40067, 2.79195, -0.191015, -0.431021, 3.21129, 3.85461, 0.470426, -0.50228, 1.15958, -0.513737, -0.666989, 0.365506, -0.913541, 1.71477, 0.424155
