# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.68109, -2.77481, -2.14694, -2.52575, -2.281, -2.37213, -1.71922, -1.09536, -1.92336, -1.88025, -3.42021, -4.05576, -3.68034, -3.02176, -3.01135, -2.90439, -2.99756, -2.25647, -2.6927, -3.30909, -3.16061, -2.02823, -1.88362, -2.33636, -2.46884, -2.36006, -2.42274, -2.31225, -2.47638, -2.80673
0.02, 0.0319375, -3.02795, -2.51138, -1.80231, -2.39146, -2.21988, -2.27181, -1.20028, -1.06747, -2.07234, -2.60051, -3.34637, -4.01171, -3.60933, -2.77293, -2.79991, -2.46861, -2.05145, -2.06702, -2.57163, -2.92635, -2.78735, -2.04916, -1.95284, -1.91743, -2.14955, -1.94396, -2.1631, -2.73137, -2.66857, -2.87126
0.04, 0.0319375, -2.83961, -2.71425, -2.90144, -3.02653, -2.00687, -2.13669, -1.88628, -1.39795, -2.01239, -1.84768, -3.10361, -3.53281, -3.66968, -2.65256, -2.79909, -2.47824, -1.86909, -1.54844, -2.55651, -3.34496, -2.71737, -2.14405, -1.82477, -1.73219, -2.18163, -2.09773, -1.91295, -2.01535, -2.87269, -2.61939
0.06, 0.0319375, -2.82622, -2.56538, -2.54493, -2.25307, -2.37226, -2.08687, -1.64921, -1.85568, -3.15484, -2.86545, -3.10903, -3.17661, -3.62684, -3.42632, -3.12027, -2.7677, -1.68569, -1.32807, -2.36145, -3.39289, -2.8995, -2.48253, -2.33866, -1.80122, -2.20106, -1.96637, -2.02124, -2.15765, -2.65853, -2.47025
0.08, 0.0319375, -2.80327, -3.05937, -3.00446, -2.76212, -2.39886, -2.92746, -2.68913, -2.26927, -3.27787, -2.71856, -2.82691, -2.91091, -3.02978, -3.17301, -3.06517, -2.78266, -2.12105, -1.7965, -2.67655, -2.79684, -2.54964, -1.88124, -2.01869, -2.08159, -2.24151, -2.49341, -1.90238, -2.13384, -2.87759, -3.10671
0.1, 0.0319375, -2.81864, -3.29163, -2.93639, -2.99782, -2.77404, -2.75454, -2.06532, -1.98219, -2.91473, -3.29662, -2.496, -2.59636, -3.4221, -3.3955, -3.7508, -2.43991, -1.78034, -2.27974, -3.22042, -3.56088, -2.8134, -1.92563, -2.39847, -2.38421, -2.47526, -2.55598, -2.2026, -2.6264, -2.97249, -3.11308
0.12, 0.0319375, -2.05536, -2.86738, -2.39008, -2.16788, -2.86626, -2.7694, -2.1738, -2.18999, -2.34924, -2.5898, -2.94203, -3.19846, -3.18415, -3.34357, -2.73549, -2.59256, -2.02958, -2.56615, -2.55451, -2.77189, -2.37244, -2.12251, -2.21262, -2.23632, -2.29581, -2.14626, -1.98506, -2.02409, -2.61017, -2.72386
0.14, 0.0319375, -2.46769, -2.41508, -1.45942, -1.76955, -2.02998, -2.98515, -3.07269, -1.55035, -1.66819, -2.04989, -3.59232, -3.48037, -2.97875, -3.11923, -3.32674, -3.2037, -2.3338, -2.33944, -2.32295, -2.43352, -2.26217, -2.22195, -2.17498, -2.00667, -2.09811, -2.0851, -1.71617, -1.79506, -2.03622, -1.89452
0.16, 0.0319375, -2.28091, -1.96187, -1.39124, -1.61201, -1.78601, -2.80831, -1.83832, -1.53852, -1.9793, -1.88524, -3.26814, -3.70491, -2.61177, -3.12647, -2.79673, -2.63975, -2.23458, -2.46541, -2.71395, -2.62129, -1.93155, -2.04727, -2.47765, -2.18694, -1.98307, -2.12849, -1.57591, -1.84871, -1.85562, -2.05298
0.18, 0.0319375, -2.02204, -2.09091, -1.41601, -2.15742, -0.950813, -0.789046, -0.329384, -0.852502, -0.723631, -0.934851, -1.26395, -2.46764, -2.59584, -2.39833, -2.84358, -2.524, -1.22685, -1.14014, -2.22671, -2.15953, -1.8074, -1.69972, -2.05249, -1.77213, -1.71541, -1.82076, -1.47057, -1.53788, -1.34594, -1.62642
0.2, 0.0319375, -2.37651, -1.10974, -1.15295, -0.904757, 0.527724, 0.493058, 0.728017, 0.231609, -0.295832, -0.312195, -0.405333, -0.250786, -0.402417, -0.414525, -1.52744, -1.72051, -1.53747, -1.24097, -1.41748, -1.89893, -2.09849, -2.06848, -2.03122, -1.90585, -1.33288, -1.09298, -0.895706, -0.926309, -1.15419, -0.944522
0.22, 0.0319375, -1.4986, -1.43444, -0.961941, -1.6264, 0.276341, 1.39945, 2.94966, 1.2809, 0.0111504, 0.517429, 1.16296, 1.06531, 1.44319, 0.448123, -0.347503, -0.572309, -0.889718, -0.916206, -0.525492, -0.892878, -0.814909, -2.1007, -1.82124, -1.23035, -1.10593, -0.604794, -0.42232, -0.61378, -1.06606, -1.20472
0.24, 0.0319375, -0.935409, -1.68335, -0.839292, -0.89832, 0.130046, 1.37255, 3.30488, 1.67526, 0.32926, 1.50888, 0.888676, 0.735796, 0.360539, 0.128756, 0.153384, -0.283439, -0.524289, -0.792249, -0.405026, -0.839195, 0.000591342, -0.770387, -1.15367, -0.717384, -1.21609, -1.03158, -0.784113, -0.676992, -0.95274, -0.838988
0.26, 0.0319375, -1.63944, -1.65553, -0.371585, -1.04315, -0.592722, 1.21226, 3.22589, 1.46129, 0.366862, 1.0291, 0.541854, 0.628368, 1.28929, 0.469115, -0.337829, -1.16528, -0.441037, -0.40716, -1.12646, -0.918001, 0.663116, -0.536096, -1.11649, -0.563644, -0.673213, -0.861289, -1.24894, -0.478999, -0.878464, -0.325798
0.28, 0.0319375, -1.27739, -0.972775, -1.19611, -1.07928, -0.452344, 0.876211, 2.50303, 1.03703, 0.0279233, 0.265346, 0.0395654, 0.608436, 0.268348, -0.286967, -0.799929, -1.85376, -0.80996, -1.05527, -1.66699, -1.53182, -0.369889, -0.743844, -1.21889, -0.490912, -0.425476, -0.464728, -0.923911, -0.442978, -0.865424, -0.380533
0.3, 0.0319375, -1.24456, -1.15952, -1.56133, -1.45207, -0.890704, -0.0164812, 2.10225, 0.634422, -0.322387, -0.370899, -0.533958, -0.156643, -0.0774596, -0.416871, -0.681851, -1.91389, -1.55594, -1.28346, -1.6268, -1.35904, -1.4231, -1.62703, -1.98171, -0.985242, -0.552858, -0.614587, -0.894681, -0.481015, -0.674602, -0.720966
0.32, 0.0319375, -1.98399, -2.07368, -1.71206, -2.26012, -1.44176, 0.20849, 2.03961, 0.430743, -0.916781, -0.438892, -0.727043, -0.256496, -0.50037, -0.903294, -1.53548, -2.21405, -1.0146, -0.260383, -1.69433, -1.93044, -1.35094, -2.07132, -1.97228, -0.736587, -0.270727, -0.379902, -0.774255, -0.508048, -0.852887, -0.951261
0.34, 0.0319375, -1.3461, -1.0052, -0.77628, -1.08857, -1.58113, -0.194289, 1.24877, -0.24561, -0.997644, -1.03017, -1.49129, -0.911596, -0.748917, -1.32897, -1.78722, -2.31862, -1.73269, -0.986626, -1.41334, -1.5152, -2.03733, -2.8702, -2.24681, -0.874167, -0.559692, -0.447304, -0.434391, -0.444056, -0.771154, -0.439887
0.36, 0.0319375, -1.68568, -2.20868, -1.45742, -1.11265, -0.61853, -0.536883, 0.527958, -0.857362, -0.909953, -1.14496, -1.38159, -1.62623, -1.62939, -1.63949, -2.07185, -2.0104, -1.57928, -0.982198, -1.19524, -1.96109, -2.68321, -2.79529, -2.18776, -0.9722, -0.653604, -0.557551, -0.571371, -0.217598, -0.907356, -0.639809
0.38, 0.0319375, -2.26184, -1.65231, -1.07826, -1.29828, -1.07874, -1.08452, 0.089306, -0.963089, -1.34442, -1.83542, -2.42838, -2.49451, -2.0527, -2.03224, -2.36014, -2.14756, -1.4824, -1.55151, -1.28381, -1.93109, -2.13214, -2.15427, -1.71962, -0.751132, -0.330075, -0.708294, -0.745884, -0.16064, -0.329304, -0.76594
0.4, 0.0319375, -2.57061, -1.61408, -1.66966, -1.56166, -1.50387, -1.00315, -0.314847, -1.37005, -1.71662, -1.86911, -2.18037, -2.54993, -2.22978, -2.43022, -1.77112, -1.9589, -1.75157, -1.68953, -2.02815, -2.29069, -1.98663, -2.49058, -2.10776, -0.84185, -0.386, -0.0152902, -0.716804, -0.706744, -0.474553, -0.781263
0.42, 0.0319375, -1.6772, -2.24295, -1.82789, -1.54994, -1.22734, -1.0304, -1.20882, -1.87249, -1.89625, -2.1842, -2.28615, -2.66151, -1.84034, -1.81546, -1.81253, -1.87521, -1.71283, -1.25136, -1.25426, -2.24902, -2.12788, -1.98729, -1.80809, -0.407914, -0.562092, -0.389196, -0.653957, -0.73149, -0.994395, -0.781546
0.44, 0.0319375, -2.46161, -1.98385, -2.13508, -1.41629, -1.66121, -1.47012, -1.53639, -1.55811, -2.35046, -2.87829, -2.64468, -2.63096, -2.40234, -2.0405, -2.00112, -2.10692, -1.65058, -1.0121, -1.68084, -2.11058, -2.36476, -2.17032, -1.92955, -1.05782, -0.624013, -0.706743, -0.861917, -0.878223, -0.824816, -0.806886
0.46, 0.0319375, -1.94409, -2.02917, -1.76398, -1.89885, -2.16079, -1.09567, -1.29051, -2.01151, -3.20507, -3.395, -3.37224, -2.86883, -2.47881, -2.23598, -2.34246, -2.16948, -1.35861, -0.854509, -1.48618, -2.24703, -2.81796, -3.07481, -2.31849, -1.10407, -0.818525, -0.698279, -0.994729, -0.602137, -0.939222, -1.02289
0.48, 0.0319375, -2.72643, -2.30064, -2.27357, -2.09849, -1.99865, -1.54608, -2.26761, -2.30707, -3.23515, -3.33367, -3.37582, -2.81383, -2.33706, -2.1049, -2.14818, -2.07555, -1.63004, -1.08487, -1.41357, -1.83187, -2.56454, -2.73657, -1.94803, -1.10954, -1.13025, -0.568594, -0.659871, -0.370041, -0.941913, -1.25143
0.5, 0.0319375, -1.92365, -1.96319, -2.56251, -2.60616, -1.76043, -1.62027, -1.17483, -2.04886, -2.81157, -2.89591, -2.91395, -3.09888, -3.22408, -2.17882, -1.98659, -2.34138, -1.65825, -1.25516, -1.43099, -2.33122, -3.15084, -2.86534, -2.2356, -1.58105, -1.17558, -0.911463, -0.697345, -0.477232, -0.794149, -1.22265
0.52, 0.0319375, -1.7985, -2.14051, -2.24326, -1.59501, -1.78675, -1.98199, -1.74783, -2.25859, -2.53996, -2.75739, -3.12652, -2.3514, -2.50621, -1.87794, -1.80699, -1.96451, -2.17333, -1.90546, -1.82734, -2.77957, -3.05386, -2.60437, -2.60471, -1.86703, -1.54097, -1.00954, -0.882048, -0.851956, -1.18105, -1.12338
0.54, 0.0319375, -1.88482, -1.65076, -1.77082, -1.91533, -1.47862, -1.61773, -2.03083, -3.14701, -2.22276, -2.51143, -3.33071, -2.64396, -1.93914, -1.59312, -1.68437, -1.6579, -1.35593, -1.46784, -1.67577, -2.79832, -3.04762, -2.90929, -2.52224, -1.49461, -1.56043, -1.44542, -1.32194, -0.951384, -0.793293, -0.950111
0.56, 0.0319375, -2.03259, -2.43571, -2.07223, -1.87908, -1.4553, -1.92097, -2.16679, -2.44673, -3.0531, -2.62986, -3.03344, -2.38952, -2.22896, -1.86895, -2.11473, -2.0921, -1.45008, -1.57572, -1.59771, -2.14862, -3.20604, -2.3286, -2.18485, -1.46437, -1.20964, -1.24231, -1.09711, -0.930618, -1.03462, -1.2222
0.58, 0.0319375, -1.99782, -1.30694, -1.94438, -2.50491, -1.11098, -1.45887, -0.941053, -1.68598, -2.12057, -2.35163, -2.53071, -2.0645, -2.44691, -2.34369, -1.36686, -2.24343, -1.59635, -1.1273, -0.900331, -1.87152, -2.33273, -2.34567, -2.34656, -1.71221, -1.45988, -1.40376, -1.0094, -0.85471, -1.02113, -0.921992
0.6, 0.0319375, -1.8588, -2.20454, -2.00708, -2.0123, -0.891862, 0.0201122, 1.99286, 0.923496, -0.885633, -1.56197, -2.02708, -1.45601, 0.277508, 0.466233, -1.35298, -2.09713, -1.68241, -1.21837, -1.28347, -2.10525, -2.261, -2.11397, -1.92053, -1.6923, -1.19478, -0.993821, -0.953795, -0.94466, -0.426529, -1.01847
0.62, 0.0319375, -0.629334, -1.85618, -2.23628, -1.06862, -0.361789, 0.432524, 2.16512, 2.1406, 0.893163, -0.50086, -1.03939, -0.666567, 0.144358, 1.12271, -0.184758, -1.24761, -1.00005, 0.0232563, 0.314513, -1.32328, -1.33904, -1.6223, -1.73365, -0.886753, -0.70382, -0.717024, -1.04755, -0.700299, -0.358901, -0.795038
0.64, 0.0319375, -0.811412, -1.32972, -1.25656, -0.914092, -0.699024, 0.130194, 1.93766, 2.873, 1.11036, -0.688183, -0.440451, -0.277557, 0.919807, 1.12516, 0.136038, -0.874677, -0.576998, 0.738579, 0.997912, -0.651169, -0.460095, -1.07478, -0.349398, 0.0203735, -0.916169, -0.85982, -0.874763, -1.28743, -0.588312, -0.968379
