# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.23691, -2.18088, -2.30782, -2.79369, -2.60452, -2.5141, -2.26753, -2.14051, -2.70878, -1.98525, -2.0145, -2.4389, -2.80639, -2.72895, -2.6765, -2.39099, -3.47339, -3.61061, -3.66407, -3.91279, -3.70456, -3.79908, -3.70041, -3.51109, -3.46856, -3.17438, -3.45697, -3.52968, -3.38867, -3.31191
0.02, 0.0319375, -2.85906, -1.6799, -2.18256, -3.01717, -2.90727, -2.42469, -2.12773, -1.79328, -1.98508, -2.19255, -1.8506, -2.50246, -2.40478, -2.88374, -2.78944, -2.96047, -3.51172, -3.53682, -3.90991, -4.15894, -4.09198, -4.16053, -3.5202, -3.95965, -3.90086, -3.38905, -3.6015, -3.48138, -3.35296, -3.45965
0.04, 0.0319375, -1.88851, -1.89028, -2.76764, -2.3286, -2.82963, -1.86727, -2.21173, -2.66716, -2.0869, -1.70407, -2.06283, -2.6468, -2.6088, -2.66575, -2.84827, -3.00725, -3.3306, -3.47101, -3.87778, -3.692, -4.29905, -3.8975, -3.61797, -3.62311, -3.67385, -4.09799, -3.52374, -3.46508, -3.54569, -3.40455
0.06, 0.0319375, -1.88909, -2.07591, -2.2356, -2.31023, -2.37241, -2.13037, -2.72177, -2.74514, -1.64307, -1.56746, -1.73166, -2.46485, -2.51564, -3.08751, -3.16125, -3.30045, -3.06238, -3.46642, -3.56281, -3.98152, -3.60321, -3.80585, -3.76831, -3.41934, -3.65434, -3.76498, -3.46109, -3.45881, -3.5096, -3.7204
0.08, 0.0319375, -2.51546, -2.5131, -2.77064, -2.61937, -3.04599, -3.07497, -2.52092, -2.13049, -1.81076, -2.36774, -2.76474, -2.88409, -2.57848, -2.18701, -2.52337, -2.84396, -3.64237, -3.72312, -4.05709, -4.44401, -4.05386, -3.94666, -4.15389, -4.09125, -3.69264, -3.6789, -3.38615, -3.83665, -3.40644, -3.1729
0.1, 0.0319375, -2.42159, -2.60562, -2.36469, -3.36452, -2.77892, -2.74612, -2.07723, -2.04227, -1.51201, -2.31496, -2.34061, -2.34616, -2.90039, -2.48457, -2.74037, -3.13304, -3.30095, -3.53999, -3.93494, -3.73968, -3.54113, -3.7793, -4.15748, -3.69253, -3.65983, -3.44406, -3.28558, -3.51842, -3.41703, -3.4634
0.12, 0.0319375, -2.19299, -2.20326, -2.63445, -2.95066, -2.91364, -2.37652, -1.74761, -1.74384, -1.09493, -1.86341, -2.12568, -2.50562, -2.5817, -2.16182, -2.98339, -3.25467, -3.65357, -3.81346, -3.97464, -3.90884, -3.52087, -3.5363, -4.10069, -3.98386, -3.74156, -3.58445, -3.62007, -3.3766, -3.47056, -3.51265
0.14, 0.0319375, -1.66254, -2.03029, -2.32165, -2.64364, -3.19602, -3.32403, -2.25966, -2.45876, -1.5272, -1.79394, -2.40799, -2.3036, -2.42698, -3.04256, -3.1372, -3.16874, -3.17316, -3.60677, -3.66964, -3.67822, -3.97353, -3.96032, -3.81109, -3.818, -4.07669, -3.5162, -3.88625, -3.83892, -3.51281, -3.52265
0.16, 0.0319375, -1.85787, -1.62512, -2.58721, -3.00508, -2.58932, -2.35205, -2.97987, -2.18627, -2.04087, -2.03933, -2.31775, -2.29278, -2.69045, -2.185, -2.47673, -3.05562, -3.44388, -3.72783, -3.39209, -3.60193, -3.9069, -4.09204, -4.09713, -3.63444, -3.66677, -3.78916, -3.61661, -3.38357, -3.44865, -3.86859
0.18, 0.0319375, -1.47871, -1.52192, -2.74369, -2.63413, -2.92332, -2.87364, -2.81431, -2.34378, -1.50134, -1.59643, -2.2699, -2.81028, -2.54233, -2.61472, -2.65023, -3.58553, -3.41232, -3.51967, -3.80149, -3.87227, -3.79785, -4.19036, -3.918, -3.98719, -3.72035, -3.55213, -3.36619, -3.8511, -3.72576, -3.27162
0.2, 0.0319375, -1.7513, -1.32183, -2.10639, -2.49793, -2.38491, -2.33556, -2.33305, -2.20823, -1.4406, -1.69269, -1.93141, -2.59368, -2.79947, -2.44823, -2.9534, -3.33783, -3.67001, -3.31446, -3.71957, -4.14438, -3.9928, -3.90395, -3.87073, -3.64637, -4.07269, -4.02331, -3.42052, -3.40199, -3.63984, -3.47357
0.22, 0.0319375, -1.76626, -2.45949, -2.01156, -3.1276, -3.78348, -2.72577, -2.29106, -2.06511, -1.87812, -1.33798, -1.42644, -2.32101, -2.81965, -2.21966, -2.65522, -3.08486, -2.98639, -3.64345, -3.93246, -3.72139, -3.6348, -4.09486, -4.10594, -3.83312, -3.60991, -3.65817, -3.48143, -3.55429, -3.72509, -3.73835
0.24, 0.0319375, -2.38743, -2.05815, -2.2042, -2.31237, -3.11041, -2.83867, -2.24326, -1.35706, -1.33057, -2.48627, -2.24075, -2.37146, -2.40848, -2.33735, -2.84318, -3.03934, -3.28832, -3.13854, -3.67039, -3.94447, -3.92677, -3.75991, -4.04055, -3.82735, -3.64651, -3.78477, -3.64957, -3.46397, -3.39745, -3.26555
0.26, 0.0319375, -1.55951, -2.22871, -2.90652, -2.74856, -3.29763, -2.54069, -2.29184, -1.62631, -2.12244, -2.14549, -1.99012, -2.37713, -2.90083, -2.49122, -2.85134, -3.08085, -3.58814, -3.20195, -3.81233, -3.89011, -3.81404, -3.6615, -4.36863, -3.92261, -3.66422, -3.47712, -3.86557, -3.78982, -3.4154, -3.31274
0.28, 0.0319375, -1.59102, -1.7648, -2.09444, -2.58591, -2.56106, -2.7052, -2.37119, -2.04131, -2.5105, -2.56825, -2.43994, -2.84613, -2.76329, -2.87216, -3.0157, -2.74319, -3.1733, -3.56844, -3.9038, -4.00254, -3.74735, -3.5937, -3.76308, -3.96432, -3.77996, -3.52125, -3.5021, -3.41842, -3.17391, -3.38938
0.3, 0.0319375, -1.59351, -1.61564, -1.98817, -2.27564, -2.4446, -2.48146, -2.14988, -2.59564, -1.90024, -1.83616, -2.10311, -2.31544, -3.05067, -2.60669, -3.26403, -3.10282, -3.82895, -3.49516, -3.68811, -3.74932, -3.91648, -3.64843, -3.62206, -3.48517, -3.71994, -3.42404, -3.58979, -3.62222, -3.42882, -3.46069
0.32, 0.0319375, -1.50062, -2.44154, -2.63868, -2.67627, -2.99963, -2.20254, -1.79883, -1.145, -1.54678, -1.87426, -1.89863, -2.42721, -2.81283, -2.78803, -2.85141, -3.41659, -3.40081, -3.7001, -3.59839, -3.63324, -3.82948, -3.98462, -3.55345, -3.79142, -3.60212, -3.56715, -3.71827, -3.00306, -3.11831, -3.1513
0.34, 0.0319375, -1.96062, -1.6666, -2.46623, -2.37044, -2.31456, -2.87709, -2.10702, -1.7773, -1.63892, -2.01158, -2.14558, -2.46401, -2.90349, -2.84114, -3.15025, -3.28964, -3.26589, -3.44217, -3.69836, -4.15569, -3.85976, -3.8425, -3.73129, -3.50609, -3.53342, -3.50672, -3.5871, -3.17929, -3.50061, -3.28298
0.36, 0.0319375, -1.67044, -1.09694, -2.19587, -3.14602, -3.76274, -3.18136, -2.37323, -2.0101, -1.72856, -1.86721, -1.72461, -2.27843, -2.70327, -2.83844, -2.4016, -2.93719, -3.02834, -2.99036, -3.60871, -3.80843, -3.5786, -3.95182, -3.45399, -3.48163, -3.96876, -3.57921, -3.51584, -3.40472, -3.13139, -2.96338
0.38, 0.0319375, -1.98352, -1.82364, -2.56269, -2.96528, -3.07155, -2.577, -2.06559, -1.91104, -1.90826, -1.94418, -2.65361, -1.97282, -2.63565, -2.59417, -2.5071, -3.30146, -3.64665, -3.93842, -3.75565, -4.09842, -3.64624, -3.98339, -3.5495, -4.08061, -3.50871, -3.38125, -3.63907, -3.31978, -3.52663, -3.56478
0.4, 0.0319375, -1.73596, -1.2425, -1.98457, -2.62486, -2.64028, -3.03256, -2.51832, -2.37577, -2.37461, -1.89998, -2.48329, -2.94074, -2.72978, -2.51392, -2.97521, -2.68213, -3.52673, -3.58741, -3.69122, -3.82228, -3.84779, -3.84384, -3.5631, -3.58354, -3.60732, -3.39808, -3.59866, -3.42539, -2.97955, -3.49688
0.42, 0.0319375, -1.9605, -2.72902, -2.55598, -2.36644, -2.68104, -3.2723, -2.26513, -1.92936, -1.9043, -1.9253, -1.67503, -2.3745, -3.05747, -2.69885, -3.51597, -2.98843, -3.34174, -3.54519, -3.60814, -3.95422, -4.59729, -3.8957, -3.88557, -3.81359, -3.5079, -3.75541, -3.56393, -3.52084, -3.44624, -3.41477
0.44, 0.0319375, -2.02692, -1.78443, -2.65192, -2.91989, -2.93446, -2.96384, -2.15959, -1.99748, -1.41498, -1.85217, -2.51548, -2.34965, -2.4922, -2.60112, -3.24972, -3.3982, -3.91802, -3.88754, -4.14827, -4.09861, -4.17434, -3.91696, -4.03716, -3.90107, -3.54272, -3.6011, -3.4075, -3.72675, -3.75201, -3.58512
0.46, 0.0319375, -2.169, -2.33316, -2.75638, -2.99028, -2.6521, -2.6817, -2.27833, -1.67403, -1.48049, -1.66288, -2.1075, -2.19711, -2.51178, -2.72469, -3.53784, -2.80592, -3.18881, -3.66545, -3.8355, -4.07131, -4.31435, -3.54997, -3.32768, -3.54298, -3.71676, -3.66709, -3.48816, -3.38292, -3.21142, -3.39907
0.48, 0.0319375, -2.50308, -2.06399, -2.36526, -3.02328, -2.27835, -2.42575, -2.53569, -2.28061, -2.26498, -2.04362, -2.58432, -2.50974, -2.71704, -2.21761, -3.4766, -3.19422, -3.52064, -3.67953, -3.45459, -3.77459, -3.91047, -3.72885, -3.91267, -3.98525, -3.57609, -3.86156, -3.81743, -3.64525, -3.38274, -3.63526
