# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -7.18691, -7.08031, -7.66622, -7.31308, -7.30109, -7.19875, -6.85326, -7.09857, -6.95064, -7.3323, -7.38989, -7.50622, -6.81351, -6.99647, -6.8802, -6.79026, -6.52738, -6.97034, -6.57289, -6.61845, -5.97705, -6.16862, -6.22088, -5.90504, -6.03179, -5.96356, -5.94858, -5.78225, -5.80021
0.02, 0.0319375, -3.12683, -2.67799, -2.86529, -2.10492, -1.40745, -2.30035, -2.12728, -1.85782, -2.18545, -2.30447, -2.59523, -3.00706, -3.46523, -2.34992, -2.12452, -2.79792, -2.66689, -2.77, -2.62882, -2.41294, -2.67679, -2.35127, -2.25525, -2.15094, -2.38268, -2.96634, -2.56303, -1.98061, -1.90722, -2.0954
0.04, 0.0319375, -1.75201, -1.51874, -1.23245, -1.43815, -1.52157, -1.4141, -1.86289, -1.52173, -1.69134, -2.1676, -2.03419, -2.47509, -2.20914, -1.83647, -1.90917, -1.84075, -1.7532, -1.60792, -1.48716, -1.89839, -2.00742, -1.50506, -1.51169, -1.72799, -1.88397, -2.00351, -1.78888, -1.66841, -1.53247, -1.32067
0.06, 0.0319375, -1.55187, -1.48821, -1.6563, -1.90038, -1.70753, -1.76968, -1.09947, -1.53769, -1.42087, -1.81519, -1.36523, -1.27449, -1.52171, -1.72531, -1.85366, -1.77162, -1.80959, -1.70538, -1.81375, -1.64388, -1.78796, -1.5069, -1.33963, -1.53832, -1.8985, -1.5925, -1.55426, -1.48794, -1.49785, -1.20337
0.08, 0.0319375, -1.53017, -0.834805, -0.913813, -0.728977, -1.04883, -1.76199, -1.45012, -1.3882, -0.980357, -0.326577, -1.22632, -1.31625, -1.11945, -1.10385, -0.903774, -1.52951, -1.02592, -0.807237, -1.26259, -1.02639, -1.06015, -0.70654, -0.887144, -0.808347, -0.933582, -0.930575, -0.983221, -0.714829, -0.647417, -0.861362
0.1, 0.0319375, -0.910552, -0.777094, -0.793698, -0.877761, -0.697059, -1.58203, -0.848274, -0.348448, -0.248668, -0.632662, -0.545027, -0.841991, -1.40679, -0.829911, -0.763326, -1.20169, -1.21054, -0.912413, -0.65204, -0.393324, -0.30711, -0.372951, -0.508949, -0.457918, -0.525739, -0.550369, -0.711959, -0.424688, -0.193884, -0.044104
0.12, 0.0319375, -1.03402, -1.26304, -0.444767, -0.107006, -0.226622, -0.53608, -0.293296, -0.56906, -0.577056, -0.386955, -0.79804, -0.719021, -0.518981, -0.787731, -0.829888, -0.623701, -0.571288, -0.00511534, 0.0685346, -0.261567, -0.0490254, -0.0287001, 0.157548, -0.0692101, -0.039307, 0.00832622, 0.0672752, -0.176087, -0.173659, 0.148297
0.14, 0.0319375, -1.03704, -0.852443, -0.99702, -0.720116, -0.522313, -0.77824, -0.0894872, -0.132147, -0.426398, 0.218553, -0.337467, -0.00585754, 0.114014, 0.0708155, -0.271927, -0.156342, -0.199847, -0.0097695, -0.362969, -0.382176, -0.281347, -0.733118, 0.166281, -0.0541718, -0.259756, 0.0326627, 0.00587143, -0.0729342, -0.32581, 0.141475
0.16, 0.0319375, -1.49855, -0.454892, -0.87474, -1.27598, -1.30663, -1.00019, -1.40069, -1.09067, -0.391791, -0.569519, -0.566094, -0.428067, -0.572899, -0.582855, -0.404985, -0.505705, -0.902678, -0.670712, -0.411162, -0.467403, -0.608187, -0.485135, -0.39912, -0.45474, -0.41385, -0.630235, -0.693886, -0.495106, -0.471811, -0.414556
0.18, 0.0319375, -1.55156, -1.84455, -1.41978, -1.09504, -1.03028, -0.800818, -1.21476, -0.626391, -0.575649, -0.328328, -0.553865, -0.970725, -0.466554, -0.664707, -0.613848, -0.807094, -0.79786, -0.669037, -0.867939, -0.319462, -0.478095, -0.812543, -0.194684, -0.510484, -0.590241, -0.470193, -0.584905, -0.388747, -0.367835, -0.122045
0.2, 0.0319375, -1.61136, -1.80354, -2.07589, -1.2303, -0.54985, -0.220275, -0.305792, -0.702946, -0.98903, -1.15277, -0.996791, -0.872196, -1.12627, -1.2797, -1.27601, -0.661766, -0.70049, -0.655873, -0.676269, -0.715451, -0.664934, -0.579947, -0.851189, -0.891806, -1.09944, -0.385051, -0.422931, -1.0429, -0.905846, -0.609759
