# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.82119, -8.05905, -8.05905, -7.60061, -7.49613, -7.30663, -7.3363, -7.27404, -7.05643, -6.99004, -7.57889, -7.28897, -7.21929, -6.59204, -6.71732, -6.68636, -6.24998, -6.6949, -6.58888, -6.69119, -6.87963, -6.41494, -6.17764, -6.40062, -6.21829, -6.35437, -6.15292, -5.94741, -5.9782, -6.01073
0.02, 0.0319375, -8.05905, -8.05905, -7.84948, -7.54241, -7.48078, -7.03083, -7.37591, -7.36553, -7.32499, -6.94972, -6.77606, -6.8011, -6.82744, -7.44592, -6.91165, -6.98097, -6.70846, -6.51303, -6.53197, -6.27961, -6.06396, -5.90334, -6.44665, -6.26363, -6.1814, -6.13171, -6.0896, -5.90522, -5.84834, -5.74667
0.04, 0.0319375, -7.67838, -7.09263, -6.90459, -7.88712, -7.5031, -7.68254, -7.60106, -7.29701, -7.27581, -7.47686, -7.75478, -6.91401, -7.44422, -6.89646, -6.88633, -7.03349, -7.16016, -6.31402, -6.34417, -6.61178, -6.63178, -6.17103, -5.84817, -6.22818, -6.08338, -5.99276, -6.21625, -5.89439, -6.02717, -5.50475
0.06, 0.0319375, -8.05905, -8.05905, -7.92437, -7.66701, -7.2718, -7.93757, -7.40342, -7.51995, -7.26038, -7.18612, -6.76377, -6.91237, -6.9123, -6.98655, -6.5952, -6.52171, -6.84253, -6.64359, -6.42852, -6.57108, -6.41725, -6.2343, -6.06602, -6.05028, -6.30123, -5.95836, -6.30159, -5.97267, -5.98711, -5.80857
0.08, 0.0319375, -7.9597, -8.05905, -7.80936, -7.09491, -7.47571, -7.44253, -7.63347, -7.83711, -7.17586, -7.05651, -7.19116, -7.20162, -6.90487, -6.95892, -7.09897, -7.13527, -6.82562, -6.54886, -6.66887, -6.7216, -6.47004, -6.39111, -6.60194, -6.20412, -6.16611, -6.02888, -6.09817, -5.83145, -6.05251, -5.85355
0.1, 0.0319375, -7.93009, -7.64239, -7.91166, -8.05905, -7.29003, -7.2424, -7.76344, -7.55282, -7.04009, -7.05633, -7.60849, -7.29024, -6.64096, -7.11991, -7.13104, -6.74334, -6.88447, -7.10816, -6.73887, -6.61926, -6.51217, -6.06857, -6.2688, -6.37452, -6.24664, -6.15581, -5.98896, -6.01659, -6.23901, -6.02065
0.12, 0.0319375, -7.64038, -7.87626, -8.05905, -7.79907, -7.60777, -7.1903, -7.68041, -7.58677, -7.52891, -7.69232, -7.1522, -7.05887, -6.51183, -6.80294, -6.84965, -6.72311, -6.37271, -6.69369, -6.62094, -6.7974, -6.48467, -6.51582, -6.03422, -6.15738, -6.07107, -5.82433, -5.85932, -5.91011, -5.85328, -5.92092
0.14, 0.0319375, -7.50305, -7.59484, -7.60819, -7.78274, -7.12583, -7.28445, -7.62701, -7.48162, -6.74819, -7.2426, -6.57909, -7.07947, -7.40045, -7.31548, -6.81769, -6.68262, -6.43281, -6.57042, -6.58679, -6.80669, -6.30734, -6.50289, -6.33742, -6.107, -5.89139, -6.08195, -5.99497, -5.89584, -5.93185, -5.83298
0.16, 0.0319375, -7.96235, -8.03318, -7.84627, -7.84367, -8.05905, -7.40933, -7.18033, -7.67299, -7.512, -7.68404, -7.49306, -7.11316, -6.84398, -6.68226, -6.82911, -6.92204, -6.46935, -6.62462, -6.62254, -6.66498, -6.54877, -6.40544, -6.29388, -6.53676, -6.41691, -6.26298, -5.88257, -5.95115, -6.08944, -5.80531
0.18, 0.0319375, -8.02349, -7.93577, -7.24385, -7.94869, -7.62639, -7.97006, -7.93567, -7.84369, -7.27762, -7.17355, -7.21842, -7.06777, -6.74131, -6.65436, -6.26633, -6.96938, -6.6665, -6.73019, -6.62193, -6.39248, -6.28659, -6.4431, -6.36144, -6.26024, -6.26655, -6.05814, -5.72951, -6.13598, -5.96953, -5.75908
0.2, 0.0319375, -8.05905, -8.05905, -7.9828, -7.64904, -7.07332, -7.31544, -7.74917, -6.87061, -6.67248, -7.01536, -7.18556, -6.89938, -7.24602, -7.20036, -6.58143, -6.52982, -6.51643, -6.51761, -6.37049, -6.14593, -6.21518, -6.38895, -6.29147, -6.16957, -5.7651, -5.93174, -6.43133, -6.15446, -6.02427, -5.91389
0.22, 0.0319375, -8.00942, -7.76698, -8.05905, -8.05905, -7.38028, -7.53947, -7.39168, -7.87728, -7.50578, -7.57418, -7.13623, -7.05328, -6.98936, -6.60679, -7.23348, -6.75574, -6.80994, -6.75429, -6.89829, -6.56591, -6.43351, -6.45187, -6.1561, -6.18567, -5.99967, -5.8362, -5.95512, -5.61777, -5.87567, -5.72545
0.24, 0.0319375, -7.9356, -7.54562, -8.05905, -7.84382, -7.00287, -7.41992, -7.52598, -7.33711, -7.04198, -6.9231, -7.68115, -7.02229, -6.91259, -7.23219, -7.24712, -6.71754, -6.73448, -6.78117, -6.52745, -6.47177, -6.43097, -6.37882, -6.43204, -6.30088, -6.29094, -6.05508, -6.19365, -6.11267, -5.78771, -5.68252
0.26, 0.0319375, -7.61901, -7.1605, -7.25778, -8.05905, -7.48704, -7.34931, -7.23624, -7.37743, -7.46194, -7.03509, -6.96879, -7.09705, -7.12808, -6.73375, -6.90601, -6.72329, -6.54809, -6.53655, -6.71082, -6.39736, -6.09357, -6.19293, -6.30894, -6.82776, -6.48598, -6.56177, -6.08845, -5.76444, -5.81566, -5.75948
0.28, 0.0319375, -8.03877, -7.29049, -7.39014, -8.05905, -7.76382, -7.3266, -7.1599, -7.40199, -6.83281, -7.17407, -7.79568, -7.49143, -6.94083, -6.62285, -6.74575, -7.02627, -6.5665, -6.35844, -6.63081, -6.63143, -6.5474, -6.49322, -6.28906, -6.48334, -6.30231, -6.10264, -6.40734, -5.99843, -5.93696, -5.97486
0.3, 0.0319375, -7.67834, -8.05905, -7.77761, -7.18833, -7.19471, -7.63093, -7.07461, -6.73613, -7.21334, -7.21718, -7.14918, -7.35376, -6.98074, -6.57018, -6.74699, -6.24647, -6.41254, -6.71885, -6.32356, -6.53871, -6.56407, -6.6092, -6.35759, -6.44318, -6.13345, -6.11499, -5.95646, -5.78603, -6.17088, -5.85638
0.32, 0.0319375, -7.62661, -8.05905, -7.78296, -7.4011, -6.93176, -7.49149, -7.70631, -7.16659, -6.76019, -7.55215, -7.09764, -6.75423, -7.12685, -6.53941, -6.39609, -6.72202, -6.77706, -6.32591, -6.26762, -6.71388, -6.69261, -6.50839, -6.43033, -6.42914, -6.08416, -6.0241, -6.06742, -5.85408, -5.78423, -5.87448
