# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.415593, -0.523877, -0.657051, -0.815139, -1.01376, -0.786005, -1.36154, -2.17867, -1.50955, -0.327865, -0.294253, -0.402287, 0.419127, 0.574555, 0.0924595, 0.0899662, 0.966008, 0.847627, 0.222602, 0.0811245, -0.102938, -0.0859985, 0.289902, 0.213952, 0.13699, 0.129188, 0.0539962, 0.220039, -0.281629, 0.41794
0.02, 0.0319375, -0.0851201, -0.536856, -0.588906, -1.43408, -1.10875, -0.969482, -1.53914, -1.497, -1.19938, -1.4473, -1.19865, -0.551887, -0.309872, -0.31287, 0.619041, -0.246246, 0.475532, 0.15049, -0.0367428, 0.104068, 0.54013, 0.311204, 0.378575, -0.110805, 0.0420318, 0.171323, -0.29123, -0.257381, -0.338047, 0.2143
0.04, 0.0319375, -1.40829, -0.295942, -0.167954, -0.783731, -1.54306, -1.10438, -1.27202, -1.91974, -2.09411, -1.3035, -0.335089, -0.79773, -0.181084, -0.0399105, 0.277052, 0.0577121, 0.367317, 0.0965674, -0.138544, 0.189995, 0.163929, 0.364572, 0.309245, 0.307023, 0.0938557, -0.218409, -0.0620372, 0.0856689, -0.566159, 0.391057
0.06, 0.0319375, -0.318665, -0.901896, -1.08594, -2.1383, -1.44453, -1.6478, -1.10468, -2.61686, -1.2897, -1.02339, -0.40652, 0.0141229, 0.071904, -0.0619031, -0.453958, 0.0857624, 0.752369, 0.467296, 0.00106147, -0.0171783, -0.176808, 0.320881, -0.083197, -0.324147, -0.42307, -0.33399, -0.1717, 0.155413, -0.433593, 0.127629
0.08, 0.0319375, -0.735616, -0.355937, -0.338512, -0.67229, -0.948953, -1.47135, -1.57425, -1.42064, -1.1546, -0.697233, -0.296249, 0.131565, 0.432688, 0.131084, 0.254109, -0.0231521, 1.00537, 0.52954, 0.301972, 0.223099, 0.450041, 0.703043, 0.0796351, -0.247083, -0.163242, -0.255093, 0.16587, 0.335083, -0.241748, -0.256008
0.1, 0.0319375, -0.793049, -0.65497, -0.387668, -0.944178, -1.24701, -0.865193, -0.990307, -1.31948, -1.57965, -1.4, -1.3563, -0.697229, 0.139034, 0.199492, -0.250477, -0.54337, 0.917141, 0.43969, -0.038586, -0.014459, 0.458634, 0.105653, -0.0749636, 0.0573823, -0.252128, -0.0580843, 0.119805, 0.109391, -0.428411, -0.203936
0.12, 0.0319375, -0.346833, -0.680933, -1.04614, -1.69697, -1.42988, -1.60095, -1.00456, -1.38234, -1.72966, -1.6491, -1.81073, -1.04838, -0.548136, -0.294786, -0.174024, 0.00517149, 0.66231, 0.317278, 0.118281, -0.0692138, 0.154613, 0.310996, -0.164805, -0.0989427, 0.192961, 0.110438, 0.0511875, 0.392438, -0.537637, -0.229736
0.14, 0.0319375, -1.12111, -0.486415, -0.542065, -0.876486, -1.06274, -1.90579, -1.74616, -1.35367, -1.30805, -1.47422, -1.4109, -0.516203, -0.424091, -0.0660486, -0.274917, -0.0911228, 0.377408, 0.11563, -0.0136299, 0.357039, 0.128697, 0.467017, 0.0547023, 0.27791, -0.0103398, -0.178827, -0.0373225, -0.0836116, -0.479344, -0.5228
0.16, 0.0319375, -0.957604, -0.703123, -0.183063, -1.17184, -1.39415, -1.73668, -1.89241, -1.3142, -1.10607, -1.42641, -0.804413, 0.180297, -0.270489, 0.1426, 0.263555, -0.0711865, 0.451279, -0.039689, -0.0583806, 0.21854, 0.129226, 0.34593, 0.222209, 0.223609, -0.00613385, -0.0708132, -0.206974, 0.0245017, -0.332112, 0.150115
0.18, 0.0319375, -0.738465, -0.295214, -0.532877, -1.78375, -0.786979, -0.857368, -1.15648, -1.44709, -1.43062, -1.0452, -0.726219, 0.126014, -0.0955956, -0.208895, 0.148136, -0.318051, 0.571296, 0.349338, 3.18284e-05, 0.410592, 0.267568, 0.164693, 0.181044, 0.416678, 0.0587545, -0.22759, -0.0280488, 0.501271, -0.495558, -0.133826
