# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05318, -7.75119, -7.03573, -7.67755, -7.51163, -7.30815, -7.22692, -7.85384, -7.26371, -7.39927, -7.23562, -6.56716, -6.66341, -6.79427, -6.97655, -6.90106, -6.88667, -6.5862, -6.76192, -6.5238, -6.5425, -6.70634, -6.32459, -6.3181, -6.07176, -6.01473, -6.06639, -6.31168, -6.38373, -6.07258
0.02, 0.0319375, -8.05905, -7.35794, -7.33556, -7.65299, -8.01145, -7.686, -7.33695, -7.25725, -7.45182, -7.63139, -7.56739, -6.9573, -7.3273, -6.30699, -6.5744, -7.44038, -7.1315, -6.63394, -6.49828, -6.23388, -6.42207, -6.28383, -6.43687, -6.66541, -6.19561, -5.74624, -5.52814, -5.69332, -5.90201, -5.75927
0.04, 0.0319375, -8.05905, -7.29407, -7.88253, -7.93256, -7.52575, -7.4031, -8.05905, -7.73448, -7.55615, -7.20119, -7.74994, -7.51482, -7.36759, -7.68068, -7.46426, -7.03257, -6.93362, -7.06653, -6.55895, -6.3393, -6.18095, -6.22103, -6.63357, -6.14516, -6.39491, -6.08023, -6.05721, -5.63242, -5.68876, -6.08456
0.06, 0.0319375, -7.48522, -7.50949, -7.81945, -7.31405, -7.48347, -7.05279, -7.33619, -7.53085, -7.11202, -7.33091, -7.06238, -6.64382, -6.84385, -7.09495, -7.24572, -7.01779, -6.56105, -6.41162, -6.77111, -6.50113, -6.31244, -6.62697, -6.3734, -6.45241, -6.23438, -6.08513, -6.25481, -5.88543, -5.93142, -6.13224
0.08, 0.0319375, -7.92123, -7.58416, -7.66749, -7.46852, -7.20618, -7.11757, -7.59495, -7.65164, -7.72511, -7.17963, -7.38533, -7.01669, -7.05065, -6.81301, -6.81057, -7.13944, -6.72184, -6.46891, -6.49947, -6.56168, -6.60006, -6.81406, -6.36251, -6.39407, -6.01129, -5.82569, -5.92169, -5.84479, -6.00643, -5.88746
0.1, 0.0319375, -7.72184, -7.86978, -8.05905, -7.66412, -7.34155, -7.44843, -7.82718, -7.28435, -6.97002, -7.02974, -7.27577, -6.77796, -6.88446, -6.91499, -7.11459, -6.8736, -6.68759, -6.46841, -6.49411, -6.3851, -6.33112, -6.33125, -6.22561, -6.33907, -6.30894, -6.17914, -5.7574, -5.86322, -5.9634, -5.80624
0.12, 0.0319375, -6.12013, -6.10996, -7.3696, -7.16941, -7.23196, -7.7421, -7.13606, -6.63656, -6.8431, -6.86937, -6.75516, -6.99732, -6.7908, -6.49882, -6.50597, -6.84739, -6.59996, -6.19108, -6.17983, -5.84502, -6.18075, -6.25823, -5.95505, -6.14356, -5.97221, -5.94207, -5.67937, -5.58535, -5.83884, -5.54104
0.14, 0.0319375, -5.49147, -5.24776, -6.10713, -6.47666, -6.28118, -5.61068, -5.57099, -5.78461, -6.33162, -5.86031, -5.96311, -6.05518, -6.23444, -6.17904, -6.26782, -5.90914, -6.26572, -6.18863, -5.70843, -6.14199, -6.43085, -6.29488, -5.68419, -6.21148, -5.84286, -5.81534, -5.39854, -5.47831, -5.66705, -5.21336
0.16, 0.0319375, -5.55553, -5.28408, -5.09386, -5.88999, -6.44579, -6.90698, -6.23374, -5.45011, -6.15308, -5.45799, -5.95116, -6.00809, -6.26782, -5.9765, -5.95676, -5.63106, -5.37433, -5.9253, -6.19435, -5.87413, -5.63438, -6.06697, -5.65421, -5.89402, -5.56615, -5.71029, -5.61225, -5.31212, -5.32675, -5.22273
0.18, 0.0319375, -5.02814, -5.48465, -5.6231, -4.97331, -5.4909, -5.92898, -5.99967, -5.44697, -5.74064, -5.65907, -5.66221, -6.11204, -5.69248, -5.75661, -5.77266, -5.74714, -6.32604, -6.43625, -6.10851, -6.06446, -6.01472, -5.96506, -5.69448, -5.8593, -5.55992, -5.34635, -5.67062, -5.4513, -5.19747, -5.35595
0.2, 0.0319375, -4.91985, -4.78982, -4.72241, -5.49688, -5.50167, -5.41449, -5.66828, -5.48368, -5.49037, -5.68395, -6.58441, -6.32517, -5.7165, -5.88974, -5.78867, -5.79961, -5.74529, -5.74565, -5.88252, -5.96447, -5.87145, -5.86931, -5.82667, -5.60058, -5.85191, -6.01011, -5.85405, -5.55894, -5.42797, -5.60403
0.22, 0.0319375, -4.47038, -5.20993, -4.99503, -5.66553, -5.65022, -6.18027, -5.15294, -5.15714, -6.21992, -5.90488, -5.66903, -6.01322, -6.27181, -5.87057, -5.51408, -5.83116, -6.20625, -6.13991, -5.69299, -5.551, -5.95682, -5.78154, -5.69855, -5.83019, -6.05905, -6.06124, -5.75059, -5.51455, -5.7638, -5.4291
0.24, 0.0319375, -4.75106, -5.44509, -4.43146, -5.53512, -6.32577, -6.19726, -5.51382, -5.43952, -6.34769, -5.95701, -5.15857, -5.83617, -5.98261, -5.90642, -6.26476, -5.98167, -5.98611, -5.49103, -5.64488, -5.68099, -5.7596, -5.96268, -5.42584, -5.17408, -5.82772, -5.70122, -5.80834, -5.80046, -5.64531, -5.16561
0.26, 0.0319375, -4.49498, -4.55911, -4.26384, -4.53777, -5.36301, -5.2864, -5.99459, -5.35723, -4.85249, -5.29395, -4.66019, -5.10728, -5.56121, -5.40467, -5.75866, -5.58352, -5.59883, -5.66692, -6.02802, -5.70318, -5.4407, -5.58295, -5.71786, -5.80528, -5.56251, -5.84183, -5.77678, -5.21428, -5.38987, -5.32691
0.28, 0.0319375, -4.86256, -5.23779, -4.58803, -4.4816, -4.85635, -4.79128, -4.94177, -4.14549, -4.29448, -4.74992, -4.92698, -5.06702, -5.21679, -5.67061, -5.50914, -5.8212, -5.58608, -5.63251, -5.48416, -5.37893, -5.52018, -5.37906, -5.56773, -5.60168, -5.31115, -5.60761, -5.23471, -5.36009, -5.4448, -5.36645
0.3, 0.0319375, -5.10067, -4.95454, -4.60251, -5.85484, -6.18903, -5.16471, -5.12616, -5.41676, -4.89185, -5.08163, -5.13765, -5.50299, -5.80976, -5.98654, -5.95387, -5.66097, -5.83253, -5.74716, -6.11312, -5.43146, -5.44563, -5.69031, -5.68166, -5.32159, -5.7743, -5.53323, -5.46408, -5.51067, -5.49012, -5.15679
0.32, 0.0319375, -4.90781, -4.77468, -5.33246, -5.48055, -5.48664, -5.71299, -5.89552, -5.57241, -5.06932, -4.75184, -5.34472, -5.48942, -5.47492, -5.88457, -5.82496, -6.11225, -6.05174, -6.07229, -5.57242, -5.76438, -6.01252, -6.07138, -5.83017, -5.46526, -5.73981, -5.55965, -5.283, -5.48326, -5.47655, -5.27477
0.34, 0.0319375, -3.67714, -3.96519, -3.76984, -3.98693, -3.31489, -3.8, -3.89868, -4.48251, -4.84703, -4.20718, -3.93356, -4.64759, -5.56374, -5.23743, -5.58148, -5.7471, -5.89604, -5.6685, -5.64369, -5.40255, -5.21314, -5.45608, -5.64624, -6.00582, -5.67786, -5.61605, -5.42182, -5.49644, -5.50828, -5.22998
0.36, 0.0319375, -1.45813, -1.52796, -1.5285, 0.823905, 1.48716, 0.354906, 0.0197764, 0.051795, 0.461383, 0.446355, -0.207131, -0.149151, -0.389174, -0.958975, -1.84424, -2.96674, -3.33882, -3.21778, -2.81286, -2.01458, -1.74554, -3.38504, -4.23336, -4.82816, -4.22346, -3.92753, -3.57861, -3.27377, -3.55303, -3.43214
0.38, 0.0319375, -2.61115, -2.3634, -2.54265, 0.925162, 2.67186, 3.60187, 1.12804, -0.4519, 0.677867, 1.05711, 2.42735, 1.79352, -0.752927, -0.327369, 1.24209, 1.42607, -1.5093, -0.609291, -0.0143269, -0.565449, -0.976642, -1.76863, -2.74454, -2.28133, -2.63093, -2.76361, -2.06635, -1.5419, -2.08365, -2.3562
