# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.21324, 0.0395506, 0.503973, 0.60724, 0.438002, -0.466803, -0.921325, 0.564185, 0.0589473, 0.0132623, -0.580064, -1.20352, -0.951694, -0.208293, -0.91089, -2.63864, -2.23298, -0.915169, -2.01709, -0.961076, -0.717142, -1.91613, -2.11055, -2.30679, -2.92776, -1.57287, -1.1409, -0.824867, -0.000964033, -0.703393
0.02, 0.0319375, -1.38785, 0.386958, 0.116778, 0.751963, 0.383707, -0.934164, -0.427461, 0.652954, 0.499995, 0.151224, -0.931634, -1.48285, -0.48337, 0.218575, -0.844007, -2.18468, -1.19519, -1.38369, -1.50515, -1.09426, -0.704857, -1.65097, -2.12625, -2.41141, -2.22012, -0.960616, -0.470701, -0.581836, 0.0617215, -0.871124
0.04, 0.0319375, -1.15919, 0.340189, 0.579223, 0.0136486, -0.466553, -0.789702, -0.483043, -0.0358027, 0.0011971, 0.149161, -0.184861, -0.800419, -0.478798, -0.54029, -1.44579, -2.59026, -1.62121, -1.3329, -1.29392, -0.585443, -0.675261, -2.0035, -1.77732, -1.75067, -2.40283, -0.647843, -0.248477, -0.586933, 0.0742476, -0.73769
0.06, 0.0319375, -2.3519, -0.778983, -0.439517, 0.117505, 0.198787, -0.692995, -0.663295, 0.453787, -0.0313909, -0.451955, -0.745099, -1.31355, -0.383271, 0.0216542, -1.36431, -2.3593, -1.86841, -1.50205, -2.00787, -0.928602, -1.04368, -2.07678, -1.9587, -2.19233, -2.54867, -0.950288, -0.487255, -0.74749, 0.189974, -0.7809
0.08, 0.0319375, -1.37518, 0.0695007, 0.635682, -0.103869, -0.130233, -0.671248, -0.517659, 0.275111, 0.249122, 0.208599, -0.549684, -0.703448, -0.0119235, 0.243363, -1.38409, -2.79716, -1.57269, -1.08923, -1.52978, -0.849867, -1.11403, -2.08557, -1.54085, -1.37967, -2.82995, -0.981897, -0.505105, -0.949124, -0.043304, -0.905666
0.1, 0.0319375, -1.7725, -0.532612, -0.345916, -0.561524, 0.00230773, -1.39019, -0.385714, 0.0397729, -0.149387, -0.488965, -0.908128, -0.951368, -0.681636, -1.18645, -2.3444, -2.82627, -2.16822, -1.53314, -2.01866, -1.41558, -1.54809, -1.8003, -1.85357, -1.88618, -3.16051, -1.86012, -0.89547, -0.99417, -0.624518, -1.41408
0.12, 0.0319375, -1.08556, 0.125611, -0.0441741, 0.763677, 0.402112, -1.08481, -0.91918, 0.459776, 0.125731, -0.0539712, -1.02005, -1.10617, -0.479118, -0.359687, -2.0263, -3.0989, -2.63592, -1.6794, -1.74256, -0.703187, -0.767823, -1.94942, -1.89568, -1.6185, -2.62319, -0.996734, -0.410748, -1.24376, -0.473104, -1.10159
0.14, 0.0319375, -1.64334, 0.0233609, 0.000440262, -0.25707, 0.0809885, -1.11009, -0.812955, 0.0887902, 0.0644228, -0.330332, -0.583274, -1.2744, -0.962052, -0.984042, -2.9286, -3.45432, -2.45761, -2.2901, -2.25265, -1.87079, -1.50266, -1.87365, -2.05747, -2.8216, -2.91612, -1.42797, -0.67409, -1.43168, -0.478772, -0.981882
0.16, 0.0319375, -1.9767, -1.62962, -0.0262767, -0.23005, -0.367992, -1.25343, -1.5704, -0.307192, -0.214859, -0.845538, -1.14633, -1.61247, -0.788236, -1.26083, -3.74565, -3.07249, -2.89125, -2.14292, -2.34709, -1.12796, -1.34235, -2.60785, -2.41793, -2.32334, -2.67708, -1.72216, -1.36983, -1.80393, -0.589743, -0.969515
0.18, 0.0319375, -1.35682, 0.258001, -0.0694948, 0.484638, -0.0169374, -1.53098, -1.12265, -0.403162, -0.345938, -0.913785, -1.36284, -1.57269, -0.474687, -1.18946, -2.49503, -2.97422, -2.4215, -1.38542, -1.89553, -0.966886, -1.51034, -2.01061, -1.62436, -2.13596, -2.29362, -1.32992, -0.262148, -1.15257, -0.0281789, -0.705495
