# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.55721, -7.53103, -7.79647, -6.91571, -7.78827, -7.09804, -7.40675, -7.46115, -7.08544, -7.2405, -7.35485, -7.27091, -6.83587, -6.66302, -7.12563, -6.91734, -7.19463, -6.69645, -6.54717, -6.74753, -6.16313, -6.36034, -6.26313, -6.2907, -6.09761, -6.33859, -6.02061, -6.04268, -6.13918, -5.53059
0.02, 0.0319375, -7.85653, -7.75964, -7.17498, -7.6563, -7.31244, -8.05905, -6.9746, -7.01879, -7.39657, -6.91357, -7.18296, -7.33687, -7.04309, -6.90434, -7.42888, -7.05178, -6.78068, -6.60051, -6.57174, -6.41936, -6.2428, -6.56661, -6.4421, -6.51242, -6.43319, -6.29419, -6.18735, -5.96289, -6.04984, -5.71567
0.04, 0.0319375, -7.11894, -7.87491, -8.05905, -7.66328, -8.05905, -7.63567, -7.91666, -7.46726, -7.41151, -7.05504, -7.04955, -7.21068, -7.08356, -6.70066, -6.77738, -7.01173, -6.62996, -6.61585, -6.40172, -6.40702, -6.14628, -6.40821, -6.20879, -6.30848, -6.44683, -6.42591, -6.19812, -5.92657, -5.87345, -5.87952
0.06, 0.0319375, -7.84755, -7.42631, -7.16127, -7.67297, -7.5851, -7.1854, -7.34547, -7.7633, -7.55598, -7.76063, -7.33202, -7.73615, -7.08534, -6.94557, -6.87931, -7.27993, -6.826, -6.66861, -6.31174, -6.41947, -6.47718, -6.3203, -6.28067, -6.51639, -6.1149, -6.1096, -5.8743, -5.9735, -5.82869, -5.89671
0.08, 0.0319375, -8.05905, -8.05905, -7.44318, -7.61018, -7.45544, -7.32207, -8.05905, -7.95361, -7.32356, -7.68309, -7.34584, -7.14423, -6.78481, -6.88693, -6.65485, -6.88122, -7.07882, -6.83536, -6.71845, -6.57389, -6.06681, -6.1029, -6.11575, -6.36296, -6.21139, -6.26175, -5.98071, -5.859, -6.00443, -5.87509
0.1, 0.0319375, -7.9161, -7.40673, -7.61328, -7.78036, -7.71647, -7.69521, -7.34029, -6.9378, -7.24182, -7.59566, -7.44682, -6.83309, -6.83083, -6.75736, -6.56001, -6.84113, -7.30174, -6.97423, -6.62179, -6.70607, -6.60233, -6.68114, -6.75359, -6.25669, -6.02158, -5.99939, -5.80409, -6.02936, -5.99671, -5.81865
0.12, 0.0319375, -8.05905, -8.05905, -7.91396, -7.93469, -7.44178, -7.36042, -8.05414, -7.7247, -7.2825, -7.27817, -7.09259, -7.35936, -7.33057, -6.49079, -6.58043, -6.40041, -6.94842, -7.05648, -6.98369, -6.57836, -6.33143, -6.07075, -6.38032, -6.55966, -6.02516, -6.19183, -6.08687, -5.77806, -6.02229, -5.77502
0.14, 0.0319375, -3.6621, -3.63907, -3.8117, -4.87439, -5.66106, -5.31159, -5.06998, -4.73655, -4.51729, -4.48875, -3.69869, -2.56063, -3.22017, -2.92352, -3.45944, -3.25429, -2.51028, -2.10039, -2.51248, -2.7181, -2.81974, -2.33925, -2.23204, -2.0421, -2.85397, -1.85367, -1.44921, -1.89642, -3.02713, -2.83703
0.16, 0.0319375, -0.546874, 0.181272, -0.518042, -1.11232, -1.42622, -0.495607, -0.715493, -0.937995, -0.184707, 0.202235, -0.565646, -0.753199, -0.5843, 0.690495, 0.793066, 0.679939, 0.853489, 2.41395, 2.02027, 1.28823, 1.02888, 1.2477, 1.93978, 1.64475, 1.67107, 1.35285, 2.1696, 2.13313, 2.13771, 2.30609
0.18, 0.0319375, -0.0657805, 0.0679853, -0.574615, -0.7656, -0.762939, -0.728022, -0.527898, -0.448921, -0.462852, 0.042219, -0.670668, -0.829161, -0.408938, 0.723306, 0.56136, 1.47385, 1.68665, 2.48842, 2.17876, 2.03622, 1.63926, 1.79348, 2.03651, 1.76448, 1.48557, 1.57444, 1.98631, 2.01733, 2.36757, 2.32152
0.2, 0.0319375, 0.18295, -0.28949, -1.01524, -0.272676, -0.803362, -0.631851, -0.991169, -0.55179, -0.507976, -0.639503, -0.351857, -0.339672, -0.176243, 0.466346, 1.048, 1.19883, 1.64689, 2.307, 2.41441, 1.59317, 1.86494, 1.9456, 2.30402, 1.89819, 2.04271, 1.96434, 2.32733, 2.25228, 1.99986, 2.16024
0.22, 0.0319375, 0.761682, 0.4554, -0.422779, -0.200062, -1.302, -0.477484, -0.229289, -0.185999, 0.111805, 0.109033, -0.684633, -0.163004, -0.0233545, 0.814749, 1.10507, 0.985746, 1.49938, 2.19707, 2.38293, 1.387, 1.39988, 1.85965, 2.18019, 1.6252, 1.95079, 2.06039, 2.48342, 2.36102, 2.13719, 2.0392
0.24, 0.0319375, 0.276215, 0.015203, -1.65895, -1.11223, -1.08482, -0.409065, -0.170584, -0.055176, -0.206173, -0.383883, -0.608352, 0.00917067, -0.475247, 0.412448, 0.546739, 0.542281, 1.3965, 2.29281, 2.47943, 1.35513, 1.49488, 1.98349, 2.18525, 1.84055, 2.15497, 1.84507, 2.1886, 2.08516, 2.23247, 2.30002
0.26, 0.0319375, -0.601589, 0.76913, -0.0625461, -1.41683, -1.07017, -0.781673, -0.648586, -0.458608, -0.24106, 0.0940294, -0.283688, -0.420807, 0.282369, 0.69204, 0.489501, 1.13788, 1.48204, 2.06644, 2.48676, 1.48802, 1.56964, 1.8873, 2.2118, 1.86167, 1.92895, 2.13051, 2.22599, 2.17499, 2.4133, 2.52356
0.28, 0.0319375, -1.25783, 0.349988, -0.608757, -1.09158, -1.2875, -0.616081, -0.380212, -0.255763, -0.225311, -0.877401, -0.684988, -0.765673, -0.264761, 0.315511, 0.3791, 1.08455, 1.38508, 2.18313, 2.45097, 1.61268, 1.92748, 2.05569, 1.92487, 1.5228, 1.82784, 2.03704, 2.23191, 2.20348, 2.43807, 2.38777
0.3, 0.0319375, -0.545542, 0.272443, -0.879826, -1.83132, -1.08551, -0.7303, -0.718722, -0.673676, -0.126759, -0.838636, -0.719449, -0.344909, 0.191209, 0.19157, 0.0401102, 0.709296, 1.31127, 1.73141, 2.40309, 1.51085, 1.75423, 2.07292, 1.70412, 1.02636, 1.45262, 1.62979, 1.90146, 2.129, 2.3503, 2.52965
0.32, 0.0319375, -0.492514, 0.31142, -1.20324, -1.61905, -1.16951, -1.05029, -0.574906, -0.382078, -0.288827, -0.914684, -1.07924, -0.214321, -0.173765, 0.620248, 0.536195, 0.463192, 0.758209, 1.64272, 2.26248, 1.75941, 1.47379, 1.85871, 1.86296, 1.37729, 1.89655, 1.85451, 2.3594, 2.1876, 2.0862, 2.39648
0.34, 0.0319375, -0.907377, -0.106231, -0.608273, -1.15918, -1.27405, -0.684408, -0.535024, -0.443911, -0.275323, -0.383844, -0.778287, -0.254316, -0.00342299, 0.57592, 0.765592, 0.881779, 1.27283, 1.73598, 2.15954, 1.64975, 2.10508, 1.94814, 1.64198, 1.80368, 1.96317, 1.90859, 1.77616, 2.04312, 2.2526, 2.27675
0.36, 0.0319375, -1.46605, -1.18211, -0.798447, -1.19794, -1.4459, -1.1758, -0.474084, -0.424588, -0.209589, -0.339484, -0.539549, -0.233404, -0.0611989, 0.533168, 0.54523, 0.254452, 1.11577, 1.88187, 2.29443, 1.48334, 1.80933, 2.01786, 1.93652, 1.48155, 1.75118, 1.80231, 2.05421, 1.9015, 2.1171, 2.18251
0.38, 0.0319375, -2.32817, -1.54926, -1.55906, -1.4298, -1.57923, -1.44492, -0.520041, -0.860192, -0.761327, -0.528446, -0.997879, -0.412532, -0.12101, 0.0321059, 0.544352, 1.0398, 1.35615, 2.18643, 2.48934, 1.32643, 1.90756, 2.05217, 1.67241, 1.33531, 1.4744, 1.60413, 2.01296, 1.64749, 2.24679, 2.29095
0.4, 0.0319375, -1.06471, -1.93526, -1.89158, -1.14782, -1.31308, -0.83624, -0.363571, -0.581558, -0.38983, -0.299486, -0.264813, -0.245298, 0.485293, 0.30624, 0.405445, 1.22594, 1.52662, 1.73329, 2.25289, 1.63324, 1.76637, 1.76932, 1.41962, 1.6145, 1.79704, 1.72299, 1.32274, 1.58231, 2.11876, 1.99655
0.42, 0.0319375, -1.34519, -1.29001, -1.35452, -1.7771, -1.96571, -1.10023, -0.45839, -1.00403, -0.727295, -0.684026, -0.792051, -0.467183, 0.418438, 0.952787, 0.91398, 1.06752, 1.13322, 1.61289, 2.24411, 1.48951, 2.10871, 1.6876, 1.4001, 1.44203, 1.78886, 1.59039, 1.76846, 1.82552, 2.22272, 2.02589
0.44, 0.0319375, -1.45551, -0.709896, -1.08455, -1.29325, -1.39094, -1.14364, -0.756181, -0.166362, -0.050565, -0.360566, -0.887368, 0.0010342, -0.23901, 0.0235765, 0.550156, 0.874309, 0.978622, 1.78246, 2.23064, 1.99053, 2.40971, 1.69726, 1.35731, 1.4818, 1.62087, 1.31433, 1.63545, 1.93017, 2.1979, 2.13529
0.46, 0.0319375, 0.128832, 1.08369, 0.532461, -0.725404, -1.71075, -0.447742, -0.0676109, -0.116468, 0.460702, 0.33664, -0.0372128, 0.138201, -0.576525, 0.466897, 0.737507, 0.841715, 1.58137, 1.98494, 2.25361, 1.64023, 2.3192, 1.79776, 1.11484, 1.11744, 1.34901, 1.80299, 1.78255, 2.09684, 2.23499, 1.94955
0.48, 0.0319375, -1.47041, 0.77073, -0.0145315, -1.21849, -1.26572, -0.375781, -0.0127909, -0.499166, 0.254658, 0.71413, 0.169801, 0.0672548, -0.01559, 0.0186972, 0.340188, 0.981095, 1.19721, 1.31297, 1.86757, 1.70533, 2.23214, 1.84163, 1.33085, 1.36235, 1.6018, 1.5135, 1.13602, 1.498, 1.72495, 1.58223
0.5, 0.0319375, 0.434674, 0.613774, -0.544923, -1.41671, -1.56339, -0.526213, 0.404053, 0.050573, 0.188923, 0.783273, -0.0908431, -0.428425, -0.629686, 0.770937, 0.850195, 0.465866, 1.32292, 2.01822, 2.30166, 1.75999, 2.19931, 1.56543, 1.48712, 1.51243, 1.55463, 1.88777, 1.5025, 1.65778, 1.76498, 1.71193
0.52, 0.0319375, -0.708792, 0.570947, 0.165131, -1.16473, -0.765271, -0.809109, 0.0801628, 0.407757, 0.398948, 0.186452, -0.471271, -0.343754, -0.0761197, 0.33186, 0.442497, 1.1359, 1.28735, 1.68426, 2.20435, 1.69575, 2.31263, 1.64641, 1.32044, 1.63915, 1.60893, 1.72412, 1.69677, 1.45615, 1.54239, 1.78953
0.54, 0.0319375, -1.55213, -0.604211, -0.666571, -1.19268, -1.22814, -0.509018, 0.27844, 0.24786, 0.230743, -0.34588, -0.37063, -0.398533, -0.398841, 0.35799, 0.52488, 1.09872, 0.468682, 1.72451, 2.27597, 1.72733, 1.91064, 1.5928, 1.39285, 1.26202, 1.19198, 1.34718, 1.55037, 1.56041, 1.76444, 2.16356
0.56, 0.0319375, -0.0545644, -0.127115, -0.680767, -1.84142, -1.67183, -0.783136, -0.128159, 0.264069, 0.729118, 0.807825, -0.82089, -0.648878, -0.849572, 0.356461, 0.888936, 0.493337, 1.25822, 1.78647, 1.9316, 2.01258, 1.85277, 1.74945, 1.32058, 1.13487, 1.15589, 1.19784, 1.16481, 1.69457, 1.78461, 2.36571
0.58, 0.0319375, -0.485436, -0.80937, -1.37855, -1.0647, -0.958183, -0.892158, -0.139297, 0.231366, 0.476535, 0.362465, -0.363315, -0.853715, -0.330333, 0.116597, 0.841667, 0.925353, 1.21065, 1.7129, 1.97383, 1.66748, 1.85953, 1.62382, 1.24041, 1.10289, 1.5297, 1.35132, 1.21986, 1.44323, 1.92458, 2.37542
0.6, 0.0319375, -0.851836, -0.108214, -0.66063, -1.544, -1.30716, -0.476444, -0.136487, 0.00598271, -0.0608527, -0.377824, -0.779778, -0.750868, -0.449488, -0.0878531, 0.360076, 0.440177, 0.755788, 1.62176, 2.05923, 2.03301, 1.88977, 1.60574, 1.28619, 1.62239, 1.79971, 1.17485, 1.28596, 1.44479, 1.92745, 2.48209
0.62, 0.0319375, -0.745153, -1.01588, -1.1441, -1.42029, -1.80336, -0.81355, -0.588931, -0.319475, 0.0566285, -0.929562, -0.696543, -0.529119, -0.813712, 0.214158, 0.0479078, 0.348725, 1.25679, 1.48501, 1.50482, 1.4334, 1.46301, 1.88538, 1.6316, 1.6797, 1.85738, 1.37331, 1.30001, 1.48522, 2.14293, 2.2115
0.64, 0.0319375, -1.5865, -0.805548, -1.23232, -2.01525, -1.45596, -0.491795, -0.233005, -0.523724, -0.14649, -1.9694, -0.986706, -0.478687, -0.537999, -0.196937, -0.424538, -0.0235513, 0.0835822, 1.04711, 1.41441, 1.61681, 1.59948, 1.87574, 1.73196, 1.67655, 1.84015, 1.64496, 1.39907, 1.4609, 1.73866, 2.14827
0.66, 0.0319375, -1.34231, -0.262724, -1.09208, -1.84449, -1.31922, -0.722108, -0.55882, -0.192188, -0.167624, -1.76394, -1.46038, -0.799532, -0.434745, -0.226049, -0.368491, 0.367366, 0.680821, 1.32352, 1.57801, 1.43701, 1.15129, 1.52336, 1.49533, 1.81939, 2.17536, 1.54654, 1.07931, 1.10713, 1.5869, 1.90416
0.68, 0.0319375, -0.854291, -0.126869, -1.03283, -1.89737, -1.54974, -1.01653, -0.2386, -0.00793672, -0.0768563, -1.50853, -0.895491, -0.772042, -0.230402, 0.346256, -0.318969, 0.709075, 0.874374, 0.917753, 1.15795, 1.22827, 1.50592, 1.53629, 1.40493, 1.50409, 1.9721, 1.63744, 1.57269, 1.71816, 1.78861, 1.43842
0.7, 0.0319375, -1.80467, -1.36594, -2.03475, -1.98565, -1.50686, -1.63026, -0.562147, -0.569459, -0.661395, -2.05848, -1.09422, -0.694306, -0.411381, 0.228614, 0.318826, 0.437475, 0.46981, 1.01738, 1.50243, 0.572579, 1.06931, 1.85598, 1.72198, 1.7494, 2.14436, 1.67563, 1.6094, 1.56328, 1.66672, 1.22177
0.72, 0.0319375, -1.03515, -1.20813, -1.29091, -1.7181, -1.18516, -0.532854, -0.287838, -0.598343, -0.286812, -0.87153, -0.82221, -0.856381, -0.128233, 0.466373, -0.118706, 0.0536126, 0.474281, 1.29582, 1.39557, 0.767277, 0.906238, 1.44862, 1.46633, 1.4231, 1.59282, 1.50518, 1.44042, 1.649, 1.94951, 1.53953
0.74, 0.0319375, -1.69653, -1.32731, -1.1986, -0.744452, -1.20948, -1.35098, -0.878423, -0.371625, -0.661971, -1.33906, -1.63687, -1.1804, -0.396154, 0.369669, 0.0138472, 0.286654, 0.495835, 1.30755, 1.66751, 0.751632, 0.738849, 1.30487, 1.69435, 1.32468, 1.39603, 1.63193, 1.66813, 1.23646, 1.68126, 1.96748
0.76, 0.0319375, -0.853697, -1.40926, -1.61043, -1.32079, -0.850814, -0.710263, -0.497968, -0.0598455, -0.427458, -1.31603, -0.779639, -0.0223636, 0.105053, 0.25369, 0.190673, 0.524505, 0.581694, 1.23698, 1.46814, 0.940944, 0.923077, 1.43036, 1.68802, 1.81186, 1.78564, 1.77868, 1.86666, 1.46564, 1.51774, 2.17137
0.78, 0.0319375, -1.22004, -1.03109, -1.78778, -1.27123, -0.942108, -0.599297, -0.318361, -0.0241472, -0.306577, -0.756814, -1.06975, -0.929058, -0.717112, 0.281737, 0.207355, 0.508187, 0.425791, 1.61959, 1.81786, 0.56193, 0.730898, 1.02661, 1.2915, 1.99905, 2.187, 1.74378, 1.74976, 1.69409, 1.71311, 1.87715
0.8, 0.0319375, -1.1885, -1.32699, -1.28631, -1.46981, -1.08935, -0.393499, -0.569461, 0.222073, 0.187205, -0.795348, -0.453061, -0.281727, -0.0989068, 0.422224, 0.0736743, 0.505071, 0.384532, 1.57856, 2.01379, 1.22297, 0.67844, 1.09726, 1.00357, 1.64619, 1.66814, 1.63503, 1.68941, 2.16805, 1.7847, 1.93881
