# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.0252, -7.9022, -8.05905, -8.05905, -8.05905, -7.61089, -7.51849, -7.66828, -7.73078, -7.52576, -7.13443, -7.057, -6.94415, -6.89161, -6.63487, -6.54342, -6.77765, -7.17582, -6.89055, -6.70704, -6.45037, -6.46144, -6.71359, -6.30026, -6.15801, -5.94187, -6.36949, -6.05912, -6.04537, -6.02861
0.02, 0.0319375, -8.05905, -8.05905, -8.05905, -7.6892, -7.22552, -7.34162, -7.31677, -7.43702, -7.13355, -6.85412, -7.48851, -7.43812, -7.05112, -6.68734, -7.12633, -7.3204, -7.15321, -6.82829, -6.91716, -6.41769, -6.30168, -6.40103, -6.25494, -6.2493, -6.03712, -6.17454, -6.02387, -6.05174, -6.00444, -5.77158
0.04, 0.0319375, -7.94438, -7.47134, -7.53765, -8.01701, -7.3391, -7.33563, -7.9309, -7.32134, -6.89854, -7.59198, -7.06145, -6.92489, -7.37558, -7.12832, -6.7832, -6.56461, -7.07767, -6.64348, -6.59896, -6.55018, -6.76142, -6.34077, -6.60783, -6.02037, -5.89836, -6.02099, -5.87047, -5.7875, -5.9391, -5.89064
0.06, 0.0319375, -8.05905, -7.91166, -7.96622, -7.79858, -7.67816, -7.04407, -6.995, -8.05905, -6.92991, -6.83374, -7.22986, -7.41893, -7.5968, -7.00891, -7.25337, -6.50842, -6.44853, -6.38163, -6.41432, -6.42401, -6.44522, -6.4015, -6.36334, -6.28327, -6.16497, -6.18903, -5.94145, -6.12678, -5.97663, -5.94687
0.08, 0.0319375, -7.69949, -7.25195, -7.60642, -7.43495, -7.07154, -7.35309, -7.59777, -6.97964, -7.65831, -6.93169, -6.86288, -6.72392, -6.297, -6.17196, -6.05824, -6.67018, -6.93654, -6.23894, -5.85977, -5.67331, -5.81209, -5.79793, -6.03503, -5.61867, -5.45483, -5.53698, -5.59151, -5.50549, -5.4191, -4.93353
0.1, 0.0319375, -7.49586, -6.65654, -6.87167, -7.36207, -6.74372, -6.25829, -5.8239, -6.16618, -5.87849, -5.74229, -5.58651, -4.77119, -4.51251, -4.56062, -4.71499, -4.55814, -4.49186, -4.41573, -4.14496, -4.13509, -4.34668, -4.15929, -4.53601, -4.03861, -4.45831, -4.43506, -4.11958, -4.22475, -4.39494, -4.02256
0.12, 0.0319375, -6.55496, -6.45484, -6.04413, -6.14246, -5.96567, -5.37538, -5.52212, -4.72522, -4.38891, -4.63173, -3.81354, -2.9922, -3.16506, -3.46374, -3.69693, -3.34664, -3.52814, -3.19391, -3.23644, -3.40801, -3.25361, -3.16903, -2.66488, -3.06592, -3.27487, -3.08991, -3.12214, -3.34581, -3.36998, -3.32462
0.14, 0.0319375, -5.66474, -6.23273, -6.05731, -5.61354, -5.0432, -4.93046, -4.36562, -3.93967, -3.56635, -3.33455, -3.15272, -3.52967, -2.93564, -3.22046, -3.27538, -3.03335, -2.6901, -2.60059, -2.42763, -2.36625, -2.31503, -2.81958, -2.31152, -2.14801, -2.33646, -2.39096, -2.09946, -2.08663, -2.37671, -2.33751
0.16, 0.0319375, -5.5744, -5.24537, -5.9187, -5.0675, -4.53415, -4.48971, -4.28064, -3.33489, -3.10182, -3.20216, -3.29486, -2.93032, -2.45944, -2.73594, -3.17052, -2.20152, -2.19423, -2.62655, -2.4065, -1.88772, -1.60751, -2.11057, -1.65426, -1.86185, -1.94016, -2.2079, -2.01878, -1.90842, -2.04255, -2.0387
0.18, 0.0319375, -4.46871, -4.54066, -4.77137, -4.58457, -3.99354, -4.69295, -3.29408, -2.84272, -2.43649, -2.29386, -2.23271, -1.77193, -1.41037, -1.77765, -2.28384, -1.96525, -1.64166, -2.00608, -2.18788, -2.01091, -1.29046, -1.38669, -1.28059, -1.47985, -1.44122, -1.14186, -1.4712, -1.64822, -1.72283, -1.74142
0.2, 0.0319375, -4.23961, -4.14377, -4.45074, -3.4641, -2.97948, -3.52845, -3.25008, -2.35445, -1.67879, -1.82251, -1.41886, -1.15902, -0.897123, -1.34891, -2.12636, -1.42555, -0.964843, -0.98084, -0.821105, -0.717093, -1.18594, -1.2725, -1.07166, -1.12276, -0.996183, -0.946408, -0.869952, -0.904924, -1.10932, -0.95896
0.22, 0.0319375, -4.65702, -4.78769, -3.99899, -3.84054, -2.93179, -2.43523, -2.71373, -2.31635, -1.53322, -1.61535, -1.79654, -1.51465, -1.23508, -1.08887, -1.36835, -1.03281, -1.27346, -1.25694, -1.06184, -1.37966, -1.05244, -0.814082, -0.5336, -0.514057, -1.00286, -1.20885, -0.89964, -1.26983, -0.756863, -0.592497
0.24, 0.0319375, -3.53196, -4.08321, -3.27008, -1.88984, -1.39854, -1.76589, -1.78697, -0.760692, -0.544832, -0.653585, -0.797143, -0.797216, -1.05163, -1.00501, -0.709859, -0.433275, -0.551417, -0.266423, -0.260412, -0.663953, 0.056391, -0.573447, -0.241925, -0.0541083, -0.000199517, -0.11392, -0.0170386, -0.0695001, -0.220559, -0.251708
0.26, 0.0319375, -4.58228, -4.77665, -4.08396, -2.75379, -2.50852, -1.97504, -2.37314, -1.99544, -2.29116, -1.93993, -1.10095, -0.73576, -0.56017, -0.660142, -1.30135, -0.718659, -0.707084, -0.463289, -0.543147, -0.312108, 0.203075, 0.328235, 0.0819257, -0.330762, -0.405295, -0.609188, -0.657002, -0.373779, -0.71617, -0.0769515
0.28, 0.0319375, -4.4467, -3.86517, -2.97095, -3.16729, -2.32319, -2.18115, -1.88429, -1.3872, -1.40563, -1.10923, -0.775147, -0.777425, -0.809524, -0.569522, -0.821003, -1.09971, -0.996459, -0.970609, -1.12758, -0.463905, -0.345381, -0.547634, -0.304681, -0.14235, 0.0506734, 0.110181, 0.6785, 0.355189, -0.029675, -0.0399495
