# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.22499, -2.10112, -2.73845, -3.34095, -4.39611, -3.87582, -4.34109, -3.94253, -4.10753, -4.4362, -4.51979, -4.0642, -3.75144, -2.02661, -1.73375, -2.52888, -2.79883, -2.40663, -2.2393, -1.89033, -2.61021, -3.15969, -2.47022, -2.41101, -2.30835, -2.58437, -2.62553, -2.79416, -2.83448, -3.04552
0.02, 0.0319375, -1.89279, -1.89688, -2.61905, -3.34083, -3.27379, -4.00284, -3.73092, -4.14089, -4.49457, -3.70619, -3.7976, -3.48015, -3.53882, -3.09671, -2.55034, -2.16712, -1.94804, -1.6585, -1.48913, -1.8982, -1.69389, -1.1109, -1.39189, -1.36689, -1.82501, -2.61325, -2.66179, -2.69738, -2.50848, -2.57411
0.04, 0.0319375, -2.73685, -2.95966, -3.39767, -3.10851, -3.34476, -4.15994, -3.97357, -4.00728, -3.57361, -3.91941, -3.91422, -3.96256, -3.48841, -2.96331, -2.44212, -3.00453, -2.59171, -1.90987, -1.68955, -1.97745, -1.40368, -0.682733, -0.859302, -1.32189, -1.67621, -2.32246, -2.55426, -2.80757, -2.77204, -2.40744
0.06, 0.0319375, -3.09699, -2.69587, -3.40699, -2.93682, -3.47353, -3.95241, -3.87152, -3.76917, -3.84556, -4.19093, -4.37142, -3.42017, -2.85316, -2.19892, -2.68319, -2.88213, -2.71887, -2.62186, -2.59573, -2.62051, -1.83055, -0.831979, -1.13328, -1.82568, -1.85038, -2.67886, -3.28006, -3.55056, -3.31707, -2.97904
0.08, 0.0319375, -2.78209, -2.49149, -3.11954, -3.21773, -3.28946, -3.57565, -3.50876, -3.70548, -4.12599, -4.28391, -3.56067, -2.44471, -2.6568, -2.77599, -2.65287, -2.69414, -3.0301, -2.3204, -2.61124, -3.23844, -1.96462, -1.7867, -2.23165, -2.1987, -2.34411, -2.48913, -3.1205, -3.25211, -3.26747, -3.4903
0.1, 0.0319375, -3.02887, -2.98112, -3.6024, -3.68479, -3.48724, -3.62323, -4.04574, -3.93408, -4.66626, -4.24438, -3.92027, -2.91956, -2.5968, -3.1504, -3.37281, -2.98037, -3.22158, -2.71076, -2.89157, -2.89935, -2.16067, -1.52845, -1.72245, -2.32368, -2.69884, -3.33856, -3.47029, -3.6553, -3.64494, -3.64489
0.12, 0.0319375, -3.36277, -2.18669, -3.45889, -3.36877, -3.50751, -4.38318, -4.01017, -3.85411, -4.15427, -4.7636, -3.99512, -2.67534, -3.17508, -3.52688, -3.38827, -3.27237, -3.42853, -2.93096, -3.2459, -3.29204, -2.51158, -2.01608, -2.29221, -2.6273, -2.76997, -3.20193, -3.46432, -3.87832, -3.67868, -3.59896
0.14, 0.0319375, -3.10845, -2.34644, -3.02712, -3.55985, -3.37648, -3.85778, -3.41707, -4.14577, -4.42736, -4.2389, -3.97915, -3.35189, -3.53267, -4.19283, -3.61815, -3.30187, -4.02377, -3.72545, -3.93833, -3.66491, -2.87008, -2.09264, -2.68273, -3.06878, -3.53027, -3.64029, -3.66975, -3.91502, -3.63971, -3.65002
0.16, 0.0319375, -3.41248, -2.89781, -3.42643, -3.81188, -4.03787, -3.51364, -3.67909, -3.95258, -3.83724, -4.07832, -4.3535, -3.41687, -3.86674, -4.22658, -4.0461, -4.10113, -4.0111, -4.00836, -3.97297, -3.71966, -3.12677, -2.92907, -3.03044, -3.37852, -3.64078, -3.82844, -3.68379, -3.84513, -3.72771, -3.83965
0.18, 0.0319375, -3.35283, -3.63488, -3.5727, -3.34887, -3.67734, -3.86406, -3.34932, -4.08737, -3.85872, -3.69305, -4.96217, -4.09705, -4.22164, -3.73992, -3.90034, -3.75248, -3.80373, -4.17851, -3.43186, -3.72098, -3.19961, -3.11612, -3.27095, -3.34542, -3.35154, -3.69017, -3.53024, -3.21922, -3.40479, -3.03239
0.2, 0.0319375, -3.22519, -2.63313, -3.10227, -4.33771, -4.50486, -4.21391, -3.99487, -3.64759, -3.81696, -3.62016, -4.0192, -3.86882, -4.1274, -3.9754, -4.01449, -3.55611, -3.53176, -3.38038, -2.81024, -2.94136, -3.08469, -2.88451, -2.86927, -2.91688, -3.15461, -3.06772, -2.82175, -2.66743, -2.43281, -2.28195
0.22, 0.0319375, -3.6884, -3.03054, -2.96485, -3.23095, -3.47724, -3.79241, -3.95454, -3.92085, -3.96924, -3.71105, -3.7707, -4.18557, -4.10852, -3.88833, -4.09866, -4.12309, -3.76642, -3.8381, -3.76645, -3.52676, -3.91804, -3.44, -3.5344, -3.45949, -3.43873, -3.51013, -3.49604, -3.21785, -2.87644, -2.78044
0.24, 0.0319375, -3.03977, -2.43159, -3.08165, -3.98267, -3.94402, -3.89709, -4.03532, -4.21612, -4.3476, -4.43265, -4.38719, -4.5465, -4.41912, -4.00079, -3.94846, -3.89888, -3.84744, -3.67903, -3.72958, -4.26603, -3.84533, -3.27088, -3.03915, -2.93262, -2.89689, -3.00349, -2.77595, -2.89484, -2.72014, -2.85904
0.26, 0.0319375, -2.27058, -3.08157, -3.11341, -3.24441, -3.54017, -4.23141, -4.18702, -3.84473, -4.40715, -4.69849, -4.01664, -3.74758, -4.15917, -4.1736, -4.02155, -3.55116, -4.25559, -4.53409, -4.07884, -3.80618, -3.59181, -3.6091, -3.58023, -3.36416, -3.3956, -3.29269, -3.05159, -3.57871, -3.79688, -3.31842
0.28, 0.0319375, -3.80067, -3.35962, -3.79737, -3.71783, -3.73252, -4.23343, -3.92082, -4.40261, -4.14498, -3.64369, -3.88291, -4.26756, -4.34296, -4.18425, -4.30136, -4.28246, -3.80068, -3.95828, -4.05357, -3.20092, -2.8082, -2.26395, -2.47148, -2.61188, -2.70426, -2.97257, -2.78426, -3.02195, -2.92287, -2.94222
0.3, 0.0319375, -2.40967, -2.86601, -3.25007, -3.35293, -4.30113, -4.25464, -3.77041, -4.06327, -4.32381, -4.10118, -3.89724, -3.83234, -3.65276, -3.91046, -4.13897, -3.95882, -3.75901, -3.94263, -3.88755, -3.64463, -3.64596, -2.17696, -2.32607, -2.63771, -2.55245, -3.06737, -3.01932, -3.20339, -3.05548, -2.89211
