# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -7.73612, -8.05905, -7.92051, -7.03413, -7.45074, -7.9103, -7.38245, -6.97064, -7.6745, -8.05905, -6.99783, -6.66379, -6.53818, -7.01036, -6.63971, -6.48816, -6.49569, -6.72224, -6.21355, -6.12438, -6.19952, -6.26701, -6.07541, -6.1454, -6.30391, -6.0767, -6.17486, -5.95071, -5.76733
0.02, 0.0319375, -0.0357445, 0.267885, -0.267746, -1.52819, -0.974571, -0.183686, -0.279319, -0.976561, -1.35413, -0.28408, 0.0130645, 0.243019, -0.21618, 0.201221, 1.01601, 1.15759, 0.557327, -0.168442, -0.751273, -0.345554, -0.522202, -0.379062, 0.436448, 0.49896, 0.110582, 1.23173, 2.10945, 2.44396, 2.5588, 2.11436
0.04, 0.0319375, 1.75235, 1.52654, 0.659975, 0.361966, 0.461622, 0.049307, 0.563632, 1.44526, 1.21899, 0.369506, 1.4449, 1.62862, 1.54412, 1.18082, 2.18481, 2.41275, 1.60719, 1.56173, 1.71651, 1.75692, 2.11956, 2.59953, 2.21736, 2.36644, 2.67207, 2.65895, 3.64253, 4.05525, 4.10259, 3.90254
0.06, 0.0319375, 1.32303, 1.14338, 0.415169, -0.128411, 0.49314, 0.247199, 0.132505, 0.49612, 0.7132, 0.277514, 1.01564, 1.25736, 1.93435, 2.25578, 2.01459, 1.84833, 1.35851, 1.81692, 1.94195, 1.40041, 1.97519, 2.00768, 2.29707, 2.60036, 2.9983, 3.35262, 3.66163, 4.13893, 4.19202, 3.75597
0.08, 0.0319375, 0.11386, 0.797987, 0.294497, 0.554651, 0.927639, 0.610618, 0.376116, 0.734504, 0.569846, -0.177413, 0.628453, 1.45189, 2.00058, 2.34003, 1.9887, 1.86031, 1.6953, 1.53423, 2.39078, 2.09457, 2.24002, 2.35917, 2.17791, 2.27056, 2.89284, 3.01408, 3.34204, 3.85067, 3.67281, 3.43418
0.1, 0.0319375, 0.411717, 0.641129, 0.680971, 0.945654, 0.70334, 0.034004, 0.330122, 0.681014, -0.717035, 0.594568, 0.493852, 0.898773, 1.6761, 2.05842, 2.20687, 2.05978, 1.6331, 1.82985, 2.21412, 2.36281, 2.3812, 2.68489, 2.46355, 2.69058, 2.76539, 3.0466, 3.92358, 4.42265, 4.04267, 3.82455
0.12, 0.0319375, 0.449745, -0.0384641, -0.27715, -0.947048, 0.0859219, -0.192705, 0.341883, 0.43781, 0.117698, 0.857223, 0.920497, 0.444014, 1.82636, 1.93813, 1.88175, 1.42598, 1.60748, 2.15447, 2.24765, 2.01799, 2.13494, 2.43755, 2.33589, 2.30968, 2.35383, 2.67353, 2.92358, 3.95133, 3.8263, 3.68082
0.14, 0.0319375, 0.740194, 0.92861, 1.20715, 0.179951, 0.617892, 0.639096, -0.00191365, 0.0588346, 0.314814, 0.0407568, 1.06698, 1.48583, 1.602, 2.32359, 2.15845, 1.3656, 1.58866, 1.52496, 1.53114, 1.49016, 1.88457, 2.20703, 2.03336, 2.38704, 2.36217, 2.59322, 3.01048, 4.00909, 4.0169, 3.83029
0.16, 0.0319375, -0.0737012, 0.604143, 0.124881, -0.33761, 0.687633, 0.43865, 0.697247, 0.679647, 0.56235, 0.333312, 0.598582, 1.22829, 1.32529, 1.50591, 1.02261, 1.12323, 0.950193, 1.37402, 1.24531, 1.59699, 1.355, 1.86815, 1.97081, 1.99059, 1.96098, 3.13741, 4.14767, 4.43073, 3.65896, 3.45525
0.18, 0.0319375, 0.734593, 0.353603, -0.0621617, -1.05387, 0.430634, 0.816016, 0.607451, 0.87514, 0.619701, -0.225499, 0.123583, 0.616002, 1.06864, 1.14584, 0.655469, 1.15385, 1.75635, 1.26753, 1.69058, 1.93947, 1.77692, 1.92914, 2.30452, 2.46684, 2.78402, 2.82175, 4.344, 4.56014, 4.28728, 3.86365
