# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.64052, -7.37564, -7.91964, -7.84129, -8.05905, -7.30196, -7.09211, -7.2898, -6.83916, -7.38622, -7.28644, -7.1475, -6.57285, -6.62631, -6.8922, -6.9695, -6.7602, -6.24035, -6.71421, -6.5786, -6.48558, -6.5227, -6.52448, -6.2734, -5.98431, -6.32461, -6.19577, -6.34338, -5.86842, -6.03376
0.02, 0.0319375, -8.05905, -7.77492, -8.05905, -7.98613, -7.56584, -7.23616, -7.19889, -7.41303, -7.23041, -6.9077, -7.07579, -6.81983, -6.62783, -7.05, -6.51402, -6.87475, -6.80275, -7.05061, -6.6892, -6.72116, -6.32667, -6.6834, -6.3232, -6.18387, -6.18873, -6.29091, -5.9267, -6.0533, -5.86574, -5.6503
0.04, 0.0319375, -8.05905, -7.34596, -6.96897, -7.38021, -7.78094, -8.05905, -7.62185, -7.18201, -7.12071, -6.97342, -7.34831, -7.29145, -6.99938, -7.31655, -7.06384, -6.94588, -6.73885, -6.39052, -6.15061, -6.15554, -6.32211, -7.1126, -6.47645, -6.44234, -6.28316, -5.89588, -5.98514, -6.0701, -6.3035, -5.97627
0.06, 0.0319375, -8.05905, -7.76781, -8.05905, -7.41711, -7.68052, -7.12218, -7.49179, -7.01065, -7.00619, -7.6073, -6.93276, -6.61941, -6.67724, -6.76066, -7.3681, -7.27719, -7.06483, -7.0128, -6.79949, -6.67403, -6.72878, -6.43837, -6.30675, -6.3712, -6.34105, -6.17504, -6.00417, -6.08228, -5.7264, -5.63358
0.08, 0.0319375, 0.404698, 0.0548454, -0.189909, -0.476715, -0.941739, -1.48634, -1.12353, -1.28282, -2.14058, -2.45871, -1.79424, -1.92436, -0.988133, -0.894417, -1.56792, -1.51509, -1.7931, -2.68943, -2.41106, -1.50355, -1.50538, -1.61043, -2.50851, -2.35583, -1.6044, -1.41419, -1.39066, -1.66385, -1.81845, -2.45589
0.1, 0.0319375, 0.830342, 0.979806, 0.262229, 0.507911, 0.77179, 0.194665, 0.166699, 0.572651, 0.649739, 0.275155, 0.079562, 0.35665, 0.232492, 0.0840929, 0.531887, 0.24894, -0.245973, -0.21124, 0.396313, -0.362064, -0.414367, -0.18553, -0.349365, -0.0282869, 0.0800141, -0.0557763, 0.133854, -0.0158991, 0.0788988, 0.0107745
0.12, 0.0319375, 0.361246, 0.543926, 0.337868, 0.227004, 1.06333, 1.37155, 0.784098, 0.545798, 0.999104, 1.32671, 0.678883, 0.371239, 0.425832, 1.06532, 0.904561, 0.861437, 0.841641, 0.427365, 0.578865, 0.685128, 0.672981, 0.0547541, 0.107137, 0.209221, 0.101658, 0.145103, 0.486052, 0.243913, 0.0569342, 0.154325
0.14, 0.0319375, 0.683455, 0.485988, -0.111033, 0.548256, 0.402062, 1.14747, 1.4376, 1.11614, 1.40236, 1.19632, 1.26863, 1.01156, 1.42841, 1.25208, 0.848217, 0.552241, 0.874142, 0.834025, 0.604604, 0.615327, 0.893633, 0.688386, 0.673354, 0.589781, 1.08449, 0.975865, 0.93513, 0.844852, 0.165568, 0.275655
0.16, 0.0319375, 1.0909, 1.30486, 1.41597, 0.872456, 1.54816, 1.1673, 0.655931, 0.988232, 1.34544, 0.599269, 0.812696, 0.401458, 0.555544, 1.23473, 1.17555, 0.867722, 0.783783, 0.577628, 0.941683, 0.679036, 0.471028, 0.641378, 0.586127, 0.289967, 0.224883, 0.364362, 0.583434, 0.548391, 0.168928, 0.117711
0.18, 0.0319375, 1.06398, 1.64531, 0.994964, 1.2992, 1.40203, 0.182827, 0.164419, 1.12894, 1.46355, 1.19929, 1.41593, 1.62717, 1.60181, 1.88803, 1.48262, 1.49874, 0.145785, 0.532059, 0.31871, 0.549836, 0.515083, 0.456841, -0.0469341, 0.3464, 0.199034, -0.13544, 0.0136018, -0.0687238, -0.53357, -0.0141006
0.2, 0.0319375, 0.451436, 1.49336, 1.34773, 1.04551, 1.32198, 0.683927, 0.648858, 1.03596, 1.04846, 0.997553, 0.951237, 0.856354, 0.989854, 0.959591, 0.870948, 0.794492, 0.649881, 0.376155, 0.564701, 0.587579, 0.781188, 0.165401, 0.11152, 0.059981, 0.161044, 0.589545, 0.246453, 0.00399375, 0.0135026, 0.212546
0.22, 0.0319375, 1.08124, 1.17045, 1.29074, 0.785572, 0.893512, 0.319972, 0.575878, 0.831553, 1.50424, 1.42109, 1.21135, 0.858974, 0.905634, 1.33076, 0.845324, 0.937658, 0.823779, 0.645711, 0.65091, 0.604004, 0.67101, 0.359217, 0.481862, 0.637931, 0.814054, 1.16193, 0.815477, 0.383747, 0.509329, -0.199052
0.24, 0.0319375, 1.13301, 0.777525, 1.45187, 1.26834, 1.16428, 1.01485, 0.929644, 0.760297, 0.767336, 0.737914, 0.825179, 1.30057, 1.57612, 1.74134, 1.30206, 1.02271, 0.759845, 0.662785, 0.766028, 0.738799, 0.703755, 0.710472, 0.66773, 0.177706, 0.072047, 0.439452, 0.532183, 0.509983, 0.444004, 0.101173
0.26, 0.0319375, 1.59661, 1.75112, 1.21418, 1.23558, 1.54563, 0.696735, 0.669151, 0.691912, 1.24352, 0.723087, 1.83142, 1.72816, 1.88043, 1.92281, 1.07811, 1.27535, 1.55048, 0.793918, 0.776891, 0.752444, 0.774033, 0.705015, 0.348115, 0.531636, 0.415917, 0.656503, 0.530165, 0.43709, 0.424075, 0.358392
0.28, 0.0319375, 1.41387, 1.83555, 0.944586, 1.25481, 1.53197, 1.87343, 1.61856, 1.25649, 1.53923, 1.29715, 1.00602, 1.05447, 0.902483, 1.24207, 1.44047, 1.26856, 0.97805, 0.993349, 0.627059, 1.14165, 0.885804, 0.762841, 0.591374, 0.263752, 0.757318, 0.965325, 0.906461, 0.316043, 0.0633288, 0.0697957
0.3, 0.0319375, 1.47189, 2.22071, 0.552828, 1.0066, 1.19622, 1.43849, 1.50545, 1.50631, 1.63676, 0.955204, 0.901074, 1.03566, 1.20528, 1.77938, 1.52727, 1.12364, 1.11846, 0.988289, 1.17563, 0.741199, 1.28744, 0.945167, 0.980064, 0.545622, 0.49831, 0.829585, 0.782963, 0.819186, 0.525725, 0.469667
0.32, 0.0319375, 1.38168, 1.45696, 1.47127, 1.28886, 1.37176, 1.02441, 0.777282, 0.990891, 1.89786, 1.60998, 1.01244, 1.02298, 1.28582, 1.35375, 1.78089, 1.66833, 1.7208, 1.52427, 1.10396, 0.736496, 1.01033, 0.922507, 0.905496, 0.827728, 0.6079, 1.0029, 0.662256, 0.705515, 0.302193, 0.0683383
0.34, 0.0319375, 0.780784, 1.67431, 2.03636, 1.61977, 2.186, 1.44409, 1.29338, 1.28993, 1.73324, 1.68041, 1.63978, 1.75683, 1.51268, 1.31621, 1.44511, 1.04878, 1.16902, 0.915479, 1.26203, 1.51263, 0.771093, 0.597109, 0.503353, 0.678538, 0.704123, 0.772844, 0.659452, 0.533222, 0.459208, -0.00831854
0.36, 0.0319375, 0.997021, 1.79161, 1.72726, 1.45143, 1.1806, 0.953081, 1.63677, 1.70175, 1.24207, 1.42917, 1.15412, 1.33126, 1.23072, 1.05474, 1.5303, 1.274, 1.16777, 0.819531, 1.00515, 0.990732, 0.966514, 0.540516, 0.718236, 0.289378, 0.673518, 0.6783, 0.524855, 0.439321, -0.122662, -0.455152
