# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -7.54468, -7.57046, -7.99373, -7.14551, -7.44696, -7.92702, -7.99141, -7.13673, -6.72583, -7.09474, -7.20856, -7.06032, -7.02761, -7.20294, -6.95357, -6.9378, -6.87043, -6.33083, -6.53662, -6.66608, -6.42287, -6.17294, -6.31137, -6.55518, -5.85474, -6.06039, -5.78305, -5.8562, -5.8151
0.02, 0.0319375, -1.17881, -1.3451, -2.18093, -1.71231, -1.93458, -2.07475, -2.53211, -1.42585, -1.70835, -2.29857, -2.15638, -2.03836, -1.43903, -1.59939, -1.45789, -1.46545, -1.73706, -2.03004, -1.8813, -2.06904, -1.31911, -1.24961, -1.55636, -1.47824, -1.60521, -1.71923, -1.33333, -1.76593, -2.48554, -2.42497
0.04, 0.0319375, -1.74479, -1.41744, -2.30406, -1.85749, -1.18391, -1.29291, -1.92963, -1.08412, -1.4121, -1.61711, -1.66153, -1.54593, -1.38629, -0.889684, -0.779026, 0.0440233, -0.626218, -1.58326, -1.4757, -1.58598, -1.46172, -1.73849, -1.28783, -0.513045, -0.691421, -1.19788, -0.467441, -0.511838, -1.58318, -1.96145
0.06, 0.0319375, -0.879366, -0.611499, 0.237597, 0.917705, 0.803571, 0.243818, 0.113565, 0.487035, 0.0363514, -0.413813, 0.412651, 0.146477, 0.341586, 0.468821, 0.691413, 0.054217, 0.273294, -0.35262, -0.322908, -0.00884541, 0.166817, -0.21752, 0.370952, 0.116549, 0.442212, 0.877647, 1.02809, 0.648268, 0.954222, 0.976457
0.08, 0.0319375, -0.0193371, -0.0306228, -0.787667, 0.284748, 0.450173, 0.50356, 0.172435, 0.211027, 0.511344, 0.311927, -0.243934, -0.430457, -0.452525, -0.00965563, 0.242126, -0.217347, 0.056465, 0.072383, 0.705921, 1.0246, 1.16519, 1.06026, 1.163, 1.00846, 1.34705, 1.32111, 1.44917, 1.51613, 1.68675, 1.87707
0.1, 0.0319375, -0.75862, -0.592699, -0.837272, -0.130891, 0.533152, -0.0203683, -0.796565, -0.821557, -0.718943, -0.206135, -0.352257, -0.235686, -1.07234, -0.466851, -0.242374, -0.433478, -0.402611, -0.536016, -0.0297192, 0.239118, 0.830518, 0.675094, 1.21621, 1.03997, 1.11462, 0.983712, 0.901166, 1.11008, 1.13451, 1.52078
0.12, 0.0319375, -0.555429, -0.627583, -0.249115, -0.32637, 0.164368, -0.325777, -0.339059, -0.127897, -0.244403, -0.670642, -1.26065, -0.688726, -0.75274, -0.525302, -0.553077, -0.229337, -0.170853, -0.0742955, 0.393631, 1.25566, 1.43004, 1.03153, 0.941752, 1.09543, 0.969946, 0.869938, 0.94562, 0.793787, 0.871514, 1.17514
0.14, 0.0319375, -0.154257, -0.00751517, 0.681463, 0.470649, 1.18738, 1.49366, 1.55741, 0.990575, 0.860641, 0.6339, 0.311316, 0.0568288, -0.000232247, -0.510423, -0.128094, 0.691481, 0.407338, -0.153711, 0.262123, 0.84988, 0.723595, 0.784666, 1.24647, 1.61489, 1.479, 1.27093, 1.5574, 1.30941, 0.90378, 1.76641
0.16, 0.0319375, -0.285349, 0.0421578, 1.18369, 1.30161, 1.40765, 0.940051, 1.55827, 0.759443, 0.423741, 0.410072, -0.0262561, -0.146694, 0.0857184, 0.872974, 0.16773, 0.834224, 0.675454, 1.18551, 1.29858, 1.01665, 0.660457, 0.798511, 0.950452, 1.50636, 1.66065, 1.43008, 1.41676, 1.47301, 1.15013, 1.56129
0.18, 0.0319375, 0.702582, 1.12077, 0.950599, 1.35206, 0.922631, 0.80072, 0.696244, 0.533755, 0.930409, 1.04822, 0.51985, 0.343396, -0.0213029, 0.507928, 0.180224, 0.423668, 0.347671, 1.08509, 1.58413, 1.28596, 1.80459, 1.773, 2.21517, 2.28272, 2.39283, 2.13798, 2.43308, 2.26067, 1.7114, 1.79204
0.2, 0.0319375, 1.10671, 1.10459, 0.792448, 1.44977, 1.39237, 0.593892, 0.500023, 1.11653, 0.839916, 1.08204, 1.12816, 0.887744, 0.854131, 1.5973, 0.953908, 0.692718, 0.742174, 0.887868, 1.45715, 1.90096, 1.68368, 1.89184, 2.10498, 2.46277, 2.68015, 2.21837, 2.31377, 2.25002, 1.99921, 2.07719
0.22, 0.0319375, 1.48186, 1.15402, 0.637829, 1.07029, 1.521, 1.32055, 1.33168, 1.64186, 1.24381, 1.91066, 1.55261, 1.19012, 2.08389, 2.26613, 1.8779, 1.12976, 1.25354, 1.71245, 1.90523, 1.81915, 1.97285, 2.15466, 1.88937, 2.17173, 2.29665, 2.15199, 2.45264, 2.44653, 2.16681, 2.49884
0.24, 0.0319375, 1.3321, 0.795387, 0.485927, 1.32024, 0.945493, 0.285334, 1.26064, 1.1598, 2.13778, 2.22561, 1.59998, 1.08562, 1.09368, 0.963556, 1.41405, 1.90542, 2.08986, 1.72759, 1.60454, 2.20022, 2.19597, 2.075, 2.03338, 2.29301, 2.62478, 2.51396, 2.22201, 2.40137, 2.39569, 2.08457
0.26, 0.0319375, 1.7311, 0.0184597, 0.17503, 1.89866, 2.26181, 1.51079, 1.47225, 1.91224, 2.26846, 2.35285, 2.23964, 1.61636, 1.64547, 1.60714, 1.34994, 1.62676, 1.67832, 1.54032, 1.92166, 2.36085, 2.32707, 2.02772, 1.80845, 2.24681, 2.32702, 2.75937, 2.86744, 2.73667, 2.85749, 2.30799
0.28, 0.0319375, 2.13288, 1.19679, 0.788956, 1.33879, 1.18212, 1.58901, 1.73123, 1.72106, 1.41762, 1.69343, 1.42188, 1.69096, 1.43502, 1.81096, 2.26816, 2.11679, 2.26052, 2.50149, 2.15591, 1.90359, 2.29162, 2.31146, 1.95607, 1.77332, 2.22094, 2.50785, 2.62965, 2.37917, 2.52939, 2.54952
0.3, 0.0319375, 1.68107, 1.42213, 0.637063, 0.951873, 1.17095, 2.24157, 2.76425, 2.05873, 2.47968, 2.93541, 2.3746, 1.90849, 2.70243, 3.35545, 3.09888, 2.56386, 2.35113, 2.44496, 2.80933, 2.52184, 2.54725, 1.95029, 2.38188, 2.43712, 2.67309, 2.30085, 2.31844, 2.59356, 2.62514, 2.66962
0.32, 0.0319375, 1.83944, 1.13851, 1.06857, 1.70677, 1.9289, 2.26767, 2.63417, 2.01207, 2.74628, 2.71336, 2.79504, 1.81142, 2.65835, 3.24048, 3.0354, 3.21647, 3.10578, 3.05278, 2.35242, 2.69167, 2.93718, 2.89963, 2.444, 2.20888, 2.42396, 2.5249, 2.66264, 2.52055, 2.78372, 2.33075
0.34, 0.0319375, 1.26543, 2.01956, 1.75488, 1.42716, 2.00806, 2.38519, 2.90777, 2.34753, 2.35449, 2.4971, 2.34794, 2.13667, 2.08339, 2.35208, 2.37396, 2.34203, 2.3777, 2.71546, 2.73186, 2.77953, 2.28588, 2.12587, 2.50726, 2.63193, 2.51199, 2.49908, 2.54663, 2.61781, 2.56438, 2.76337
0.36, 0.0319375, 2.44775, 3.26005, 3.34425, 3.13584, 3.18522, 3.15716, 2.58967, 1.92135, 2.66125, 2.48563, 2.51889, 2.25698, 2.08035, 2.69553, 3.18447, 2.40432, 2.11881, 2.53132, 2.3245, 2.37661, 2.61388, 2.6547, 2.41735, 2.95411, 3.0558, 3.49507, 3.53317, 3.14553, 3.07808, 3.0176
0.38, 0.0319375, 2.39436, 2.92607, 2.77887, 2.3719, 2.84745, 2.68066, 2.52375, 2.30292, 2.78152, 2.92774, 2.85054, 2.68275, 2.51064, 2.9259, 2.77175, 2.72174, 2.60131, 2.95342, 2.48339, 2.41875, 2.70111, 2.50227, 2.72293, 2.55343, 2.7662, 2.82843, 2.80073, 3.0805, 2.95658, 2.93149
0.4, 0.0319375, 2.40308, 3.01509, 2.93501, 2.16437, 2.52365, 2.47833, 2.71542, 1.96331, 2.17351, 2.28789, 2.46856, 2.03953, 2.28724, 2.46722, 2.43856, 2.55606, 2.88144, 2.6812, 2.48964, 2.24097, 2.59101, 2.94514, 3.20747, 3.11977, 3.18908, 2.92162, 3.32721, 3.05195, 2.69516, 2.49924
0.42, 0.0319375, 2.35991, 2.66285, 2.37008, 2.55186, 2.47195, 3.4849, 3.90043, 2.7507, 2.89569, 3.00975, 3.3953, 2.66612, 3.26368, 3.22919, 2.47848, 2.41861, 2.9, 2.89997, 2.4039, 2.88862, 2.78391, 2.68847, 2.98279, 3.1365, 3.11571, 3.05289, 3.41388, 3.30097, 3.27021, 2.7215
0.44, 0.0319375, 2.21728, 2.89833, 3.16257, 2.23167, 2.15468, 2.47012, 2.85113, 2.55384, 2.53205, 2.86895, 2.99109, 3.19118, 2.97658, 2.93427, 2.79273, 3.11895, 2.79159, 2.62207, 2.60197, 3.06531, 2.87641, 3.05878, 2.70356, 2.66665, 3.10352, 3.12737, 3.27427, 2.96598, 2.92432, 2.86946
0.46, 0.0319375, 2.0879, 2.73521, 2.81479, 2.83218, 2.79516, 3.18447, 2.93181, 2.92518, 2.62381, 2.5486, 2.50453, 2.89406, 2.83235, 2.73964, 2.3532, 2.31131, 1.91788, 2.17229, 2.82406, 3.35149, 3.03995, 2.8969, 2.89758, 2.93884, 3.21086, 3.24197, 3.25642, 3.25159, 3.13072, 2.70828
0.48, 0.0319375, 2.44634, 2.69559, 2.54126, 1.57422, 1.95769, 2.04206, 2.11632, 2.47568, 2.68467, 2.81918, 2.49936, 2.6235, 2.7514, 3.0933, 3.16113, 3.08594, 2.14757, 3.018, 2.86591, 2.40982, 2.57831, 2.97557, 2.89762, 3.34651, 3.29622, 3.13418, 2.54532, 2.7438, 2.62863, 2.75912
0.5, 0.0319375, 2.07909, 2.92177, 2.26787, 2.09227, 2.36097, 2.5689, 2.10837, 2.36784, 1.9809, 1.82321, 2.74131, 2.57434, 2.56023, 2.72678, 2.18715, 2.47662, 2.12818, 2.23533, 2.54859, 2.3425, 2.39248, 2.71097, 2.78342, 2.46907, 2.60849, 2.87045, 3.26212, 2.74381, 2.55003, 2.58835
0.52, 0.0319375, 1.82933, 2.77279, 2.57903, 2.25244, 2.06163, 2.26136, 2.80659, 2.41404, 2.86684, 2.25458, 2.71256, 2.71426, 2.54814, 2.66392, 2.95554, 2.92125, 2.00113, 2.19628, 2.50399, 2.49461, 2.03477, 2.95028, 3.01129, 2.97372, 2.61933, 2.96151, 3.0777, 2.99582, 2.59084, 2.59989
0.54, 0.0319375, 2.29654, 2.41142, 2.30783, 1.65077, 2.17985, 2.93444, 2.70218, 1.74451, 2.24817, 2.08421, 1.79921, 2.02873, 1.87823, 2.17985, 1.77156, 1.9226, 2.06705, 2.15639, 1.98927, 2.03982, 2.59387, 2.45265, 2.70277, 2.51043, 2.14383, 2.17754, 2.16563, 2.55379, 2.20806, 2.33434
0.56, 0.0319375, 2.15382, 2.34183, 2.23721, 1.97042, 2.23579, 1.58258, 2.14803, 2.42486, 2.33041, 2.13388, 1.92658, 2.07248, 2.10743, 2.05794, 1.94098, 1.87631, 1.54381, 2.05753, 1.93223, 1.90739, 2.35111, 2.34283, 2.56318, 2.38649, 1.98682, 2.059, 2.58, 2.5564, 2.32132, 2.2329
0.58, 0.0319375, 2.68755, 3.18902, 2.58053, 1.59507, 1.56241, 1.20898, 1.5686, 1.71192, 1.75825, 1.86584, 2.26368, 3.19441, 2.16827, 2.41182, 2.13793, 1.61996, 2.07291, 1.77122, 1.71135, 1.68794, 2.19401, 2.09998, 2.44092, 2.69617, 2.41212, 2.50015, 2.52984, 2.4414, 1.89125, 1.8527
0.6, 0.0319375, 2.42731, 3.19038, 2.11347, 1.55101, 1.96271, 2.14588, 2.24708, 1.61573, 2.29057, 2.07212, 2.28664, 2.54276, 2.26201, 2.13055, 1.96199, 2.28963, 2.42066, 1.96908, 1.8031, 2.09995, 2.41975, 2.42698, 2.48674, 2.16562, 2.37992, 2.59281, 2.56047, 2.66332, 1.81062, 1.85333
