# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -7.80243, -8.05905, -7.55315, -7.04984, -7.21165, -7.40677, -7.25869, -7.3221, -7.35059, -7.29841, -7.04903, -6.60806, -6.6326, -7.25688, -7.14982, -6.76771, -6.547, -6.69597, -6.18228, -6.38756, -6.46671, -6.28785, -6.22943, -6.12201, -5.98671, -6.07451, -6.13569, -5.8836, -5.68376
0.02, 0.0319375, -4.19716, -4.89259, -5.21808, -4.61265, -5.02807, -4.82146, -5.07778, -5.72772, -5.25676, -5.1002, -5.01389, -5.25228, -5.51647, -5.74038, -6.06377, -5.26603, -5.04962, -5.26659, -5.03488, -5.12388, -4.8875, -5.31615, -5.38629, -5.34444, -5.57247, -5.29753, -5.5116, -5.35505, -5.023, -4.77332
0.04, 0.0319375, -4.7701, -4.49027, -4.72709, -5.53683, -5.46702, -5.89374, -5.45677, -5.31058, -5.24126, -5.39622, -5.92344, -5.23816, -4.92637, -5.24231, -5.24874, -5.18969, -5.60367, -5.47991, -5.24566, -5.04224, -4.72875, -4.84531, -4.71921, -4.91078, -4.64911, -4.99093, -4.83124, -4.86842, -4.73191, -4.64586
0.06, 0.0319375, -5.21505, -5.49289, -4.7106, -5.34965, -5.41905, -4.97094, -5.43941, -5.44269, -5.24195, -4.96114, -5.59999, -4.96968, -4.65213, -4.83561, -4.72756, -4.62633, -5.15227, -5.03046, -5.06491, -4.79941, -4.88932, -4.7049, -4.68152, -4.92202, -4.63901, -4.84295, -4.68162, -4.7907, -4.4132, -4.51794
0.08, 0.0319375, -4.40145, -4.80058, -5.00476, -5.25459, -4.61616, -4.723, -4.49809, -5.33752, -4.79916, -4.90492, -5.57157, -5.66519, -5.53462, -4.99382, -5.09111, -4.72805, -4.69492, -4.81002, -5.03474, -4.98148, -4.91066, -5.24505, -4.99748, -4.61194, -4.4068, -4.78457, -4.96056, -4.56897, -4.62348, -4.54717
0.1, 0.0319375, -3.8923, -5.10881, -4.88384, -5.62038, -4.93317, -5.07491, -5.16306, -5.00981, -5.20465, -5.13973, -4.97083, -4.92755, -4.73251, -4.92796, -5.31804, -5.31588, -4.96818, -5.17208, -5.00656, -4.93446, -4.76759, -4.97808, -4.48835, -4.87574, -5.2914, -5.20623, -5.07167, -4.79231, -4.89382, -4.54571
0.12, 0.0319375, -5.46992, -4.72714, -5.56607, -5.62608, -4.656, -5.66344, -5.88787, -5.95217, -5.6826, -5.53575, -5.1718, -5.22753, -4.65492, -4.90376, -4.89687, -4.87084, -4.95906, -5.1367, -5.33754, -5.20035, -5.53036, -5.28404, -5.07478, -5.00865, -4.91272, -5.05246, -4.97654, -4.87348, -4.67954, -4.87709
0.14, 0.0319375, -3.82458, -4.76411, -5.33052, -5.56585, -5.05557, -4.56843, -5.16682, -5.36559, -5.51129, -5.58544, -5.53819, -5.47347, -5.272, -5.1127, -5.24748, -5.03576, -5.05468, -5.36388, -4.97004, -4.70157, -4.9043, -5.02671, -5.08594, -4.97239, -4.71595, -4.90733, -4.88658, -4.72529, -4.6687, -4.41152
0.16, 0.0319375, -4.70045, -4.95194, -5.52593, -4.78499, -4.89881, -5.07328, -4.84889, -5.17035, -5.14325, -4.70195, -4.96055, -5.23894, -4.99936, -5.2105, -5.12432, -5.02633, -4.98701, -5.39888, -5.07489, -5.35838, -5.26139, -5.15148, -4.80676, -4.73494, -4.98153, -4.95005, -4.78038, -4.8242, -4.52556, -4.81314
0.18, 0.0319375, -4.42899, -4.66896, -4.9755, -5.4399, -5.31517, -4.87523, -5.40353, -5.30864, -5.25328, -5.10773, -5.18925, -5.3753, -5.20752, -5.3114, -5.45968, -5.03411, -5.21021, -5.39346, -4.84879, -5.02077, -4.97177, -4.83015, -5.00141, -4.80123, -4.70039, -4.65274, -4.99726, -4.79124, -4.60485, -4.74391
0.2, 0.0319375, -4.26481, -5.04645, -5.77645, -5.17239, -5.46426, -5.01199, -5.37341, -5.15784, -5.09768, -5.09541, -5.3849, -5.09365, -5.49815, -4.95067, -4.93792, -5.3348, -4.89844, -5.02442, -5.47108, -4.75701, -4.68826, -4.57597, -5.04057, -4.80504, -4.53154, -4.51801, -4.62853, -4.38893, -4.65019, -4.64151
0.22, 0.0319375, -4.89833, -5.45298, -4.8483, -4.86072, -5.06147, -4.76691, -5.4158, -5.25729, -4.82043, -5.16246, -5.32379, -4.7615, -4.94901, -5.01117, -5.28916, -5.41195, -5.33027, -5.28943, -5.34562, -4.759, -5.03448, -4.85771, -4.89832, -4.83904, -4.74162, -4.69149, -4.79581, -4.81997, -4.70543, -4.65756
0.24, 0.0319375, -3.39118, -3.11236, -3.13516, -3.51566, -3.28679, -3.48564, -3.38372, -3.33664, -4.09757, -4.67819, -5.28576, -5.46709, -4.42078, -4.89051, -4.80514, -4.775, -5.29717, -5.97063, -5.27672, -5.01315, -5.02782, -4.94042, -4.68828, -4.80086, -5.0298, -4.7717, -4.81098, -4.6413, -4.74463, -4.77945
0.26, 0.0319375, -3.90826, -4.39528, -4.11712, -4.13127, -3.75083, -4.50891, -4.72459, -4.76851, -5.0272, -4.66412, -5.01993, -5.25745, -5.44764, -5.60524, -5.50403, -5.39543, -5.26379, -5.18628, -4.98764, -5.01492, -4.88957, -4.91802, -4.66479, -4.89289, -4.87162, -4.66275, -5.02607, -4.58584, -4.64982, -4.52202
0.28, 0.0319375, -4.83935, -4.37651, -3.92863, -4.98776, -4.59945, -4.64065, -5.58454, -5.20199, -4.84852, -5.17105, -5.32174, -4.81245, -5.06996, -4.81009, -4.79068, -5.01338, -5.08279, -4.9877, -4.83679, -4.71222, -4.8558, -4.68477, -5.23668, -4.91615, -4.62188, -4.39782, -4.82047, -4.79547, -4.47739, -4.57362
0.3, 0.0319375, -3.98144, -4.54033, -4.59099, -4.57706, -4.87696, -4.95953, -5.7035, -5.03902, -4.65281, -5.16189, -4.62644, -5.24056, -4.92766, -4.94769, -4.55623, -4.15685, -4.39552, -4.60571, -5.06242, -4.84829, -4.2558, -4.2771, -4.52444, -4.59061, -4.47466, -5.12854, -4.60755, -4.85795, -4.7799, -4.16829
0.32, 0.0319375, -4.65821, -4.17054, -4.73772, -5.76498, -4.98882, -5.24553, -4.92203, -4.76516, -4.85846, -4.95635, -4.58875, -4.78844, -4.68043, -4.52232, -5.0811, -4.90315, -4.96645, -4.8883, -4.79624, -5.30485, -4.9814, -4.85371, -4.90478, -4.50427, -4.43587, -4.34244, -4.58127, -5.08295, -4.70143, -4.38625
0.34, 0.0319375, -4.26027, -4.10103, -4.19495, -4.92783, -4.68988, -5.11666, -5.41994, -5.24439, -4.60479, -5.77439, -5.25712, -4.96587, -5.37035, -4.81193, -4.81208, -4.91422, -5.29516, -5.17587, -4.65984, -4.98408, -4.50158, -4.64583, -4.68156, -4.78248, -4.76411, -4.83132, -4.76647, -4.63293, -4.95004, -4.67083
0.36, 0.0319375, -4.04226, -4.02938, -4.6666, -5.20108, -4.97701, -5.02387, -5.67608, -5.40293, -5.07525, -5.16312, -5.425, -5.04766, -5.14778, -5.27295, -5.05408, -4.71316, -4.99332, -5.16147, -4.79376, -4.89704, -4.69871, -4.79896, -4.97925, -4.93486, -4.70402, -4.60163, -4.74117, -4.73164, -4.6402, -4.55888
0.38, 0.0319375, -4.89348, -4.80766, -5.09677, -5.95528, -4.91148, -5.08976, -5.12356, -4.57956, -4.90753, -5.62739, -5.95409, -5.49719, -5.29506, -5.32375, -5.17459, -4.7666, -4.72641, -5.27632, -4.57736, -4.94638, -4.51371, -4.51888, -4.12727, -4.92862, -4.89683, -4.61835, -4.73307, -3.73584, -4.56435, -4.46955
0.4, 0.0319375, -3.98815, -5.03755, -4.89495, -4.82671, -5.19199, -6.13811, -5.85192, -5.70531, -5.1824, -4.82569, -5.59938, -5.74973, -5.30824, -5.22751, -5.42386, -4.99393, -5.06685, -5.49026, -4.64919, -4.73017, -4.78438, -4.72975, -4.88439, -4.78681, -4.57386, -4.71652, -5.09833, -4.64806, -4.61666, -4.44562
0.42, 0.0319375, -4.86754, -4.47283, -4.53768, -5.48216, -5.21346, -5.18758, -5.80055, -5.61607, -4.94718, -5.5529, -6.12922, -5.15218, -5.22273, -5.15353, -4.98088, -5.0071, -5.33168, -4.94647, -5.05963, -4.81881, -4.96121, -4.99045, -4.92968, -4.80598, -4.71375, -4.76559, -4.98901, -4.69725, -4.443, -4.48493
0.44, 0.0319375, -5.08602, -4.82143, -4.75052, -5.86053, -5.3406, -5.60333, -5.81419, -5.22338, -4.84647, -5.032, -4.85779, -4.86504, -5.25704, -4.78414, -5.31281, -5.00877, -5.41644, -5.01872, -4.86417, -4.64018, -3.99953, -3.9418, -3.95811, -4.80995, -5.20571, -5.13839, -4.84925, -4.5421, -5.11214, -4.79473
0.46, 0.0319375, -4.01332, -2.68849, -2.20158, -3.35503, -4.37354, -4.31862, -4.36169, -3.59999, -3.08686, -4.73364, -4.41079, -3.16877, -2.5945, -3.39811, -4.23751, -3.56411, -3.90492, -3.76858, -3.53012, -3.44348, -2.53723, -2.86809, -2.96286, -3.2476, -3.94131, -4.52484, -3.97347, -2.87863, -3.97709, -3.85395
0.48, 0.0319375, -3.93182, -3.16323, -2.63285, -3.85353, -5.01274, -4.21579, -4.17293, -4.43505, -4.17159, -4.92213, -5.20324, -4.14537, -3.60845, -3.95888, -5.03956, -4.62074, -4.92651, -4.40033, -4.38892, -4.34662, -4.13929, -4.1536, -3.93199, -4.23834, -4.95377, -5.05212, -4.67581, -4.65493, -4.7221, -4.54682
0.5, 0.0319375, -3.95681, -3.61846, -2.9891, -3.79442, -4.47116, -4.59584, -4.64418, -4.62083, -4.44309, -5.23911, -4.82819, -4.70975, -3.57941, -4.12385, -5.35768, -4.9256, -5.25951, -4.77278, -5.03629, -4.78621, -4.17355, -4.44797, -4.59671, -4.61036, -4.91584, -4.55068, -4.79757, -4.6611, -4.73635, -4.60786
0.52, 0.0319375, -4.21438, -4.05773, -3.44254, -4.26704, -4.56607, -4.69692, -4.45031, -4.94665, -4.88272, -5.59432, -5.42343, -4.82347, -4.20002, -4.14484, -5.64034, -5.35335, -5.48362, -5.17488, -5.02198, -4.93225, -4.53334, -4.86162, -5.00545, -5.13277, -4.68986, -4.96827, -4.72485, -4.71604, -4.67109, -4.68214
