# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.15504, -0.509227, -1.30333, -0.617994, 0.342026, -0.37904, 0.415405, 0.370787, -0.0381116, -0.163103, 0.381342, 0.801737, 0.190608, 0.821509, 0.984298, 0.652796, 1.20855, 1.22918, 1.60314, 1.37386, 1.47302, 1.97548, 2.16781, 1.07023, 0.654155, 0.155654, 0.185815, 0.550585, 0.672057, 0.508476
0.02, 0.0319375, -0.63911, -0.388525, -0.865505, 0.395197, 0.145598, -0.189239, 0.23048, 0.770756, 0.0691443, 0.479649, 0.323119, 0.562594, 0.426762, 1.47223, 1.19699, 0.825695, 0.953722, 1.16186, 1.06578, 1.00224, 1.3118, 1.30108, 1.46286, 0.915243, 0.758524, 0.0151823, -0.124752, -0.156429, 0.162033, -0.09059
0.04, 0.0319375, -1.21189, -0.558301, -0.850045, -0.156411, -0.491921, -0.240965, -0.572615, 0.190684, 0.0969257, -0.180198, 0.569798, 0.801161, 0.351767, 0.46587, 0.977859, 0.653829, 1.02757, 1.23214, 1.57111, 1.09, 0.951541, 1.10833, 1.02115, 1.16523, 0.895448, 0.695395, 0.38133, 0.175207, -0.0731969, -0.125372
0.06, 0.0319375, -0.761685, -1.23993, -1.25462, -0.486698, -0.720888, -0.192123, -0.238873, -0.245477, -0.337099, -0.0316107, -0.104643, 0.308938, -0.137573, 0.707617, 1.07652, 0.566112, 0.716053, 0.754422, 0.608946, 1.00706, 1.36272, 1.51887, 0.952323, 0.739089, 0.549047, 0.419471, 0.0766156, 0.394974, 0.126657, 0.231126
0.08, 0.0319375, -1.96511, -1.48669, -1.19675, -0.920587, -0.505126, -0.7806, -0.662741, -0.190138, -0.276613, -0.132795, 0.655922, 1.06123, 0.189558, 0.614461, 1.27681, 0.987873, 0.564817, 0.760155, 0.740738, 0.78177, 1.30448, 1.28481, 1.02495, 0.667125, 0.779644, 0.405764, -0.0766221, 0.620513, 0.277837, -0.14881
0.1, 0.0319375, -2.57813, -2.69156, -3.28789, -3.82469, -4.05604, -4.67033, -3.83516, -3.11858, -2.40538, -2.61128, -2.50337, -2.32681, -2.00638, -1.72011, -1.27874, -1.38548, -1.55086, -1.65348, -0.934477, -0.692148, -0.691077, -1.15885, -1.02092, -1.58215, -1.79892, -2.21393, -2.04314, -1.96835, -2.76204, -2.81727
0.12, 0.0319375, -7.7471, -7.04178, -7.11471, -7.19568, -7.06531, -6.90043, -7.15263, -7.10793, -7.55334, -7.31504, -7.08787, -7.20743, -7.03244, -6.87897, -7.06646, -6.80107, -6.38871, -6.42851, -6.40256, -6.35971, -5.86615, -6.20955, -5.84136, -6.01763, -6.03579, -5.92127, -5.98351, -6.11371, -6.14011, -6.18154
0.14, 0.0319375, -7.71702, -8.05905, -7.82653, -7.40565, -7.53077, -7.22657, -7.69358, -7.40146, -7.099, -7.34318, -7.41842, -7.16292, -6.94199, -7.08429, -6.74994, -6.68245, -6.93262, -6.69362, -6.61942, -6.53404, -6.568, -6.23299, -6.26682, -6.10729, -5.90156, -6.12758, -6.26956, -6.05999, -6.03321, -6.25795
0.16, 0.0319375, -2.95305, -3.14048, -3.03527, -3.06934, -2.57623, -2.30995, -2.49198, -2.45526, -2.5243, -2.7954, -2.5087, -2.11173, -1.84996, -2.061, -1.89697, -1.89195, -1.80043, -1.88257, -1.85002, -2.10376, -2.16457, -1.87076, -2.03654, -2.80884, -3.0758, -3.05467, -3.30748, -2.50963, -2.64784, -2.73978
0.18, 0.0319375, -0.582246, -0.59075, -0.51104, -1.06371, -0.0581287, 0.388994, -0.472789, -0.839585, -0.603548, -0.556298, -0.899864, -0.193824, 0.147332, 0.294428, -0.00624912, 0.226083, -0.777977, -0.692854, -0.422134, -0.89203, -0.0795141, -0.268474, 0.144023, -0.874857, -1.3672, -0.455331, -0.491354, -0.589396, -1.05077, -0.797334
