# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.845839, 2.14494, 2.1887, 0.0427156, 0.808563, -0.89432, -0.40439, -0.624595, -0.744788, -1.12257, -1.23378, -0.794217, 0.358071, 1.268, 0.37147, 0.794491, 0.85275, -0.899739, -0.900825, -0.41465, 0.706205, 1.46789, 0.405402, -0.958037, -2.11266, -1.64867, -1.08925, -0.897051, -0.68079, 0.517385
0.02, 0.0319375, 0.407676, 2.26508, 1.7461, 0.355845, 0.557437, -0.675178, -0.994971, -0.45973, -0.883465, -1.01018, -0.908148, -0.174545, 0.00399529, -0.185132, -0.47456, 0.371796, 0.465759, -1.30946, -1.50298, -1.27246, 0.0469169, 0.94732, 0.154405, -1.49169, -2.64886, -2.41431, -1.68762, -1.62222, -2.19844, -0.874104
0.04, 0.0319375, 0.699845, 2.22092, 1.33777, 0.521421, 0.246424, -0.642272, -1.13011, -0.844116, -0.850246, -0.975469, -0.393456, -0.297968, -1.24281, -1.28322, -1.57884, -0.840403, -0.348542, -2.24242, -2.07713, -1.93827, -1.05716, 0.190291, -0.357043, -1.98546, -3.17691, -3.21325, -2.46214, -2.19105, -2.7584, -1.65964
0.06, 0.0319375, 0.581054, -0.583334, -0.663056, -0.985884, -0.976845, -1.85215, -2.31221, -2.46331, -2.2, -1.8618, -2.57331, -2.82369, -1.99145, -2.9261, -4.01524, -3.19462, -2.3723, -3.17239, -3.99839, -3.33913, -2.61755, -1.91473, -2.97554, -3.58091, -4.18916, -3.91004, -3.70742, -4.16701, -3.93865, -3.70129
0.08, 0.0319375, -0.920465, -1.28717, -2.11858, -1.87184, -1.25042, -2.09212, -1.7547, -2.66713, -2.60071, -2.27881, -2.57651, -2.23161, -1.81865, -2.5903, -3.63047, -3.62012, -2.74868, -2.57551, -3.9288, -4.18061, -3.7713, -3.36838, -3.55109, -3.76704, -3.93064, -4.46545, -4.41929, -4.23098, -4.38973, -4.00564
0.1, 0.0319375, -2.6927, -1.87201, -1.78498, -1.51965, -1.11411, -1.05962, -2.27845, -2.62965, -2.56075, -2.41234, -2.88219, -2.25668, -2.13914, -3.15379, -3.36398, -3.24398, -2.59919, -2.36873, -2.28419, -2.15125, -1.86274, -2.50764, -1.61479, -1.50574, -1.63326, -2.10051, -2.07243, -2.34254, -2.49507, -2.26556
0.12, 0.0319375, 0.0866347, 0.288368, -0.70937, -0.503574, -0.879189, -0.69002, -0.797653, -0.506475, -0.813734, -0.877053, -1.42128, -1.35395, 0.0502223, -0.0245813, -0.54899, -0.966227, -0.69249, 0.0962399, 0.551013, 0.848747, 1.2286, 2.00294, 1.91266, 2.4993, 1.79622, 1.62633, 1.8872, 1.67273, 1.28779, 1.55065
0.14, 0.0319375, -0.939266, -1.04774, -1.08393, -1.09551, -0.94447, -1.22879, -1.02913, -0.873804, -0.751488, -0.750104, -1.00029, -1.04942, -0.377871, -0.307884, -0.824966, -0.667674, -1.18272, -0.297345, 0.268584, 0.34026, 1.10406, 1.39169, 1.7915, 2.66816, 3.05235, 3.03144, 2.83283, 2.81336, 2.24691, 2.40622
0.16, 0.0319375, -1.70259, -2.05651, -2.65773, -3.0605, -2.13382, -1.8735, -1.59422, -1.31212, -1.64356, -1.46073, -1.66318, -0.845514, -0.154525, 0.0120205, -0.59816, -0.585335, -0.850821, -0.294455, 0.236473, 0.136671, 0.0531551, 0.857996, 1.29528, 1.42462, 2.38341, 2.63612, 2.51414, 2.42636, 2.14265, 2.21676
0.18, 0.0319375, -2.72783, -2.97742, -2.55937, -1.85775, -1.6156, -1.71367, -2.0949, -1.97971, -1.52555, -1.26994, -1.16121, -1.23883, -1.06545, -0.674915, -0.916234, -0.766498, -0.320137, 0.0188973, 0.458244, -0.0569282, 0.103848, 0.433542, 1.18749, 1.24166, 2.24089, 2.49105, 2.59575, 2.5778, 2.22066, 2.41101
