# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 1.19084, 1.38841, 1.19932, 1.03981, 1.16611, 0.740048, -0.0393666, -0.513077, -0.0139171, -0.381692, -1.19799, -1.45881, -1.26519, -0.293744, -0.0962955, -0.32257, 0.160882, -0.20451, -1.08834, -1.0128, -0.665829, -1.42178, -1.65837, -1.95048, -2.03447, -2.13054, -2.05993, -2.19099, -2.62842, -1.84878
0.02, 0.0319375, 1.15939, 1.64345, 1.83712, 1.15784, 0.839481, 0.100283, -0.939694, -1.65516, -0.33385, -0.763665, -1.9297, -1.82657, -1.47128, -0.0372858, 0.383452, -0.537086, -0.238803, 0.0916161, -0.527731, -0.879883, -0.922319, -1.28136, -1.25372, -1.77829, -2.49336, -2.63381, -2.70381, -2.89191, -2.95567, -2.74907
0.04, 0.0319375, 1.29513, 1.64077, 1.47216, 0.199752, 0.382462, 0.00203712, -0.394047, -1.4868, -1.74846, -1.64197, -2.14422, -1.54877, -1.47256, -0.344309, 0.107666, -0.899872, -0.883209, -0.325464, 0.267814, -0.287145, -0.816259, -1.94917, -1.49019, -2.20885, -2.33284, -2.22068, -2.72765, -2.64968, -2.75009, -2.74593
0.06, 0.0319375, 1.2377, 0.85901, 1.06822, 0.194223, 0.188703, -0.767747, -1.39359, -1.71984, -1.0255, -1.23226, -2.72003, -2.15508, -2.12626, -1.37379, -0.46951, -1.45591, -1.62677, -0.809411, -0.64298, -1.2348, -1.37165, -2.36444, -1.28177, -1.59615, -2.56143, -2.50911, -2.97899, -2.91039, -2.62622, -2.47845
0.08, 0.0319375, 0.51146, 0.773732, 0.845679, 0.337023, 0.135641, -0.297999, -0.514431, -1.24783, -0.96576, -1.21139, -1.86323, -2.72248, -2.22562, -1.3761, -0.764033, -1.65783, -1.59202, -1.35499, -0.945855, -1.42769, -1.9583, -2.77649, -1.53806, -1.77008, -1.88499, -2.51863, -3.67553, -2.72827, -2.8103, -3.08844
0.1, 0.0319375, -0.0410112, 0.123899, -0.259163, -0.642566, -0.275864, -0.966761, -1.97106, -1.57126, -1.43246, -1.59632, -2.05648, -3.16287, -2.92185, -1.56203, -1.04829, -1.45938, -1.61813, -1.53352, -1.07848, -2.19075, -2.31192, -2.94875, -2.01611, -1.83265, -1.94727, -2.49356, -3.61631, -2.71403, -2.55088, -2.62036
0.12, 0.0319375, 0.459002, 0.144436, -0.834724, -0.734557, -0.757461, -1.27423, -1.93739, -2.13311, -2.3955, -2.88718, -3.27019, -3.186, -3.66775, -2.65892, -1.96466, -2.14921, -2.18864, -2.15128, -1.9333, -2.27236, -2.75944, -2.79765, -2.75976, -2.7142, -3.02679, -3.58203, -3.61298, -3.1058, -3.05099, -3.2065
0.14, 0.0319375, 0.317788, 0.000259962, -1.05774, -1.51628, -0.762721, -1.55824, -1.93663, -2.25889, -2.09407, -3.00227, -3.40827, -3.75431, -3.40845, -3.08397, -2.24314, -2.68856, -2.57233, -2.48753, -2.63796, -2.80852, -2.66498, -2.86043, -2.92155, -2.98244, -3.23597, -3.47753, -3.50719, -3.65725, -3.29646, -3.13188
0.16, 0.0319375, -0.437861, -0.572199, -1.03557, -1.46631, -0.970423, -1.18767, -2.22137, -2.38274, -1.72092, -1.82309, -2.31401, -2.50283, -2.0793, -1.98836, -1.5958, -1.66608, -1.50314, -0.78372, -1.0101, -0.993164, -0.544501, -1.12493, -1.57769, -1.61664, -1.61719, -1.69129, -2.08115, -2.04799, -2.11521, -1.64682
0.18, 0.0319375, -1.20832, -0.536499, 0.309921, 0.682, 0.993011, 0.587525, -0.259191, 0.368187, -0.43931, -0.456177, -1.5878, -2.08537, -1.11091, 0.371888, 0.383569, -0.505214, -0.35984, 0.031011, -0.0339694, -0.0179724, 0.674141, 0.316908, -0.500614, -0.701075, 0.225052, -0.650726, -1.12971, -1.12262, -1.01348, -0.348735
0.2, 0.0319375, -0.937489, -1.37986, -1.00861, -0.0808774, -0.220952, -0.821006, -1.70298, -1.18168, -1.04788, -1.07602, -1.86721, -1.99304, -1.07747, -0.495434, -0.714842, -1.40777, -1.2646, -0.618685, -0.508219, -0.379485, 0.249981, -0.0315521, -0.844274, -1.40028, -0.0596173, -0.21571, -0.918229, -0.587513, -0.542392, -0.348486
0.22, 0.0319375, -0.82974, -1.9407, -2.25983, -1.4165, -1.14851, -1.51261, -1.45222, -0.761674, -0.721885, -1.54531, -2.53718, -1.42524, -1.06266, 0.0504972, -0.0287454, -0.742143, -0.489922, -0.802167, -0.39915, -0.242662, -0.190967, -0.376469, -0.732327, -0.721544, -0.35252, 0.00329975, 0.127919, 0.027822, 0.0598487, -0.416235
0.24, 0.0319375, -1.21564, -1.13897, -1.09089, -0.871477, -0.69627, -1.08549, -0.85107, -0.6173, -0.777161, -1.30779, -1.92557, -1.40344, -0.223325, 0.241519, 0.239271, -0.142512, -0.65343, -0.396871, -0.807521, -0.495848, -0.265163, -0.432582, -0.424171, 0.0597244, -0.209994, -0.11179, -0.501777, -0.00390331, 0.0858139, -0.0687438
0.26, 0.0319375, -1.27535, -1.07524, -1.30092, -1.88195, -1.07456, -1.65929, -1.92416, -0.921014, -1.07161, -1.2231, -1.67655, -1.33909, -0.922879, -0.341937, -0.128115, -0.454877, -0.581946, -0.429139, -0.451178, -0.613396, -0.645628, -0.343986, -0.321071, -0.440135, -0.469204, -0.0916393, -0.193462, -0.506528, -0.20289, -0.487995
0.28, 0.0319375, -0.9864, -1.74948, -1.58388, -2.05434, -1.25856, -1.11618, -0.988708, -0.643142, -1.18245, -1.49617, -1.74913, -1.07493, -0.615176, -0.139945, 0.184837, -1.07926, -0.826518, -0.63926, -0.659196, -0.448623, -0.170663, -0.37768, -0.341369, -0.961234, -0.560165, -0.00376671, -0.362327, -0.250733, -0.263849, -0.617595
0.3, 0.0319375, -1.48641, -1.46389, -2.12794, -1.3499, -0.586053, -0.755774, -1.63877, -1.09375, -1.11302, -1.37931, -1.83439, -1.4119, -0.43499, 0.24655, -0.261533, -0.864013, -0.893238, -0.983662, -0.61806, -0.652693, -0.450588, -0.0555009, -0.29941, -0.540709, -0.586301, -0.344743, -0.127921, -0.170904, -0.616867, -0.302496
0.32, 0.0319375, -2.47408, -2.01401, -1.86139, -0.773824, -0.452034, -1.63333, -1.50029, -1.17089, -1.05397, -1.84973, -1.63806, -1.08617, -0.71511, -0.133106, 0.0566314, -0.664156, -0.994048, -1.0698, -0.81111, -0.433302, -0.751539, -0.463075, -0.695303, -0.305946, -0.111488, -0.064451, -0.250966, -0.300776, -0.862186, -0.374792
0.34, 0.0319375, -1.70209, -1.46935, -1.68885, -1.36578, -1.10175, -1.81338, -1.77206, -0.894511, -1.21418, -1.55746, -1.35205, -1.2072, -0.733228, -0.294165, -0.0538968, -0.237543, -0.668139, -0.742121, -0.638381, -0.683945, -0.705732, -0.556211, -0.809709, -0.479099, -0.133382, 0.229036, -0.149226, -0.1167, -0.304058, -0.413783
0.36, 0.0319375, -1.1037, -1.75945, -1.35239, -1.139, -0.994295, -1.46878, -1.03847, -1.1234, -1.21806, -1.68001, -1.56288, -1.86992, -0.730634, -0.163861, -0.215264, -1.04293, -0.891757, -0.777316, -0.517034, -0.661359, -0.310928, -0.388405, -0.691752, -0.841951, -0.121637, -0.0401759, -0.122248, -0.431384, -0.674418, -0.820322
0.38, 0.0319375, -1.36153, -1.48734, -1.81778, -1.01304, -1.19642, -1.41392, -0.857969, -0.738528, -1.44818, -2.18876, -2.18029, -1.73412, -0.895464, -0.481104, -0.114067, -0.620585, -0.941637, -1.05272, -0.492785, -0.382308, -0.488771, -0.0975652, -0.198313, -0.0933845, -0.113259, -0.414816, -0.216095, -0.0899583, -0.736263, -0.506799
0.4, 0.0319375, -1.46075, -1.83282, -1.46507, -1.39128, -0.579279, -0.88378, -1.33568, -1.8572, -2.2321, -1.99577, -1.69616, -1.36745, -0.801938, -0.555164, -0.33762, -0.737242, -1.24191, -1.56509, -0.688329, -0.779844, -1.14563, -0.587513, -0.296826, -0.635901, -0.241224, -0.196621, -0.272236, -0.264453, -0.481837, -0.60371
0.42, 0.0319375, -1.89277, -1.36174, -1.41137, -1.27594, -1.01534, -1.46765, -1.40139, -0.893604, -1.29944, -1.43703, -1.30314, -1.18181, -0.940785, -0.723191, -0.758989, -1.30913, -1.07247, -1.6425, -1.3199, -1.11081, -0.782967, 0.00295405, 0.143956, -0.918016, -0.357439, -0.0664165, -0.353832, -0.347845, -0.574852, -0.498376
0.44, 0.0319375, -1.90472, -1.7702, -2.52714, -1.48085, -1.13629, -1.18267, -1.45872, -0.799998, -1.58936, -1.79839, -1.79591, -1.50587, -0.652089, -0.501985, -0.395417, -0.679274, -1.05516, -1.00876, -0.48593, -1.11623, -0.8832, -0.258674, -0.151357, -0.582556, -0.36231, -0.337757, -0.282429, -0.416975, -0.751761, -1.32294
