# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.28646, -1.07853, -1.01045, -1.83019, -2.21987, -1.50087, -2.14887, -1.22683, -1.45516, -2.16691, -2.8918, -2.10298, -1.64308, -1.74134, -1.53908, -1.56968, -1.26993, -1.39812, -1.72254, -1.99015, -2.1374, -2.95188, -2.72566, -2.32991, -1.72843, -1.74384, -2.39885, -2.13951, -2.25975, -2.85396
0.02, 0.0319375, -1.40263, -1.9831, -1.31487, -1.52836, -1.61774, -1.45076, -1.33576, -1.0206, -1.23814, -1.77072, -2.22102, -1.78919, -1.69688, -2.33808, -2.0252, -2.0955, -2.08029, -2.94431, -2.73331, -2.4766, -2.92522, -3.58593, -3.04206, -2.70382, -2.20612, -2.7748, -2.93117, -2.76615, -2.83029, -3.36101
0.04, 0.0319375, -1.33265, -1.08029, -1.22673, -1.5974, -0.989907, -1.37341, -0.779258, -0.733317, -1.28438, -1.05273, -0.471147, -0.0305693, -0.264326, -0.860076, -0.94891, -0.476064, -0.756742, -0.676088, -0.579131, 0.114205, -0.116794, -1.08588, -0.195032, -0.399801, -0.470886, -0.0892019, -0.554317, -0.781005, -0.59179, -0.790565
0.06, 0.0319375, -1.69966, -0.938666, -1.25831, -1.92295, -1.79569, -1.48952, -1.39384, -1.02999, -0.598149, -1.08204, -1.6366, -1.55907, -1.36729, -1.39507, -1.70148, -1.29228, -1.12735, -1.2112, -1.12712, -0.350013, -0.630496, -1.01395, -1.38392, -1.21489, -0.877132, -0.821455, -1.00681, -1.33694, -1.54539, -1.47993
0.08, 0.0319375, -1.6563, -0.845863, -1.95413, -1.38203, -1.26604, -1.36892, -1.59921, -0.910244, -1.53914, -1.39356, -2.03802, -2.29523, -2.47401, -2.22914, -2.08247, -2.01716, -1.65126, -2.00224, -1.79335, -0.851349, -1.55047, -2.01979, -1.74217, -1.91173, -1.53457, -1.83071, -1.59537, -1.82642, -2.40354, -2.21217
0.1, 0.0319375, -1.00357, -2.11578, -1.6394, -1.83922, -1.73961, -1.42887, -1.71923, -1.07628, -1.28921, -1.73895, -1.69542, -2.2753, -2.05717, -2.14922, -2.28026, -2.40183, -1.69432, -1.9862, -2.08828, -1.83037, -2.31764, -2.29429, -2.36206, -1.975, -1.54754, -1.06832, -1.24668, -1.67969, -1.94812, -2.10756
0.12, 0.0319375, -1.52415, -0.757351, -1.69972, -1.93148, -1.41537, -1.05656, -0.808713, -1.71488, -1.90854, -2.69369, -2.34733, -1.94803, -2.10043, -2.17738, -2.15513, -0.913254, -0.967486, -1.1343, -2.01563, -1.64938, -2.18266, -2.11581, -2.4639, -1.75339, -0.966338, -0.953216, -0.834929, -1.74187, -1.52226, -1.8984
0.14, 0.0319375, -2.3603, -1.60815, -1.61699, -2.26918, -1.41632, -0.982981, -0.757021, -1.16363, -1.58322, -2.39705, -2.31102, -1.81421, -1.98265, -2.07896, -1.97812, -1.69516, -1.58317, -1.61645, -2.54427, -1.83463, -1.85691, -2.57926, -2.57192, -2.23867, -1.45402, -1.52582, -1.93924, -2.63535, -2.08844, -2.81808
0.16, 0.0319375, -1.41795, -1.03357, -1.11204, -1.21344, -1.59143, -0.84974, -1.10014, -1.34426, -1.28692, -1.85593, -2.5455, -2.55943, -2.88001, -2.25605, -2.56557, -3.06163, -2.98566, -2.51273, -2.54352, -2.33996, -2.83792, -3.50765, -3.34776, -3.08456, -2.12712, -2.83468, -3.02707, -3.22955, -2.73839, -3.16172
0.18, 0.0319375, -1.33486, -1.56888, -1.01218, -1.3665, -1.52895, -0.739167, -1.06963, -2.24255, -1.40311, -1.41023, -2.13572, -2.28787, -2.29719, -2.1436, -2.21065, -2.71463, -2.46672, -2.79024, -3.20129, -3.65138, -3.79383, -3.66949, -3.44532, -3.30391, -3.07038, -3.02071, -3.30635, -3.14872, -3.32967, -4.22814
0.2, 0.0319375, -1.23997, -1.73948, -2.1406, -1.64296, -1.65777, -1.02221, -0.440117, -0.817605, -1.37027, -2.21852, -2.35382, -2.26911, -2.33004, -2.29293, -2.53848, -2.7961, -2.87267, -2.95257, -3.62104, -3.73893, -3.56752, -3.53041, -3.70023, -3.47994, -3.58254, -3.49586, -3.60258, -3.90429, -3.95901, -4.74149
0.22, 0.0319375, -1.9229, -1.32685, -1.20361, -1.07734, -1.82662, -1.03155, -0.948417, -0.8666, -1.67131, -1.80739, -1.88237, -2.14611, -2.34618, -2.46278, -2.43974, -2.60268, -3.19076, -3.02029, -3.5619, -3.72633, -3.60583, -3.73838, -3.34748, -3.10138, -2.97003, -3.74917, -3.86632, -3.62093, -4.13029, -4.6311
0.24, 0.0319375, -1.70577, -1.48384, -1.84791, -1.01639, -1.20899, -1.08575, -1.26596, -0.931115, -1.53041, -1.90107, -2.14008, -1.96558, -2.19498, -2.10299, -2.57442, -2.11357, -2.43292, -2.09115, -2.76773, -2.99534, -2.93814, -3.387, -3.10456, -2.75364, -2.38985, -2.2071, -2.90868, -2.70523, -3.01479, -3.74414
0.26, 0.0319375, -1.29343, -2.04676, -1.75681, -1.26029, -0.877383, -0.791809, -1.10731, -0.756869, -1.58674, -2.07056, -2.56091, -1.71495, -2.07381, -1.96396, -2.49579, -2.32131, -2.63373, -2.75953, -3.3339, -3.00061, -3.51782, -4.03372, -3.60839, -3.20174, -3.16524, -3.15117, -3.22326, -3.40692, -3.32332, -4.51405
0.28, 0.0319375, -1.75508, -0.893708, -1.43326, -1.58625, -1.39757, -1.08567, -1.13487, -0.537936, -1.80452, -1.81484, -2.61096, -2.45627, -2.49715, -2.58117, -2.43573, -2.90208, -2.69049, -3.17785, -3.27608, -3.10113, -3.15583, -3.72836, -3.45229, -3.6324, -3.02159, -3.05548, -3.35781, -3.25661, -3.44101, -4.60326
