# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.653071, -0.0328452, -0.159423, 0.443518, 1.46989, 1.28436, 0.753353, 0.653241, 1.30233, 1.18113, 0.724651, 1.42076, 1.65681, 1.60717, 1.45524, 1.74525, 1.62696, 1.71484, 1.50413, 1.24381, 1.44549, 1.51565, 1.41091, 1.04943, 0.797436, 0.395833, 0.450661, 0.584951, 0.497846, 0.263748
0.02, 0.0319375, -0.665363, 0.505397, 0.403331, 0.146561, 0.924836, 0.777226, 1.31802, 1.47751, 1.15299, 0.890288, 1.19404, 1.193, 1.56788, 1.39203, 1.62867, 1.45884, 1.75106, 2.2488, 1.79705, 1.27771, 1.2249, 1.49937, 1.50542, 0.978963, 0.881943, 0.459524, 0.202288, 0.242676, 0.0533798, 0.455393
0.04, 0.0319375, -1.3902, -0.270899, -1.04994, -1.03816, 0.166704, 0.601849, -0.205769, 0.237834, 0.410029, 0.611306, 0.86809, 0.442412, 0.339688, 1.21301, 1.06891, 1.07082, 1.27784, 1.5947, 0.994603, 0.836748, 0.868697, 0.851638, 0.587677, 0.449894, 0.187478, 0.410122, 0.0333652, 0.113078, -0.0380397, 0.217624
0.06, 0.0319375, -1.09997, -0.673917, -0.187539, -0.91417, 0.556347, 0.603738, -0.302985, 0.757779, 0.257185, 0.324542, 0.62318, 1.0071, 1.27811, 1.12154, 1.0393, 1.40365, 1.12687, 0.786776, 0.689337, 0.496788, 0.339572, 0.636207, 0.391209, -0.00380506, -0.20449, -0.40965, -0.546804, -0.486873, -0.184288, -0.240048
0.08, 0.0319375, -0.772956, -1.0887, -0.616424, -0.884022, -0.0705532, 0.380035, -0.005297, 0.0129771, -0.0903823, 0.522066, 0.442307, 0.250211, 0.472773, 0.264123, -0.0847313, 0.423203, 0.768976, 1.0222, 0.512562, -0.190545, 0.109523, -0.393173, -0.22556, -0.63, -1.00986, -1.08043, -0.790254, -0.998347, -1.15664, -0.893626
0.1, 0.0319375, -0.589055, -1.02609, -1.55067, -1.26617, -0.561558, 0.0475392, -0.427728, 0.212248, -0.565575, 0.329289, 0.0862054, 0.230501, 0.270634, -0.148094, 0.291701, 0.405209, 0.610264, 0.558858, -0.247947, -0.14309, -0.208224, -0.0170152, -0.0067035, -0.606456, -0.637271, -1.02773, -1.13257, -1.18916, -0.897879, -0.990775
0.12, 0.0319375, -2.23746, -2.13652, -2.23021, -1.2238, -0.501116, -0.554428, -0.415548, -0.336473, -0.53636, -0.968968, -0.541497, 0.00823661, 0.421934, 0.0531781, -0.204779, 0.376571, 0.837347, 0.626648, 0.331976, 0.951474, 0.584505, 0.286062, 0.77282, 0.256853, 0.340898, -0.0414614, -0.58239, -0.563214, -0.335262, -0.512947
0.14, 0.0319375, -3.07379, -1.80324, -1.25381, -1.46815, -0.626911, -0.784547, -1.16402, -0.897858, -0.570414, -0.809104, -1.06138, -0.552252, -0.0910037, -0.516906, -0.361505, -0.0487323, 0.256307, -0.394528, -0.579446, -0.111102, -0.414165, -0.76122, 0.065963, -0.749685, -0.768045, -1.1435, -0.796407, -0.967022, -1.25751, -1.24415
0.16, 0.0319375, -1.65748, -1.66155, -1.20981, -1.50152, -1.11939, -1.14108, -1.26693, -0.689256, -1.13914, -0.930735, -1.10812, -0.485047, -1.16815, -1.0637, -0.622344, -0.448847, -0.300575, -0.576506, -0.924668, -0.549115, -0.729861, -1.01438, -0.419313, -1.05248, -1.08242, -1.4274, -1.30621, -1.77134, -1.61487, -1.55873
0.18, 0.0319375, -1.6487, -1.34433, -2.01353, -2.19853, -1.73184, -1.60774, -1.26953, -0.847493, -1.16601, -0.772734, -1.05032, -0.899503, -0.906624, -1.79308, -1.48117, -0.720174, -0.641307, -0.674703, -1.02619, -1.3924, -0.864288, -0.919555, -1.11894, -1.77603, -1.66665, -1.69362, -1.46781, -1.78804, -1.82463, -1.84217
