# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 1.74083, 2.93638, 1.81998, 1.19816, 0.185935, 0.307676, -0.178611, -0.235649, 0.549033, 0.580645, 0.353589, -0.617844, -0.724489, -0.82478, -1.04588, -0.986026, -0.670142, -0.36753, -0.403493, -0.622542, -0.683764, 0.0313087, 0.368766, 0.492779, 0.00856796, -0.875434, -0.614941, -0.140837, -0.476471, -0.478344
0.02, 0.0319375, 1.95412, 2.45238, 1.26934, 0.689316, 0.445868, 0.534322, 0.298745, 0.390794, 0.181837, 0.383815, 0.401763, -0.183542, -0.31521, -0.796376, -1.12323, -1.40124, -0.556066, -0.0157158, -0.114174, -0.460655, -0.798235, -0.60237, 0.173587, 0.713574, -0.145403, -1.01224, -0.39186, 0.0809941, 0.0589676, -0.207064
0.04, 0.0319375, 3.02881, 3.48808, 3.72132, 3.38394, 2.04647, 1.76966, 1.79992, 1.97078, 0.921187, 1.38103, 1.61835, 2.06628, 2.03823, 0.313759, -0.0793433, -0.561346, 0.626568, 2.24343, 0.828419, 0.114408, 0.653145, 1.30041, 1.03014, 0.6283, 0.117889, -0.354597, -0.0910877, 0.236479, 0.929889, 0.400785
0.06, 0.0319375, 3.40053, 3.24684, 3.59286, 2.83582, 1.9383, 1.07296, 1.12117, 1.88203, 1.13328, 0.962295, 0.439745, 1.67633, 2.48025, 2.45373, 1.44959, 1.03381, 1.57175, 1.56657, 0.767619, 0.669959, 1.11947, 1.57371, 1.12816, 0.590349, -0.362619, -0.937671, -0.402666, 0.182847, 1.25309, 1.19821
0.08, 0.0319375, 2.01967, 1.88059, 1.66409, 1.57856, 1.5179, 0.203807, -0.727445, -0.18356, -0.0699837, -0.109274, -0.711911, 0.270836, 1.34168, 1.08015, 0.041718, 0.150856, 0.0705217, -0.0987977, -0.319919, -0.785514, -0.433433, 0.539658, -0.280259, -0.860884, -0.898514, -1.27247, -1.38458, -1.56142, -0.917579, -0.416293
0.1, 0.0319375, 2.23645, 1.16365, 1.37889, 0.565052, 0.0550816, -0.263836, -0.583534, -0.509482, -0.584035, -0.546705, -1.29403, -0.511277, 0.743985, 0.862637, 0.411785, -0.0124535, -0.735801, -0.640646, -1.33996, -1.2822, -0.808081, -0.923547, -1.03213, -0.98846, -1.59588, -1.85459, -1.97037, -1.81278, -1.7063, -1.6445
0.12, 0.0319375, 1.40977, 1.44382, 1.4548, 0.448659, 0.270975, -0.595538, -0.76942, -0.272043, -0.980197, -0.578768, -0.723107, 0.170002, 0.644291, 0.316651, -0.83329, -1.24235, -0.663967, -0.439464, -1.38313, -1.33192, -0.685519, -0.371342, -0.964883, -1.33491, -1.86328, -1.81165, -2.17873, -2.07189, -1.73645, -1.51784
0.14, 0.0319375, 1.98557, 1.63761, 1.7009, 1.15394, 1.051, 1.60316, 1.02146, 1.54387, 0.687885, 1.02871, 1.61493, 1.3575, 0.832106, 0.668034, 0.147904, -0.732818, -1.03911, -0.647856, -0.73156, -0.817836, -0.966058, -0.209892, 0.728494, -0.35494, -1.53238, -2.03341, -1.40554, -1.25242, -0.538039, -0.289577
0.16, 0.0319375, 2.32996, 2.54278, 2.51952, 2.05125, 0.889909, 0.917065, 0.932095, 1.57468, 2.03386, 2.61168, 2.28552, 1.06602, 0.544158, 0.512065, 0.24975, 0.01759, -0.258841, -0.545093, -1.0664, -1.06525, -0.886598, -0.679391, -0.0671344, -0.124269, -1.12018, -1.03451, -0.807019, -0.163344, 0.233615, 0.502419
0.18, 0.0319375, 2.58514, 3.21806, 2.47883, 2.76185, 1.14411, 0.952967, 1.59562, 1.68381, 2.46617, 2.50731, 0.759204, 0.420112, 0.608159, 0.766138, 0.716471, 0.153811, -0.36423, -0.248874, -0.647102, -1.44733, -0.920442, -0.952312, -0.812634, -0.952235, -1.92462, -1.22728, -0.497683, 0.271793, 0.731979, 0.27874
0.2, 0.0319375, 2.46326, 3.74839, 2.64599, 2.98307, 1.32783, 1.03825, 1.38969, 1.33545, 2.126, 2.98632, 2.19953, 1.58851, 1.02492, 1.73861, 1.13834, 0.0629196, -0.577798, -1.02549, -0.957016, -0.670505, -0.980326, -1.08845, -0.828237, -1.04774, -2.28817, -1.84978, -1.4853, -1.15677, -0.737663, -0.348866
0.22, 0.0319375, 2.29972, 4.03759, 2.31242, 2.35774, 1.68365, 1.63461, 1.14813, 1.10852, 1.37225, 1.56537, 1.8109, 2.56136, 2.76629, 2.61116, 2.1739, 1.12317, 0.144586, -0.189302, -0.756267, -0.614091, 0.0424809, -0.101472, 0.120951, -0.585291, -2.77898, -2.30935, -1.15388, -1.39805, -0.881604, -0.154269
0.24, 0.0319375, 2.05358, 3.93444, 2.31071, 1.69072, 0.981214, 1.29073, 0.345988, 0.70676, 0.967821, 0.986139, 0.702013, 1.06035, 1.66045, 2.0556, 2.60605, 1.96433, 1.33522, 1.48259, 0.440969, 0.235827, 0.411363, 0.209386, 0.348769, -0.977483, -3.2279, -1.77233, -1.08717, -0.917238, -0.238196, -0.151775
0.26, 0.0319375, 1.14369, 2.79222, 1.29396, 1.48951, 0.651347, 0.309006, -0.181316, -0.505968, 0.462862, 0.46392, 0.0833656, 0.446303, 0.691387, 1.51245, 1.93664, 2.51211, 1.58842, 1.93753, 1.13031, 0.159632, -0.153296, -0.0304924, 0.304112, -0.347085, -2.40781, -1.85996, -0.573478, -0.832282, -0.658726, -0.319772
0.28, 0.0319375, 1.73399, 2.8722, 1.41673, 0.577039, -0.405043, -0.945011, -0.643664, -0.681261, -0.91119, -0.510656, -0.0566628, 0.234118, 0.123395, 0.563728, 0.81338, 1.71953, 1.75031, 1.3091, 0.763904, 0.261526, -0.190692, 0.0132416, -0.00156107, -0.244077, -1.75268, -1.981, -1.07853, -0.729154, -0.649703, -0.0557412
0.3, 0.0319375, 0.50015, 1.63552, 0.988079, 0.68818, -0.895702, -1.23828, -1.4382, -0.717886, -0.371328, -0.364981, -0.787273, -0.288571, 0.188699, 0.334713, 0.568218, 0.303965, -0.00751667, -0.0854481, -1.07235, -1.19923, -1.42459, -0.831282, -0.81994, -1.28019, -2.17477, -2.72628, -2.24779, -2.20076, -2.28711, -1.93888
0.32, 0.0319375, 0.916916, 1.0638, 1.17475, 1.04696, 0.0594779, -0.176657, -0.123836, 0.306497, -0.0917079, -0.230469, -0.960395, -0.633254, -0.449775, -0.481946, -0.378733, 0.0610849, -0.418195, -0.360318, -0.777825, -1.9285, -1.523, -0.734555, -1.13036, -0.756135, -0.33437, -0.705208, -1.25041, -0.1992, 0.110138, -0.509012
0.34, 0.0319375, 0.301124, 1.95653, 1.65943, 1.54163, 0.382861, -0.14627, -0.261084, -0.078636, 0.0916201, 0.452938, 0.031923, -0.113976, 0.132295, 0.335802, 0.331636, 0.433498, 1.52113, 1.87897, 1.14878, 0.951096, 0.267634, 0.105904, 1.54428, 1.20515, 0.649653, -0.370053, 0.106894, 0.238585, 0.752122, 1.10029
0.36, 0.0319375, 0.475712, 1.79846, 1.26327, 0.637937, 0.475013, -1.36537, -0.831947, -0.711469, 0.0333395, -0.324569, -1.02616, -0.680364, -0.571627, -0.50803, -0.681419, -0.180033, 0.176482, 0.213867, -0.0437129, 0.551848, 0.255258, -0.174362, 0.804028, 1.0689, -0.461483, -0.621904, -0.382011, 0.125038, 0.0903976, 0.811667
0.38, 0.0319375, 1.75382, 1.99745, 1.29947, 0.917974, -0.233305, -0.370003, -0.158034, -0.551647, -0.403399, -0.222678, -1.03105, -1.10599, -1.96029, -0.806894, -0.235223, 0.634071, 0.985754, 0.357878, 0.383595, 0.502907, 0.253497, 0.608371, 0.672491, 0.669583, -0.805073, -0.751558, -0.469269, 0.365034, 0.48395, 0.541722
0.4, 0.0319375, 2.65512, 3.57111, 1.79875, 1.13202, 0.653349, -0.00823037, 0.207127, -0.107568, -0.474444, -0.555265, -0.515249, -0.689692, -0.481094, -0.573804, -0.113124, 0.937881, 1.39352, 1.24326, 0.873605, 0.858651, 0.425932, 0.581186, 0.541311, -0.00195683, -1.22021, -0.913832, 0.0395407, 0.737816, 0.28362, 0.199041
0.42, 0.0319375, 3.35275, 4.08097, 3.34127, 2.94933, 1.97996, 1.18615, 0.97046, 1.48511, 0.790322, 0.557126, 0.0241812, -0.0538136, 0.167949, 0.732074, 1.24526, 2.24594, 1.83256, 2.35169, 1.71902, 1.20281, 1.43201, 1.18723, 1.03538, -0.142, -1.12844, -1.06595, 0.206705, 1.33372, 0.924445, 0.747125
0.44, 0.0319375, 2.73096, 3.24163, 3.71923, 4.02926, 1.79783, 1.31767, 1.22734, 1.35705, 0.689419, 0.459715, 0.525507, 0.929579, 0.965738, 1.72964, 1.60018, 1.89567, 2.36363, 2.14695, 1.42394, 1.12127, 1.34803, 1.00072, 0.288115, 0.0959931, -1.3739, -1.24193, -0.0323439, 0.78678, 0.883247, 0.970838
