# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.851298, -0.463275, -0.961628, -1.31851, -1.26211, -1.30704, -0.930039, -1.01232, -1.10718, -1.74786, -0.974304, -1.30009, -1.7449, -1.66033, -1.21507, -1.36003, -1.69008, -1.4398, -1.78943, -1.40517, -1.39163, -1.52992, -1.08672, -1.72068, -1.60388, -1.79854, -1.52011, -1.75569, -1.84807, -1.90962
0.02, 0.0319375, -1.123, -0.439875, -0.666303, -1.79472, -1.20583, -1.25083, -1.36237, -1.35694, -0.108191, -0.968017, -1.44645, -0.809319, -1.59361, -1.80407, -1.28755, -1.44056, -1.4998, -1.52839, -1.37612, -1.13824, -1.08647, -1.35839, -1.41151, -1.57783, -1.23459, -1.53788, -1.82574, -1.90145, -1.80446, -1.76393
0.04, 0.0319375, -0.755942, -1.11253, -1.45354, -0.951157, -1.41957, -1.70625, -1.20283, -1.36156, -0.524613, -1.03938, -1.21713, -1.30833, -1.76137, -1.31302, -1.72431, -2.33558, -1.57784, -1.42273, -1.18792, -1.13504, -1.50273, -1.50148, -1.2742, -1.95064, -1.54502, -1.58817, -1.53649, -1.762, -1.84349, -1.45762
0.06, 0.0319375, -0.949032, -0.819299, -0.815179, -1.61916, -1.66025, -1.55351, -2.15941, -1.40302, -0.716857, -1.0323, -0.953238, -1.11469, -1.07389, -1.03543, -1.42312, -1.53601, -1.4687, -1.54156, -1.53333, -1.72169, -1.33431, -1.28926, -1.38498, -1.50099, -1.67121, -1.52645, -1.56133, -1.99254, -2.01979, -1.90468
0.08, 0.0319375, -1.26204, -0.938468, -0.974147, -2.7358, -1.65524, -1.41095, -1.32397, -0.619586, -1.01747, -1.60524, -1.95967, -1.38226, -0.535608, -1.61762, -1.30785, -0.962334, -1.01227, -1.53546, -1.45567, -1.33747, -0.689625, -0.935651, -1.37144, -1.21235, -1.47819, -1.36753, -1.56217, -1.68842, -1.96432, -1.94465
0.1, 0.0319375, -0.111611, -0.219478, -1.45686, -1.95588, -0.995095, -1.20376, -0.301836, -0.374707, -0.745005, -1.31894, -1.4392, -1.24922, -1.04961, -1.41662, -1.4703, -1.19723, -1.18319, -1.24953, -1.18255, -1.1452, -1.25603, -1.77715, -1.24087, -1.15176, -1.42283, -1.52675, -1.4024, -1.69566, -2.19816, -2.16303
0.12, 0.0319375, -1.16865, -1.21702, -2.26259, -1.17564, -1.14602, -1.36994, -1.20813, -1.24198, -2.04208, -1.42042, -0.698377, -1.54989, -1.83117, -1.55529, -0.826831, -0.931857, -1.19549, -1.10335, -0.940796, -1.66193, -1.52113, -1.19804, -1.53833, -1.43918, -1.40707, -1.77209, -1.9024, -1.76192, -1.99901, -1.87144
0.14, 0.0319375, -1.37309, -0.698754, -1.02386, -1.20469, -0.92162, -1.53991, -1.56904, -0.926129, -1.16469, -0.89847, -0.784535, -1.42934, -1.17655, -1.1424, -1.34504, -1.26222, -1.234, -1.13467, -1.15132, -1.60893, -1.4825, -1.40596, -1.22026, -1.55035, -1.38816, -1.4691, -1.73358, -1.92242, -1.87777, -1.76671
0.16, 0.0319375, -0.510175, -0.842028, -1.22062, -0.958916, -1.46257, -1.82522, -0.912467, -1.40615, -2.05536, -0.852786, -1.56268, -1.62734, -1.44631, -1.4681, -1.26546, -1.16583, -1.07706, -0.961582, -1.13376, -1.48877, -1.49915, -1.7271, -1.54669, -1.62895, -1.84126, -1.84985, -1.91687, -1.93464, -1.87233, -2.25561
0.18, 0.0319375, -1.0956, -1.5614, -1.40905, -0.860727, -1.25858, -1.71641, -1.80528, -1.99493, -2.03451, -1.31734, -1.32646, -1.1144, -1.42491, -1.76016, -1.60784, -0.581008, -0.898777, -1.19389, -0.988675, -1.43606, -1.48922, -1.32867, -1.02928, -1.5052, -1.75327, -1.8251, -2.1946, -2.00518, -1.82808, -1.80014
0.2, 0.0319375, -0.850172, -1.01493, -1.29094, -1.77805, -1.20623, -1.25122, -1.98562, -1.44067, -1.52809, -0.959198, -1.13148, -1.14341, -1.33157, -1.02975, -1.60449, -0.859719, -1.07547, -0.910338, -1.08038, -1.38188, -1.45585, -1.52852, -1.18726, -1.69758, -1.54514, -1.47239, -1.52619, -1.97047, -1.81888, -1.78695
0.22, 0.0319375, -1.64324, -1.33101, -1.28649, -1.15842, -1.29142, -0.946263, -1.39598, -0.546854, -1.16718, -1.95418, -1.08911, -1.0871, -0.677195, -1.11521, -1.37402, -1.52058, -1.99097, -1.81771, -1.49487, -1.40474, -1.35086, -1.5578, -1.50018, -1.54115, -1.22779, -1.3142, -1.41591, -1.91657, -1.78457, -1.77675
0.24, 0.0319375, -0.430075, -0.538549, -0.890859, -1.8828, -1.52405, -0.428376, -1.31047, -1.62255, -1.11914, -1.74297, -1.3248, -0.796118, -1.22423, -1.2774, -1.32231, -1.06105, -1.37258, -1.08435, -1.43681, -1.64974, -1.55642, -1.21639, -1.41386, -1.26394, -1.41388, -1.30548, -1.51159, -1.61367, -1.66333, -1.87952
0.26, 0.0319375, -1.02643, -1.05727, -1.19259, -0.828265, -0.509131, -0.477521, -1.38172, -1.11288, -1.60773, -1.68709, -1.78148, -1.22173, -1.3161, -1.04778, -0.622667, -0.910101, -1.19431, -1.17765, -1.24916, -1.29551, -1.3442, -1.52039, -1.77706, -1.74604, -1.77767, -1.77904, -1.92269, -1.41562, -1.64568, -1.75787
0.28, 0.0319375, -0.514192, -0.349377, -0.897433, -1.21528, -1.05286, -0.73142, -1.15179, -1.02011, -0.671359, -0.926984, -0.926574, -1.18432, -1.02621, -0.818515, -0.713835, -0.978658, -0.815671, -0.716483, -1.03203, -1.39492, -1.49496, -1.4134, -1.49802, -1.15235, -1.61343, -1.84831, -1.93921, -1.85573, -2.24799, -1.91906
0.3, 0.0319375, -1.03569, -0.277406, -1.2509, -0.833462, -1.29896, -0.278494, -0.769583, -1.90194, -1.26148, -0.927628, -0.874579, -0.636178, -0.88238, -0.844275, -1.17664, -1.33821, -0.763764, -0.914546, -1.01469, -1.52413, -1.40257, -1.07216, -0.911397, -0.982292, -0.39742, -0.846428, -0.637099, -0.488656, -0.589016, -0.835389
0.32, 0.0319375, -0.852052, -0.979531, -2.09639, -0.614563, -0.810393, -0.051349, -0.974482, -1.18815, -1.00022, -1.52208, -1.51467, -0.716587, -0.958215, -1.8161, -1.54158, -0.862306, -0.668736, -0.208258, -0.471725, -0.715678, -0.551738, 0.0489687, 0.487708, 0.297943, 0.310364, -0.521888, -0.00131586, -0.483117, -0.263558, -0.631164
0.34, 0.0319375, -1.39057, -0.419659, -1.01986, -1.72237, -1.40751, -0.420453, -1.16531, -1.5855, -1.03256, -0.907838, -0.710681, -1.17194, -1.43798, -1.57221, -1.11402, -0.43871, -0.783765, -0.784684, -0.213589, -0.215165, -0.188113, 0.487066, 0.847243, 1.04492, 0.31504, -0.322627, -0.466861, -0.85545, -0.855213, -0.880436
0.36, 0.0319375, -0.612483, -1.04672, -0.673523, -1.02943, -2.06259, -1.80995, -1.17092, -1.33917, -0.915869, -0.97293, -1.19296, -0.934953, -1.08361, -1.04508, -1.37438, -1.19064, -0.687511, -0.626027, 0.0187194, -0.135485, -0.799832, -0.481907, -0.0305858, 0.71491, 0.299659, -0.704502, -1.11798, -1.05623, -1.08789, -1.18219
0.38, 0.0319375, -1.23198, -0.745221, -0.844049, -1.73942, -1.30205, -1.31552, -1.78837, -1.86341, -0.782071, -1.24033, -1.33936, -1.04925, -1.08907, -0.826085, -1.529, -1.39032, -1.04365, -0.686889, -0.488955, -0.246928, -0.514475, -0.910646, -0.578084, 0.0382389, -0.481341, -0.985339, -1.25553, -1.57653, -1.87994, -1.74457
0.4, 0.0319375, -0.151828, -0.878403, -1.17334, -1.1629, -1.0357, -1.24627, -1.39516, -2.18951, -0.92508, -0.954845, -0.926283, -1.5733, -1.12612, -1.43891, -2.08883, -1.05734, -0.911201, -0.545019, -0.331245, -0.927204, -0.879025, -0.796823, -0.666984, -0.174716, -0.519132, -1.43821, -1.34087, -1.37554, -1.24465, -1.40351
0.42, 0.0319375, -0.77997, -0.699901, -1.46353, -1.29055, -1.25094, -0.858806, -1.46163, -1.29338, -0.822505, -0.583011, -1.50842, -1.80097, -1.29994, -0.554657, -0.497112, -0.892492, -0.641328, -0.00630209, -0.397043, -0.789085, -0.667381, -0.42534, -0.0135307, -0.540121, 0.0295538, 0.0043639, 0.0292151, -0.230841, 0.0243055, -0.208272
0.44, 0.0319375, -1.1149, -0.641099, -0.446515, -2.02619, -1.70067, -1.25674, -1.89187, -1.1851, -0.231359, -0.419178, -0.817214, -0.654527, -1.14375, -1.0706, -0.654452, -0.766643, -0.834276, -0.653082, -0.586017, -0.937494, -1.15582, -0.463483, -0.185517, -0.436645, -0.543476, 0.171557, 0.0989828, -0.15864, -0.470428, -0.650504
0.46, 0.0319375, -1.00911, -1.18442, -1.23518, -1.81802, -1.63988, -1.17791, -1.47965, -1.43914, -0.701752, -0.986703, -0.747647, -1.59005, -1.06212, -1.21283, -1.22108, -1.32807, -1.07314, -0.555039, -0.561192, -1.32868, -1.20014, -0.961277, -0.583607, -1.16025, -0.782871, -0.735703, -0.326266, -0.787368, -0.781048, -0.926244
0.48, 0.0319375, -1.74366, -1.25403, -1.48238, -0.820746, -1.02345, -1.63007, -1.10957, -1.38913, -0.811457, -1.5426, -0.723817, -0.517827, -1.44566, -1.09675, -1.20933, -1.06503, -0.998633, -0.895935, -0.910614, -1.16372, -1.22361, -1.56228, -1.27614, -1.21556, -1.10775, -0.894281, -0.684311, -0.957413, -1.34911, -1.36044
0.5, 0.0319375, -1.51894, -1.08363, -0.753279, -1.70195, -1.30187, -1.07504, -1.7844, -1.2332, -0.893603, -1.15093, -1.63012, -1.25009, -1.59153, -1.35204, -0.310365, -1.16735, -1.20414, -1.2142, -0.992003, -1.16409, -1.17847, -1.57746, -1.5038, -1.3771, -1.25122, -1.22715, -1.20434, -1.3766, -1.55698, -1.66767
0.52, 0.0319375, -0.69385, -0.638506, -0.854848, -0.71683, -1.57345, -0.940617, -1.85669, -1.47449, -1.30348, -1.79908, -1.33533, -1.86618, -2.14453, -1.6419, -0.613231, -0.606462, -1.13829, -0.668624, -1.31555, -0.532239, -0.910989, -1.56524, -1.20123, -1.11158, -1.1768, -1.34419, -1.41216, -1.33777, -1.54593, -1.51638
0.54, 0.0319375, -0.915088, -1.22444, -1.05148, -1.03946, -1.32757, -1.31895, -1.27699, -1.86879, -1.39653, -1.60085, -1.33248, -1.33866, -1.57673, -0.975945, -0.660112, -0.409353, -0.696968, -1.03664, -1.20976, -1.16238, -1.50709, -1.6335, -1.23232, -1.2558, -1.50914, -1.46553, -1.52546, -1.50464, -1.74292, -1.79896
0.56, 0.0319375, -1.01914, -1.17338, -0.71585, -0.813717, -1.35983, -2.0184, -1.5664, -0.975697, -0.717181, -1.0728, -1.20776, -1.26632, -0.937936, -0.840596, -0.567818, 0.06286, -1.01419, -0.73252, -1.05494, -0.839781, -1.25567, -1.68497, -1.2334, -1.67364, -1.69478, -1.65711, -1.75918, -1.95094, -2.171, -1.85304
0.58, 0.0319375, -1.18201, -0.717286, -1.30002, -0.890277, -1.03701, -1.34922, -1.18934, -0.765, -1.05212, -1.15889, -0.678001, -1.01553, -0.72068, -1.09579, -0.574668, -0.335609, -1.24323, -0.371954, -0.704557, -1.03864, -1.10397, -1.25066, -1.27203, -1.47833, -1.58037, -1.50995, -1.53395, -1.58777, -2.05935, -1.72365
0.6, 0.0319375, -0.818087, -1.33041, -1.10404, -1.44631, -0.980384, -0.760727, -1.66056, -1.51839, -1.17108, -1.63589, -2.42928, -1.814, -1.19607, -0.948903, -0.817128, -1.23117, -1.63835, -0.631266, -0.761641, -0.9033, -1.41292, -1.04675, -1.30681, -1.73161, -1.45882, -1.15446, -1.56352, -1.65299, -1.80738, -2.08907
0.62, 0.0319375, -1.31347, -0.735573, -1.33422, -1.29489, -1.08458, -1.03178, -1.33311, -1.97431, -1.32568, -1.37774, -1.4823, -0.905861, -0.675046, -1.41691, -1.43326, -1.23935, -1.41242, -1.0482, -1.45028, -1.31312, -1.37925, -1.39847, -1.60961, -1.77938, -1.48707, -1.70564, -1.66491, -1.82891, -1.99478, -2.13905
0.64, 0.0319375, 0.263876, -0.560567, -1.01703, -1.04813, -0.739767, -0.456488, -1.34007, -1.57392, -1.1693, -1.29103, -1.62742, -1.32443, -1.6925, -1.71489, -1.43034, -1.02176, -0.806312, -0.988579, -0.971134, -1.46053, -1.45061, -2.05641, -1.84033, -1.79633, -1.51266, -1.50983, -1.93456, -1.93836, -1.8082, -1.63055
0.66, 0.0319375, -0.998689, -0.562473, -0.763255, -1.79594, -0.955227, -0.515894, -1.22503, -1.64209, -1.71609, -1.60494, -1.18463, -1.20209, -1.90963, -1.76906, -1.51219, -1.38216, -1.19479, -0.992065, -0.906836, -1.53003, -1.3678, -1.31501, -1.44513, -1.26018, -1.83125, -1.99139, -1.56406, -1.27741, -1.70019, -1.87565
0.68, 0.0319375, -0.504253, -0.908684, -0.738529, -1.08987, -1.29852, -0.111454, -1.53086, -1.17044, -1.0842, -1.07595, -0.911291, -0.710573, -1.30886, -1.33259, -1.29493, -1.20801, -1.11452, -1.17186, -0.865265, -0.927523, -1.70395, -1.66358, -1.64394, -1.42457, -1.49766, -1.43763, -1.46439, -1.41897, -1.80698, -1.63555
0.7, 0.0319375, -0.493023, -1.79275, -1.44663, -1.13561, -1.19193, -0.667799, -1.62146, -1.63201, -1.42054, -1.05313, -1.13383, -0.708452, -1.05576, -1.54792, -1.16691, -1.16105, -1.38417, -1.05678, -0.843549, -1.18102, -1.00268, -1.35431, -1.4352, -1.12521, -1.5369, -1.78732, -1.57113, -1.47694, -1.46362, -1.72157
0.72, 0.0319375, -0.228043, -0.538831, -0.723161, -1.53818, -1.39507, -1.44063, -2.1739, -1.67566, -1.4215, -1.00691, -1.29072, -0.979156, -0.462672, -0.741208, -1.53082, -0.995911, -1.02477, -0.709951, -0.727505, -1.1012, -1.21813, -1.11982, -1.74684, -1.20506, -1.20285, -1.31311, -1.56912, -1.68225, -1.89253, -2.12999
0.74, 0.0319375, -1.27651, -0.952259, -1.03798, -0.700808, -1.66903, -1.79524, -2.37192, -1.58289, -0.896036, -1.10219, -0.680526, -1.14189, -1.01953, -1.14315, -1.04342, -1.25887, -1.23708, -1.1791, -0.740897, -0.726653, -1.06092, -1.54001, -1.36205, -1.29712, -1.47939, -1.6106, -1.8759, -1.86742, -1.72277, -1.72246
0.76, 0.0319375, -0.375127, -1.06014, -1.27791, -0.619343, -0.973274, -0.782426, -1.65339, -1.04136, -0.701191, -1.27542, -1.70909, -0.769042, -0.62588, -1.04862, -1.41138, -1.44308, -0.927543, -0.647665, -1.09699, -1.51106, -1.57734, -1.161, -1.58205, -1.68574, -1.46924, -1.79719, -1.74755, -1.38762, -1.68652, -1.89608
0.78, 0.0319375, -0.647485, -0.844797, -1.2058, -1.15642, -1.13111, -1.29375, -1.61725, -0.948658, -0.355148, -0.871478, -1.39922, -0.763889, -0.809783, -1.14905, -1.40067, -0.957099, -0.712962, -1.21054, -1.61412, -1.4857, -1.71175, -1.56242, -1.73932, -1.60616, -1.41063, -1.35285, -1.55873, -1.70522, -1.6846, -1.91096
0.8, 0.0319375, -0.695421, -1.45247, -1.20553, -0.57819, -0.732706, -0.755515, -1.07723, -0.828487, -1.06129, -1.49037, -1.48166, -1.31612, -0.987293, -1.60506, -1.37084, -1.10214, -1.31052, -1.51504, -1.55529, -1.46838, -1.83511, -1.63423, -1.72571, -1.55185, -1.46386, -1.57833, -1.82459, -1.41294, -1.54618, -1.69421
0.82, 0.0319375, -1.1644, -0.92016, -1.42512, -1.23004, -0.88965, -1.09359, -1.63108, -1.69471, -1.00878, -0.727915, -1.06523, -1.22093, -1.17285, -1.53966, -1.49642, -1.43695, -0.797047, -1.3235, -1.7192, -1.2114, -1.46087, -1.48968, -1.2897, -1.572, -1.50564, -1.34593, -1.79645, -2.10714, -1.67775, -1.97287
0.84, 0.0319375, -1.08635, -1.24625, -2.0407, -0.925849, -0.944839, -0.870298, -0.7942, -1.15595, -0.90984, -0.869373, -1.39991, -0.71942, -0.667577, -1.70905, -1.7406, -1.32181, -1.53905, -1.38878, -1.7386, -1.40502, -1.70809, -1.60511, -1.24469, -1.50369, -1.60908, -1.34789, -1.46611, -1.76879, -1.53682, -1.66106
0.86, 0.0319375, -1.32535, -1.01486, -0.63762, -1.52573, -0.941572, -0.60979, -1.10832, -1.3836, -0.670159, -0.744357, -1.42037, -1.20926, -0.653853, -1.37804, -1.2704, -1.06276, -1.29698, -1.11301, -1.65882, -1.58695, -1.37393, -1.05296, -1.20249, -1.10618, -1.21565, -1.12835, -1.63493, -1.75077, -1.5165, -1.82023
0.88, 0.0319375, -1.02451, -1.13528, -1.12089, -0.703303, -1.08407, -1.47055, -1.891, -1.35239, -0.994146, -0.762333, -1.18887, -1.13737, -0.798444, -1.20621, -1.33133, -1.22629, -0.736166, -1.06668, -1.40016, -1.23097, -1.33629, -0.844214, -0.938562, -1.3784, -1.34457, -1.42348, -1.40553, -1.70798, -1.72129, -1.66996
0.9, 0.0319375, -0.491742, -0.740053, -0.256098, -0.514481, -1.44735, -1.67597, -1.72718, -1.39685, -0.584753, -0.657591, -1.08693, -0.997821, -0.993568, -0.806227, -0.930437, -1.13184, -0.925814, -1.2797, -1.2759, -1.29141, -1.69335, -1.12566, -1.29615, -1.33224, -1.50422, -0.766015, -0.219335, -0.0050504, -1.58341, -2.00859
0.92, 0.0319375, -1.33851, -0.581639, -0.876643, -1.37533, -1.10031, -1.01254, -1.76993, -1.42537, -1.12883, -0.531259, -1.49935, -1.13603, -1.09021, -1.13688, -0.663101, -1.06891, -0.921455, -1.55718, -1.20237, -0.902512, -1.64683, -0.950111, -0.722188, -0.662525, -0.720245, -0.428351, -0.429601, -0.688495, -0.985414, -0.963275
0.94, 0.0319375, -0.429674, -0.687585, -0.91307, -1.80313, -0.830839, -1.09621, -1.22454, -1.0876, -0.796702, -0.776161, -1.54092, -1.29251, -1.72074, -1.14114, -1.32694, -1.5601, -1.31074, -1.08893, -0.825808, -0.724159, -1.43823, -0.413952, -0.585236, -0.502428, -0.154926, 1.1006, 0.26753, -0.996163, -1.26002, -1.39851
0.96, 0.0319375, -0.298338, -0.33935, -0.914209, -0.0260985, -0.0704769, -0.522421, -0.739257, -1.17032, -1.21287, -0.465341, -1.47284, -0.851705, -1.46982, -1.11072, -0.806934, -1.36468, -0.659194, -1.34256, -1.49955, -1.05298, -0.759324, -0.253287, 0.0751289, 0.654549, 0.532575, 0.484575, -0.113323, -1.06679, -1.34623, -1.60438
0.98, 0.0319375, -1.38772, -0.643585, -0.220234, -0.214046, 0.193786, -0.367893, -0.827305, -1.37633, -1.46705, -0.887059, -0.949263, -0.977103, -1.09596, -1.08049, -1.48121, -0.930754, -1.59295, -1.64879, -1.23936, -1.49442, -0.575571, -0.244091, -0.184311, 0.14504, -0.106893, -0.152114, -0.377059, -1.65746, -1.47584, -1.95907
1, 0.0319375, -1.13185, -0.480699, -0.343706, 0.142562, -0.353533, -0.997822, -1.66518, -1.14137, -0.786409, -0.655787, -1.39562, -2.07806, -1.53952, -1.49414, -1.45523, -1.27668, -1.26799, -1.40028, -1.1107, -0.9671, -0.626354, -0.280895, -0.00383743, -0.323382, -0.889704, -0.824663, -1.11675, -1.59508, -1.66075, -1.55807
1.02, 0.0319375, -1.14879, -0.926069, -1.38001, 0.0170012, 0.236894, -1.33411, -0.583512, -0.997859, -1.50267, -0.927976, -1.17888, -1.31825, -0.993145, -1.12684, -1.00528, -1.29156, -1.11719, -1.28684, -1.24257, -1.12406, -0.509963, -0.227516, -0.387484, -0.67773, -0.987294, -1.03686, -1.31972, -1.73595, -1.8895, -1.89066
1.04, 0.0319375, -0.755733, -0.746892, -1.2174, -1.14741, -1.09088, -1.68296, -1.43553, -1.185, -1.50408, -1.65351, -1.80666, -1.45906, -1.24722, -1.30326, -1.23727, -0.909317, -1.25429, -1.55535, -0.630796, -0.651564, -1.37116, -1.20136, -1.005, -0.816738, -0.714953, -1.16145, -1.60871, -1.61724, -1.84405, -2.00765
1.06, 0.0319376, -0.589157, -0.833666, -1.10987, -1.19276, -0.482551, -1.19164, -1.96478, -1.69778, -1.1309, -0.687882, -0.821797, -1.20767, -1.21861, -1.2877, -1.17764, -0.786041, -1.04075, -0.962871, -0.666925, -0.903654, -1.154, -1.01562, -1.20225, -1.15807, -1.12846, -1.48135, -1.88017, -2.0497, -1.79673, -2.01117
1.08, 0.0319375, -1.4076, -1.10856, -1.37745, -2.07149, -1.35739, -1.69557, -1.68765, -2.02548, -1.67796, -1.24894, -0.872875, -1.47654, -1.68809, -1.34643, -1.19782, -0.69466, -0.624913, -1.09876, -0.739481, -1.20695, -1.36216, -1.15434, -1.45972, -1.60893, -1.442, -1.72408, -1.64104, -1.63896, -1.91086, -1.93584
1.1, 0.0319375, -0.413304, -0.444341, -1.19002, -1.57764, -0.782462, -0.729713, -1.13526, -1.12686, -1.46677, -1.28166, -1.45814, -1.21221, -0.976513, -1.13991, -0.940083, -0.53779, -0.449142, -0.389288, -0.160785, -1.06683, -1.42237, -1.4403, -1.48451, -1.74493, -1.97742, -1.91765, -1.80153, -1.7812, -1.64807, -1.93243
1.12, 0.0319375, -0.511892, -0.191279, -1.22319, -1.68825, -0.599864, -0.281559, -0.735837, -0.159236, -0.4611, -0.795607, -1.48301, -0.979729, -1.14007, -1.64486, -1.01209, -0.924632, -1.13587, -1.39088, -0.713959, -1.23706, -1.48948, -1.48623, -1.44552, -1.57057, -1.19933, -1.68038, -1.66868, -1.93922, -1.79417, -1.78291
1.14, 0.0319375, -0.5069, -0.993717, -1.10169, -1.69836, -0.556844, 0.0726002, -0.590645, -0.425411, -0.718121, -1.0286, -0.932789, -1.0817, -0.981364, -1.18091, -0.688412, -1.21155, -1.03039, -1.42895, -0.925022, -1.47983, -1.82239, -1.93785, -1.55922, -1.57725, -1.60036, -1.44838, -1.50199, -1.71007, -1.6672, -1.72566
1.16, 0.0319375, -1.68192, -1.1625, -1.14677, -0.820933, -1.52516, -1.50697, -0.841212, -1.13643, -1.60667, -1.43302, -0.782328, -0.561446, -0.783676, -0.979155, -0.946438, -1.1447, -1.50114, -1.36699, -1.23143, -1.47811, -1.7959, -1.83514, -1.15845, -1.40316, -1.52367, -1.63016, -1.51288, -1.62757, -1.81996, -2.0307
1.18, 0.0319376, -0.77493, -0.943974, -0.525038, -1.39248, -1.68345, -1.17628, -1.09875, -1.07715, -1.18338, -0.50874, -1.38309, -1.09058, -1.34032, -1.46954, -0.775559, -1.22954, -1.36024, -1.33403, -1.42573, -1.24534, -1.49929, -1.49248, -1.33225, -1.48653, -1.12789, -1.44703, -1.47258, -1.74018, -1.84299, -1.7394
1.2, 0.0319375, -1.36583, -1.17971, -1.5671, -1.17553, -0.985019, -1.13272, -0.732468, -0.969584, -1.2005, -1.26013, -1.08848, -1.38452, -1.09529, -1.00373, -1.07232, -1.43184, -0.986146, -1.3979, -1.04802, -1.59925, -1.40391, -1.54964, -1.61312, -1.75457, -1.62493, -1.82046, -1.51724, -1.75933, -1.68916, -1.8571
1.22, 0.0319375, -1.33238, -1.78626, -1.51636, -1.60471, -1.71149, -1.1122, -1.07173, -1.07519, -1.15559, -1.33213, -1.25343, -1.38084, -1.49575, -1.25494, -0.796621, -0.725648, -1.45762, -1.73028, -1.01366, -1.09568, -0.944787, -1.49442, -1.12255, -1.43698, -1.41089, -1.34772, -2.14066, -1.79354, -1.74519, -1.67711
1.24, 0.0319375, -1.45351, -1.5877, -1.52815, -1.79942, -1.50694, -0.868619, -1.20043, -1.64587, -0.507516, -0.746972, -1.47629, -0.927841, -1.27942, -1.14052, -0.622762, -1.00174, -1.03513, -1.25599, -1.62882, -1.35628, -1.27927, -1.07304, -1.14254, -1.26862, -1.30207, -1.90878, -1.87895, -1.66075, -1.61248, -1.86505
1.26, 0.0319375, -1.3084, -0.632045, -0.868547, -1.17842, -1.34537, -1.07786, -1.42441, -1.34115, -1.58701, -0.621009, -0.912524, -0.780698, -0.780631, -0.989635, -1.03368, -0.921628, -0.564736, -0.578296, -0.615642, -0.922207, -1.25359, -1.23809, -0.586197, 0.334272, 0.313011, 0.653313, 0.86798, 0.336105, -0.481558, -1.1437
