# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.302863, 1.84876, 1.81274, 3.07383, 3.50636, 3.36003, 3.10556, 3.21524, 2.70627, 1.60949, 0.865623, 0.0334996, 0.253479, 0.297568, 0.108294, -0.249012, -0.157827, 0.0345611, 0.17374, 0.974998, 0.400469, -0.751952, 0.465773, 0.845315, 0.544835, 0.255659, -0.457133, 0.637102, 1.8527, 1.7383
0.02, 0.0319375, 1.05123, 1.59126, 2.73395, 1.65024, 3.79229, 2.90756, 2.77036, 2.93608, 2.32304, 1.37589, 1.14765, 0.745315, 0.129846, 0.0160976, 0.317519, -0.0646556, 0.0499343, 0.231304, 0.167849, 0.623642, -0.118507, -0.771834, -0.381069, 0.211138, 0.318124, -0.192677, -1.14923, 0.492171, 1.83516, 1.66704
0.04, 0.0319375, 2.15698, 1.24389, 3.21953, 2.86416, 3.18817, 3.56074, 2.62847, 2.65174, 1.68362, 1.47727, 0.890547, 0.818159, 0.80478, 0.567959, -0.0134878, -0.248584, -0.0167307, -0.156312, -0.0379755, 0.126751, -0.381266, -0.514161, -0.54481, -0.067045, -0.0670185, -0.439206, -1.04395, 0.17113, 1.11288, 0.910503
0.06, 0.0319375, 3.10903, 1.58335, 1.86394, 3.53223, 2.59013, 2.86891, 3.10297, 1.63678, 2.09265, 1.13312, -0.492779, -0.0732423, -0.166826, 0.210461, 0.0887681, -0.308344, -0.261793, -0.37626, -0.477841, -0.139841, -0.673445, -0.466781, -0.684668, -0.462646, -0.531203, -0.525118, -0.690748, 0.0240292, 0.592218, 0.651772
0.08, 0.0319375, 2.9768, 2.67748, 1.643, 2.82176, 3.32945, 1.63056, 2.57934, 2.91582, 1.49819, 0.977683, 0.867165, 0.243605, 0.0114743, -0.0560018, -0.65098, -0.10744, -0.257699, -0.654529, -1.12474, -0.759171, -0.94393, -0.683321, -1.16514, -0.985154, -0.883765, -1.08404, -0.960348, -0.594479, -0.203914, 0.0516193
0.1, 0.0319375, 3.00917, 2.57262, 1.69529, 1.93723, 2.15133, 1.99506, 1.87701, 1.52169, 0.931382, 0.525617, 0.433063, 0.155499, -0.142257, -0.201863, -0.534913, -0.289538, -0.60728, -0.536676, -0.757861, -0.49533, -0.865569, -0.966735, -0.787082, -1.19839, -0.913757, -0.966605, -0.774125, -0.238156, 0.332583, 0.482624
0.12, 0.0319375, 2.28927, 1.67166, 1.40902, 1.82978, 2.22006, 1.6456, 1.82133, 1.84197, 1.02541, 0.695653, 0.800558, 0.0753747, -1.00517, -0.623115, -0.617456, -0.440195, -0.453588, -0.388526, -0.763754, -1.1715, -1.24444, -0.919919, -0.937469, -0.840653, -1.05408, -1.09407, -0.98465, -0.559505, -0.316151, -0.694817
0.14, 0.0319375, 1.25965, 0.90493, 0.630753, 1.42289, 1.94669, 1.39995, 1.20974, 1.23649, 0.791032, 0.346758, 0.332669, 0.252897, -0.21176, -0.536645, -0.731892, -1.04965, -0.939765, -0.965124, -1.03466, -0.954059, -0.99791, -1.04813, -1.0454, -0.78772, -1.18595, -1.0803, -1.03365, -0.642085, -0.758759, -0.823421
0.16, 0.0319375, 1.44251, 0.993067, 1.20706, 1.1416, 1.02568, 0.538683, 0.589489, 0.674226, 0.55712, 0.191503, -0.608271, -0.511425, -0.216901, -0.129643, -0.859716, -1.02295, -0.865122, -0.34745, -0.602316, -1.10233, -0.963169, -0.995713, -1.19099, -0.951259, -1.08835, -1.02989, -0.526747, 0.115592, 0.346006, -0.50223
0.18, 0.0319375, 1.00376, 0.0621016, 0.649323, 0.546368, 0.202821, 0.897381, 0.452391, 0.592208, 0.735678, 0.779043, 0.337545, 0.50784, 0.26639, 0.0610508, -0.0443466, 0.0826911, 0.336917, 0.72992, 0.591632, 0.193854, -0.285756, -0.424765, -0.0420557, 0.0320738, -0.137899, 0.0780902, 0.519204, 1.01084, 0.803431, 0.719218
