# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.378031, 1.57503, 3.01101, 0.669835, 2.28604, 1.60656, 1.10732, 0.954184, 0.552631, -0.294142, 0.00631445, -0.222541, -0.220984, 0.0410239, -0.138818, 0.369218, 1.52182, 1.83167, 1.41832, 1.2773, 0.63009, 0.169737, 0.66251, 0.519782, -0.155565, -1.51366, -2.24282, -2.05809, -1.79681, -1.17302
0.02, 0.0319375, 0.795436, 2.14056, 3.31077, 0.824817, 1.93316, 1.38254, 0.808695, 0.616312, 0.344769, -0.579478, -0.455687, -0.340952, -0.33732, -0.112237, -0.295488, 0.0130444, 1.34976, 2.18079, 1.56875, 1.0165, -0.0517939, -0.677273, 0.0171928, 0.119649, -0.756876, -1.89118, -2.65238, -2.37298, -2.34142, -1.61572
0.04, 0.0319375, 0.330118, 0.921829, 2.3708, 0.6911, 1.33558, 0.642053, 0.170345, -0.180417, -0.615832, -1.07185, -0.763043, -1.00212, -0.957092, -0.836617, -1.06525, -0.517646, 0.0805258, 1.20871, 0.587559, -0.415312, -1.36795, -2.08442, -0.92131, -1.20502, -1.49356, -2.26121, -2.69149, -2.54952, -2.58424, -2.36792
0.06, 0.0319375, -0.184985, 0.572158, 1.34229, -0.161855, 1.05489, -0.510628, 0.264495, -1.16955, -0.751675, -1.02235, -1.97952, -1.70174, -1.48835, -1.93531, -2.1032, -1.22459, -0.710103, 0.0760429, -0.624704, -1.3058, -1.91807, -2.38908, -1.64562, -1.38119, -2.10559, -2.31911, -2.71568, -2.83804, -2.58742, -2.49303
0.08, 0.0319375, -0.210588, -0.0746348, 0.977698, -0.156787, 1.01745, -0.733676, 0.210371, -1.1413, -0.964669, -1.22662, -1.88508, -1.94272, -1.75127, -2.46661, -1.91996, -1.25894, -1.0462, -0.409773, -0.605277, -1.34298, -2.12018, -2.19911, -1.7893, -1.73103, -1.99791, -2.46543, -2.35476, -2.60145, -2.78339, -2.4861
0.1, 0.0319375, -0.117533, 0.73014, 1.4471, -0.304273, 1.168, -0.327825, 0.179924, -1.07364, -1.08125, -1.20458, -1.81433, -1.94323, -1.96658, -2.34326, -2.43367, -1.33522, -0.892984, -0.511286, -1.01465, -1.76764, -2.20311, -2.14967, -2.07221, -1.76068, -2.31695, -2.76355, -2.79156, -2.76041, -2.6408, -2.87304
0.12, 0.0319375, -0.199574, 0.453691, 0.396101, 0.0840408, 1.1027, -0.0818154, 0.0351095, -1.52905, -1.49001, -1.49869, -2.11423, -2.2049, -1.79404, -1.90912, -2.46169, -1.85637, -1.37428, -1.36247, -1.14776, -2.01332, -2.53993, -2.4737, -2.04497, -1.9214, -2.44439, -2.97719, -2.63089, -2.93792, -2.97566, -2.73715
0.14, 0.0319375, -0.485323, 0.501187, 0.889551, -0.553324, 0.314723, -0.82942, -0.374666, -1.7752, -1.51554, -2.22959, -2.96546, -2.68001, -2.55025, -2.66599, -3.16317, -2.50994, -1.64084, -1.81986, -1.01619, -1.63391, -2.40973, -2.73777, -2.33395, -2.18177, -2.41237, -2.74976, -3.11427, -2.71577, -2.50204, -2.49979
0.16, 0.0319375, -1.24738, -0.397197, 0.00723125, -1.29051, -1.28339, -1.52658, -1.41243, -2.19965, -2.65454, -2.60326, -2.74874, -3.00444, -2.73206, -2.64454, -3.30731, -2.10753, -1.45817, -1.95818, -1.63511, -2.12317, -2.74969, -2.80982, -2.69397, -2.63588, -2.77318, -2.58834, -3.06278, -2.97653, -2.69855, -2.64558
0.18, 0.0319375, -1.85684, -1.44682, -0.488856, -1.57267, -1.09537, -1.81735, -2.0196, -2.5541, -2.85651, -2.91449, -2.80479, -2.80098, -2.46718, -2.73427, -3.14103, -2.76208, -2.29778, -1.62478, -2.09802, -2.03469, -2.3909, -2.94583, -2.43719, -2.44964, -2.53434, -2.61828, -2.45508, -1.7794, -1.73134, -2.03014
