# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.873811, 2.36356, 2.44308, 2.10648, 2.16239, 1.93047, 1.71709, 2.16894, 1.91387, 2.47145, 2.4149, 2.08378, 2.27317, 1.76135, 1.75475, 1.68265, 1.05181, 1.15384, 1.0461, 0.679415, 0.418411, 0.244751, 0.512468, 1.14117, 1.6644, 1.39166, 1.25538, 1.17332, 0.796082, 0.69868
0.02, 0.0319375, -0.205764, 1.28352, 1.25904, 1.09, 1.04554, 0.973346, 1.02791, 1.13957, 1.34349, 1.66105, 2.01109, 1.8651, 1.10206, 1.07971, 1.43804, 1.24371, 1.21001, 1.16404, 1.05342, 0.759322, 0.592849, 0.595131, 0.917567, 0.854477, 1.10799, 1.57499, 0.989771, 1.33178, 0.963107, 0.533836
0.04, 0.0319375, 0.0347785, 0.0988751, 0.192784, 1.0707, 0.733749, 0.476623, 1.26555, 1.84019, 2.04166, 1.87128, 1.63718, 2.18246, 1.96051, 1.71448, 1.69103, 0.727432, 1.10496, 1.24549, 1.04107, 0.974276, 0.621082, 0.533682, 0.661532, 0.66468, 0.811003, 1.74772, 1.34399, 0.764141, 0.519884, 0.606149
0.06, 0.0319375, -0.254188, 0.949548, 1.49348, 0.970852, 1.37256, 1.55365, 1.6458, 1.93825, 2.49636, 2.1705, 1.69147, 1.44665, 1.61367, 1.43378, 1.26006, 1.42099, 1.13018, 0.991944, 0.603058, 0.519824, 0.265866, 0.363048, 0.546292, 0.473876, 0.480702, 1.55016, 0.927109, 0.288412, 0.225053, 0.403767
0.08, 0.0319375, -0.00943195, -0.0127841, 0.535741, 1.40331, 1.32999, 0.594191, 1.29638, 1.99343, 1.96763, 1.98996, 1.76346, 1.5414, 1.09133, 1.21363, 0.760042, 1.00342, 0.673999, 0.604145, 0.631105, 0.189631, -0.188032, 0.0834896, 0.183944, -0.0298083, -0.108345, 0.377626, 0.600107, -0.0675932, -0.159966, 0.0193916
0.1, 0.0319375, 0.0916639, 0.488859, 0.0503932, 0.799368, 1.23848, 0.975746, 1.10749, 1.75604, 1.45546, 1.14359, 1.09332, 0.701023, 0.979158, 0.525396, 0.603254, 0.533076, 0.276973, 0.216015, 0.32232, -0.321151, -0.927247, -0.91269, -0.272359, -0.175154, -0.506751, -0.374764, 0.346451, -0.218368, -0.537892, -0.638587
0.12, 0.0319375, -1.00505, 0.179982, 0.612275, 0.135655, -0.0186574, 0.686231, 0.934174, 0.930852, 0.599028, 0.763831, 0.823728, 0.493041, 0.323619, -0.0654485, -0.211571, -0.555106, -0.537651, -0.410699, -1.00093, -1.04667, -0.928788, -0.922528, -0.984659, -0.877495, -0.964926, -0.921504, -0.439395, -0.733128, -1.26284, -1.11009
0.14, 0.0319375, 2.75409, 3.5579, 3.4878, 2.74609, 3.0069, 2.17146, 2.77185, 1.30422, 1.09133, 0.81283, 0.685178, 0.821783, 0.607517, 0.697753, 0.534897, 0.541394, 0.54613, 0.377086, -0.0100501, 0.0166168, -0.349977, -0.487511, -0.554358, -0.826232, -0.979703, -0.753483, -0.745322, -1.01766, -0.925708, -1.10214
0.16, 0.0319375, 0.116219, 3.07339, 2.89453, 1.80212, 2.53163, 2.08785, 2.41042, 0.403818, 0.520091, 0.597118, -0.363785, -0.612545, 0.26623, -1.22614, -2.42225, -1.8384, -1.57652, -1.19372, -1.61471, -1.24222, -1.48143, -1.82252, -1.76219, -2.09714, -1.96027, -2.03914, -2.03446, -1.85556, -1.88411, -2.25155
0.18, 0.0319375, -0.253585, 2.95835, 2.59736, 1.80555, 2.25704, 2.35418, 2.25573, 0.589879, 0.376448, 0.484375, -0.116879, -0.491847, 0.362162, -1.10564, -2.02424, -2.35444, -1.53048, -1.38572, -1.58984, -1.56577, -1.59332, -2.1064, -1.98869, -2.34767, -2.40247, -2.50708, -2.31535, -2.35939, -2.31295, -2.20294
0.2, 0.0319375, -0.497482, 2.92821, 2.30031, 1.99988, 1.98551, 2.65361, 2.11938, 0.712713, 0.466655, 0.334345, -0.0538043, -0.287163, 0.0461234, -0.806867, -1.3414, -0.557418, -0.30047, -0.196891, -0.539507, -0.718404, -1.02333, -1.1469, -1.29973, -1.14444, -0.890291, -1.55431, -1.6405, -1.61752, -1.46066, -1.39356
0.22, 0.0319375, -0.641898, 2.84218, 2.10673, 2.29116, 2.0243, 2.72299, 1.98065, 1.00424, 1.11078, 0.541987, -0.274465, -0.191334, 0.671611, 0.00876047, -0.0901166, 0.444401, -0.161928, 0.383704, 0.700763, 0.828668, 0.446683, -0.400059, -0.356033, 0.0154626, -0.363812, -1.311, -1.84817, -1.94366, -1.5657, -1.43737
0.24, 0.0319375, -0.496644, 2.66915, 1.77514, 2.47717, 2.24367, 2.60732, 1.53191, 1.39244, 0.377857, -0.193305, -0.672793, -1.0822, -0.417197, 0.40888, 1.27878, -0.113844, -1.20795, -0.280396, -0.697753, 0.610787, -0.0170624, -0.67675, -0.4888, -0.220747, -0.719125, -1.27195, -1.91091, -2.12565, -2.05107, -2.2623
0.26, 0.0319375, -0.541725, 2.65952, 1.69687, 2.46242, 2.05961, 2.55441, 1.37584, 1.59789, 0.571682, -0.0142819, -0.32366, -1.06996, -0.602227, 0.358317, 1.19082, -0.494104, -1.01126, -0.337009, -1.0865, -0.241791, -0.5037, -1.2789, -1.06392, -0.57234, -0.926874, -1.71776, -2.15139, -2.13269, -2.15812, -2.22143
