# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.182977, -0.760384, -0.289539, -0.793183, -1.09039, -1.20113, -0.852965, -1.03816, -0.824429, -0.670257, -0.520273, -0.958101, -0.896603, -0.9126, -1.21971, -1.37123, -1.59597, -1.51628, -1.42518, -2.03832, -1.59255, -1.27384, -1.75562, -2.20503, -1.94175, -2.10446, -2.13411, -2.18646, -2.28472, -2.54596
0.02, 0.0319375, -1.40863, -0.963992, -1.41277, -0.96774, -0.427115, -0.878683, -1.42993, -0.830059, -0.560718, -0.605969, -1.36983, -0.926156, -1.35706, -0.486725, -0.924108, -1.09696, -1.23459, -1.45555, -1.1373, -1.75853, -1.55726, -1.35987, -1.74791, -1.50276, -1.74469, -1.89757, -2.17834, -2.26921, -2.28288, -2.51474
0.04, 0.0319375, 0.0374565, -0.539994, -0.887999, -0.666479, -0.936725, -1.33778, -1.2703, -0.963953, -0.993047, -0.862934, -1.15299, -0.588623, -0.798107, -0.630192, -0.794114, -1.03497, -1.24946, -1.11644, -1.28884, -2.0857, -1.87862, -1.59815, -1.76535, -1.98619, -1.56396, -1.74256, -2.14375, -2.24781, -2.39147, -2.25318
0.06, 0.0319375, -1.38765, -0.682388, -0.605872, -0.620979, -0.0749287, -0.483595, -1.45155, -0.904508, -1.34522, -1.27967, -1.45182, -1.27017, -0.837545, -0.458129, -0.852324, -0.604491, -0.683446, -1.10366, -1.16449, -1.7056, -1.62722, -1.47817, -1.34667, -1.45102, -1.7651, -1.76656, -1.91191, -1.93435, -2.03534, -2.185
0.08, 0.0319375, -0.932799, -1.26069, -0.741028, -1.31229, -0.335664, -0.473663, -1.05771, -1.46005, -0.945325, -0.428359, -0.478876, -0.641145, -1.16244, -0.51095, -1.16178, -0.896834, -1.28204, -1.58232, -1.29255, -1.56625, -1.3173, -1.32779, -1.53305, -2.02655, -1.99503, -2.20281, -2.13192, -2.09522, -1.87459, -1.96006
0.1, 0.0319375, -0.619253, -0.699131, -1.06514, -0.714821, -0.248997, -0.372892, -0.310209, -0.584628, -0.634127, -0.655949, -1.23126, -0.969348, -1.26516, -1.20887, -1.47893, -0.658399, -1.27062, -1.25966, -1.14264, -1.40031, -1.54629, -1.68366, -1.69717, -1.99981, -2.01684, -2.17086, -1.88719, -2.02968, -2.15371, -2.47662
0.12, 0.0319375, -0.317804, -0.403629, -0.568715, -0.455837, -0.99046, -0.697841, -0.886945, -1.01781, -0.871808, -1.50902, -1.71075, -1.31005, -1.00529, -0.74525, -1.37806, -1.37283, -1.58196, -1.5824, -1.60884, -1.80835, -1.9038, -1.70282, -1.77736, -2.03653, -1.9794, -1.99047, -2.19067, -2.30509, -2.5479, -2.70625
0.14, 0.0319375, -1.78586, -1.37956, -1.49308, -1.51566, -1.23239, -1.66665, -0.824847, -1.3628, -0.863887, -0.70232, -1.08707, -1.40954, -1.25723, -0.873933, -1.53498, -1.83322, -1.40083, -1.49035, -1.79033, -1.85381, -1.88484, -2.20637, -2.08657, -1.95234, -2.4715, -2.05943, -2.2759, -2.72747, -2.68102, -2.36464
0.16, 0.0319375, -1.69463, -1.01622, -0.932663, -0.743178, -0.857908, -0.524373, -0.821934, -0.756165, -0.51233, -0.362359, -1.27273, -1.59249, -1.03794, -1.40231, -1.73724, -1.75075, -1.52195, -2.05887, -2.04038, -2.16657, -1.70015, -2.25595, -2.26005, -2.21224, -2.01401, -2.10354, -2.03341, -2.27034, -2.57784, -2.71931
0.18, 0.0319375, -0.691526, -0.992514, -1.27197, -0.981158, -0.861439, -0.60487, -0.885059, -0.986761, -0.965599, -0.517702, -1.03857, -0.982586, -0.939384, -0.987161, -1.46, -1.54318, -1.46274, -1.46742, -2.05261, -1.94597, -1.85634, -1.94099, -1.97161, -2.23732, -2.02811, -2.23239, -2.33979, -2.34241, -2.39625, -2.45336
0.2, 0.0319375, -1.35109, -1.08277, -0.823086, -0.849678, -0.706352, -0.61999, -0.870941, -0.935632, -1.10005, -1.06007, -1.42734, -1.22399, -1.3273, -1.35395, -1.50049, -1.66383, -1.99431, -1.86853, -1.79048, -2.20709, -2.52672, -2.13581, -2.1009, -2.0563, -2.52945, -1.95048, -2.37089, -2.54524, -2.51933, -2.88428
0.22, 0.0319375, -0.856463, -0.593839, -1.28635, -1.01558, -1.34509, -1.02128, -0.973511, -0.79475, -0.461951, -1.10339, -1.25738, -1.18588, -1.42139, -1.63254, -1.33449, -1.40414, -1.666, -1.82194, -1.9975, -2.07301, -2.01644, -2.05899, -2.19168, -2.42142, -2.36022, -2.27832, -2.43262, -2.28229, -2.42812, -2.50683
0.24, 0.0319375, -1.55834, -1.06954, -1.52892, -1.56411, -1.53257, -0.983855, -0.896797, -0.392219, -1.18515, -1.01614, -1.7691, -1.17797, -1.46421, -1.26619, -1.79748, -1.9475, -1.58982, -1.85896, -1.9659, -1.68737, -2.23141, -1.94713, -2.26554, -2.32189, -2.1726, -2.10081, -2.40315, -2.38924, -2.50432, -2.65681
0.26, 0.0319375, -1.03886, -1.07568, -0.681307, -0.575812, -0.354911, -1.0524, -0.884652, -0.883332, -1.38308, -1.24045, -1.22451, -1.65191, -1.62933, -1.07031, -1.79206, -1.51352, -1.24052, -1.46314, -1.62688, -2.03813, -1.98236, -1.85762, -2.26926, -2.27117, -2.59915, -2.16992, -2.52205, -2.79196, -2.71635, -2.66764
0.28, 0.0319375, -0.912686, -0.786637, -1.21341, -1.15718, -0.803262, -1.36167, -0.656383, -1.14154, -1.41658, -0.81423, -1.64092, -1.84196, -1.14932, -1.55199, -1.71808, -1.87199, -2.50378, -2.32133, -2.2247, -2.10939, -2.38942, -2.15932, -2.49897, -2.2921, -2.11181, -2.45677, -2.73612, -2.60547, -2.51394, -2.53964
0.3, 0.0319375, -0.796049, -1.20082, -0.876264, -0.632155, -0.692081, -1.30865, -1.26439, -1.18471, -1.34253, -1.65315, -0.898034, -1.09139, -1.25367, -1.52507, -1.56758, -1.16412, -1.61087, -1.63199, -2.17979, -2.14491, -2.05619, -2.08737, -2.00316, -2.40003, -2.26669, -2.2043, -2.48617, -2.43265, -2.54715, -2.78754
0.32, 0.0319375, -1.02092, -1.46617, -1.1274, -0.99681, -2.36858, -1.59347, -1.58974, -1.4417, -0.823971, -0.768973, -0.915524, -1.1855, -1.23974, -1.433, -1.90589, -1.75747, -1.88117, -2.18071, -2.0102, -1.9159, -1.91962, -2.34244, -2.3011, -2.33297, -2.22259, -2.23815, -2.66556, -2.64662, -2.71135, -2.92725
0.34, 0.0319375, -1.19375, -1.42844, -0.79634, -0.447632, -1.89752, -1.6063, -1.47255, -1.38785, -0.910598, -0.994714, -1.7367, -1.97828, -1.642, -1.65681, -2.18224, -1.85187, -1.76674, -1.77587, -2.05648, -2.0594, -1.96915, -1.90204, -2.00461, -2.29702, -2.38277, -2.51171, -2.57546, -2.47563, -2.69702, -2.54938
0.36, 0.0319375, -0.714831, -0.631821, -0.602033, -0.27266, -1.2773, -1.04085, -1.25069, -1.27043, -1.07658, -1.44636, -1.22983, -0.836168, -1.32687, -1.38976, -1.65176, -1.98211, -1.59533, -1.30129, -1.9045, -1.96309, -1.79676, -2.11997, -2.4125, -2.13284, -2.20335, -1.99768, -2.27305, -2.46626, -2.8754, -2.80302
0.38, 0.0319375, -0.781181, -0.240736, -0.455887, -0.365085, -1.0202, -1.59532, -1.98056, -1.19501, -1.74585, -0.788642, -1.35903, -1.65499, -1.06531, -2.02934, -1.49592, -1.70957, -1.70637, -2.11149, -1.65743, -1.8087, -1.85681, -1.9539, -1.75855, -2.05694, -2.15108, -2.28943, -2.29119, -2.59348, -2.68816, -2.67785
0.4, 0.0319375, -0.345053, -0.619074, -1.22481, -0.380217, -0.912811, -0.852392, -1.07729, -0.663646, -1.47857, -1.35466, -1.01318, -1.35348, -1.50853, -1.41199, -1.72823, -1.58701, -1.79192, -1.79088, -1.67287, -1.95133, -2.27327, -2.00889, -2.01241, -2.35113, -2.53155, -2.59728, -2.4288, -2.58969, -2.74752, -2.38449
0.42, 0.0319375, -1.2625, -1.72569, -1.48687, -1.05653, -1.12105, -1.29614, -1.70521, -0.878216, -1.39328, -1.50653, -1.17923, -1.3342, -1.2823, -1.24732, -1.79552, -1.58136, -1.56548, -1.68701, -2.07181, -1.85418, -1.81724, -1.99983, -2.27729, -2.14351, -2.19923, -2.37777, -2.50273, -2.75579, -2.59576, -2.65764
0.44, 0.0319375, -0.796343, -2.18639, -1.54762, -0.80711, -1.09085, -1.50354, -1.27564, -1.45187, -1.37664, -1.32349, -1.68845, -1.60842, -1.47895, -1.57464, -1.9707, -1.38082, -1.80433, -1.79032, -1.52823, -2.0593, -2.14236, -1.89603, -2.06901, -2.26509, -2.71955, -2.62636, -2.58156, -2.46411, -2.56734, -2.47766
0.46, 0.0319375, -0.711053, -0.834685, -0.582262, -0.785772, -1.53025, -1.57423, -1.27131, -1.14625, -1.40295, -1.35554, -1.90352, -1.22177, -1.10447, -1.77894, -1.40961, -1.65796, -1.83998, -1.69381, -1.69371, -2.01056, -1.90137, -2.69654, -2.44772, -2.222, -1.87915, -1.90668, -2.6098, -2.85176, -2.54456, -2.52606
0.48, 0.0319375, -0.941705, -0.984305, -0.867545, -0.699521, -1.04407, -1.24541, -1.33467, -0.909054, -1.10562, -1.66191, -1.30983, -1.25337, -1.4393, -1.34219, -1.40191, -1.55263, -1.61646, -1.79823, -1.7078, -2.0291, -1.92553, -1.94302, -2.2502, -2.05681, -2.00528, -1.99867, -2.2285, -2.377, -2.32602, -2.72399
0.5, 0.0319375, -0.999499, -0.676777, -1.50026, -0.962664, -0.807409, -0.560319, -1.34828, -1.61462, -0.97748, -0.576905, -1.38379, -1.22284, -1.6911, -1.63888, -1.49026, -1.53946, -1.67191, -1.56982, -2.06396, -1.85799, -2.12858, -2.18607, -2.36708, -2.01238, -1.92368, -2.64319, -2.20157, -2.33014, -2.78385, -2.58502
0.52, 0.0319375, -2.07987, -0.620055, -1.1782, -1.86646, -0.833062, -1.04041, -1.68108, -1.04339, -1.33626, -1.23237, -0.998816, -1.11385, -1.32009, -1.24816, -1.52446, -2.01768, -2.00268, -2.07441, -2.14733, -2.03798, -2.22487, -2.41799, -2.21142, -2.32126, -2.12018, -2.48643, -2.28854, -2.6959, -2.72949, -2.74263
0.54, 0.0319375, -0.926031, -1.54548, -1.25081, -1.35343, -1.26475, -0.612546, -1.21886, -1.20774, -0.928479, -1.4126, -1.24463, -1.29294, -1.1098, -0.90252, -1.43434, -1.29116, -1.57261, -2.21876, -2.58631, -1.90552, -1.87875, -2.35451, -2.13414, -2.02952, -2.13416, -2.18403, -2.53298, -2.50354, -2.5724, -2.71435
0.56, 0.0319375, -0.986943, -0.5335, -0.718165, -1.37906, -1.06955, -0.710095, -1.15191, -1.00331, -0.888501, -0.572967, -1.03616, -0.92088, -1.04587, -1.67806, -1.55475, -1.38237, -1.80856, -1.6914, -1.83646, -2.03547, -1.77343, -2.37023, -2.4036, -2.28933, -2.19426, -2.25388, -2.28228, -2.5563, -2.46835, -2.93311
0.58, 0.0319375, -1.43706, -1.41368, -1.57041, -0.164809, -0.111818, -1.18612, -1.02166, -1.07382, -1.32622, -1.49919, -2.05568, -1.14748, -0.893459, -1.17174, -1.01579, -1.23204, -1.62291, -1.70943, -2.18949, -2.0752, -2.327, -2.44137, -2.31274, -2.21573, -2.0442, -2.0711, -2.28699, -2.5674, -2.4729, -2.81645
0.6, 0.0319375, -2.30041, -1.75306, -2.38446, -0.464593, -0.405899, -0.950757, -0.957145, -0.837673, -1.13072, -1.42071, -1.27974, -0.831058, -1.02989, -0.847702, -1.55405, -1.65777, -1.71905, -2.06873, -2.49987, -2.22131, -1.93012, -1.87732, -2.10488, -2.16724, -2.26028, -2.2071, -2.49534, -2.87373, -2.59609, -2.73432
0.62, 0.0319375, -1.08915, -1.64151, -1.60017, -0.954828, -0.618194, -1.32905, -1.60546, -0.99517, -1.33284, -1.71346, -1.47934, -0.935453, -0.951614, -1.87329, -1.21865, -1.51466, -1.57169, -1.70042, -2.26906, -2.36792, -2.30097, -2.18435, -2.10433, -2.32247, -2.22011, -2.25914, -2.44535, -2.57001, -2.63893, -2.70522
0.64, 0.0319375, -1.63909, -0.986183, -0.838415, -1.06384, -0.475024, -0.874801, -1.3436, -0.735017, -1.34162, -1.40078, -1.02748, -0.713195, -1.06251, -1.15105, -1.29165, -1.45709, -1.56951, -1.46882, -1.56998, -1.92164, -2.28554, -2.55694, -2.16782, -2.26694, -2.20422, -2.46558, -2.50449, -2.5372, -2.59348, -2.50589
0.66, 0.0319375, -1.07429, -1.02415, -0.92582, -1.14085, -0.959608, -1.47819, -1.96036, -1.01469, -0.874033, -0.704308, -1.84269, -1.18027, -1.02509, -1.52967, -1.06321, -1.44023, -1.95621, -2.10877, -2.02641, -2.40314, -2.49283, -2.02535, -2.00233, -2.27172, -2.09879, -2.32855, -2.68545, -2.65081, -2.69078, -2.56166
0.68, 0.0319375, -0.929382, -0.859466, -1.14444, -0.811239, -0.705554, -1.24053, -1.36895, -1.31296, -0.969037, -0.804026, -1.11175, -1.49336, -1.18395, -1.32445, -2.01216, -1.5904, -2.26443, -2.23078, -2.2155, -2.54032, -2.38275, -1.96579, -2.19673, -2.31394, -2.41853, -2.41563, -2.44545, -2.74847, -2.79539, -2.72629
0.7, 0.0319375, -1.14801, -1.26508, -1.01419, -0.805286, -0.365658, -1.25829, -1.36198, -1.43686, -1.73148, -1.30702, -1.69002, -1.4228, -1.10756, -1.58204, -1.67046, -1.60696, -1.63938, -1.54742, -2.33766, -2.35185, -2.21194, -2.80855, -2.48901, -3.00211, -2.80893, -2.74972, -2.67378, -2.57705, -2.86462, -2.72735
0.72, 0.0319375, -1.73399, -1.07007, -0.901389, -1.35266, -1.27859, -1.38071, -1.88888, -1.3973, -1.63557, -1.58768, -1.64385, -1.26521, -1.04987, -1.12189, -1.64693, -1.68864, -1.61982, -1.90279, -2.18882, -2.16512, -2.02584, -2.20696, -2.73156, -2.53053, -2.19295, -2.70577, -2.48855, -2.48214, -2.62968, -2.7981
0.74, 0.0319375, -1.00493, -1.2475, -1.51876, -1.16505, -0.906132, -1.59843, -1.34672, -1.52612, -0.904604, -1.11516, -2.58047, -1.69822, -1.5866, -1.47852, -1.6412, -1.78231, -1.58738, -1.59786, -1.75628, -2.50927, -2.20447, -2.06442, -2.33387, -2.47285, -2.21781, -2.30182, -2.52327, -2.42845, -2.54065, -2.36558
0.76, 0.0319375, -1.42343, -1.9388, -1.69302, -1.21263, -1.59412, -1.52026, -2.03893, -1.1845, -0.87001, -1.08814, -1.37679, -1.64394, -1.60438, -1.55616, -1.91854, -1.38746, -1.43948, -1.44206, -2.03346, -1.96362, -2.2651, -2.3035, -2.01035, -2.50017, -2.55417, -2.43733, -2.15707, -2.32102, -2.43159, -2.72956
