# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.666112, 2.4811, 2.68796, 1.87965, 2.4008, 2.77685, 3.03848, 1.87558, 2.2336, 2.69296, 2.93091, 2.89702, 3.24361, 3.00578, 2.95877, 3.25739, 2.73663, 3.23093, 3.19953, 3.53605, 3.27758, 3.02634, 2.65182, 2.55491, 3.09241, 2.81624, 2.8053, 2.86583, 2.72934, 2.52335
0.02, 0.0319375, 1.3742, 2.99245, 2.80864, 1.59335, 1.98796, 2.97243, 3.32411, 1.55346, 1.97256, 2.69556, 2.57885, 2.12087, 3.22336, 2.85049, 3.57933, 3.6313, 2.99147, 3.13753, 3.23578, 3.29348, 3.40202, 2.90196, 2.84726, 3.07345, 2.95939, 2.75736, 2.60943, 2.75826, 2.68327, 2.53918
0.04, 0.0319375, 0.871418, 2.50855, 2.94329, 2.09628, 2.10425, 2.59341, 2.81871, 2.52403, 2.72425, 2.99292, 2.39204, 2.34313, 2.52095, 2.98995, 2.96588, 3.51359, 3.06844, 3.39508, 3.40814, 3.25905, 3.13964, 2.92197, 2.84109, 3.02566, 2.91403, 2.69062, 2.84976, 2.62899, 2.63243, 2.59378
0.06, 0.0319375, 1.26227, 1.79036, 2.59333, 2.35589, 2.27943, 3.37075, 2.5942, 1.99096, 2.53798, 2.84812, 2.38066, 2.2506, 2.5418, 2.93589, 3.26701, 3.01839, 3.14131, 3.92975, 3.65721, 2.83037, 2.79967, 2.75843, 2.56711, 3.1836, 2.88219, 2.87302, 2.90299, 2.78326, 2.72528, 2.56551
0.08, 0.0319375, 1.31992, 2.81498, 2.56437, 2.44158, 1.57609, 2.54419, 2.87604, 2.48948, 2.04128, 2.21343, 2.69893, 2.30479, 2.82368, 2.67747, 2.57234, 3.04165, 2.90894, 3.40303, 3.32001, 2.97552, 3.05877, 2.93296, 2.9888, 3.2457, 3.08111, 3.05466, 2.95706, 2.74343, 2.53449, 2.54097
0.1, 0.0319375, 1.70881, 1.8716, 2.42426, 2.34806, 1.21425, 3.31032, 2.7209, 2.24185, 2.87858, 2.49477, 2.54057, 3.53675, 2.76275, 3.14906, 2.96216, 2.95805, 3.0471, 3.34592, 2.68885, 3.37617, 3.16631, 2.70243, 2.62461, 3.02736, 2.7996, 2.55721, 2.69012, 2.52405, 2.53469, 2.48459
0.12, 0.0319375, 1.26406, 3.17481, 2.86993, 1.66345, 2.41211, 3.26366, 2.14762, 1.82168, 2.75994, 2.59766, 3.09166, 3.7208, 2.92733, 3.44796, 2.92003, 3.34663, 3.1505, 3.38911, 3.17175, 3.46322, 3.015, 2.98871, 2.88852, 3.09772, 2.84673, 2.81605, 2.44225, 2.60739, 2.65903, 2.47312
0.14, 0.0319375, 0.611863, 3.29529, 2.63626, 1.48899, 2.20722, 4.19444, 2.96248, 1.82501, 2.8205, 2.3228, 3.27149, 3.58308, 2.31617, 2.89071, 2.32593, 2.74163, 2.75235, 2.99557, 2.60686, 2.82308, 2.84486, 2.3896, 2.30995, 2.71864, 2.62587, 2.36599, 2.11844, 2.39391, 2.10419, 2.36658
0.16, 0.0319375, 0.334128, 3.32726, 2.60848, 1.58221, 2.398, 4.30185, 2.86913, 1.86973, 2.77339, 2.38451, 2.46035, 3.19123, 2.37082, 2.59725, 2.43249, 2.38681, 3.06245, 3.05952, 2.57126, 2.90987, 2.83328, 2.47438, 2.26485, 2.6945, 2.47922, 2.34388, 2.23226, 2.3323, 2.34753, 2.17858
0.18, 0.0319375, 0.532593, 3.61461, 2.93255, 1.18931, 1.45427, 3.50305, 2.38153, 2.04074, 3.06028, 2.33722, 2.11356, 2.46781, 2.03116, 2.83523, 2.54793, 2.82421, 2.83902, 2.80851, 2.20775, 2.389, 2.61965, 2.23191, 2.21131, 2.54338, 2.52098, 2.30948, 2.03311, 2.40058, 2.33162, 2.21664
0.2, 0.0319375, 0.831067, 3.73149, 2.63853, 0.25545, 1.74681, 3.78061, 2.57208, 2.08601, 2.55926, 2.16798, 2.49226, 2.40595, 2.61467, 3.00805, 2.58133, 2.61866, 3.04613, 3.19022, 2.67023, 3.34943, 2.88484, 2.26402, 2.28323, 2.54123, 2.23403, 2.19631, 2.14309, 2.56695, 2.09569, 2.31204
