# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.309841, -0.0133251, 0.626879, 1.38972, 2.82424, 0.969145, 1.31433, 0.536266, 1.10731, 1.93355, 0.684493, 1.0591, 0.900182, 0.556947, 0.412978, 0.0535443, 0.192435, 0.401649, 0.375905, 0.155158, -0.188172, -0.527724, -0.563376, -0.488933, -0.263054, -0.185868, -0.091489, -0.941896, -0.435555, -0.119195
0.02, 0.0319375, 0.54322, 0.425763, 0.484222, 1.38515, 2.92222, 1.19442, 0.729527, 0.73446, 1.09484, 1.9564, 0.834293, 0.641914, 0.637529, 0.932858, 0.766882, 0.254401, -0.0587248, 0.31137, 0.356481, -0.237213, -0.613722, -0.798147, -0.988037, -0.808495, -0.825573, -0.409204, -0.252866, -0.638562, -0.623063, -0.438056
0.04, 0.0319375, 0.584199, 0.775778, -0.16074, 1.3717, 2.89748, 1.15219, 1.19571, 0.679384, 0.702719, 1.93297, 1.05043, 0.892343, 0.72175, 0.685684, 0.576972, 0.693697, 0.271737, 0.294504, -0.147527, -0.223705, -0.565368, -0.644132, -0.929666, -0.498416, -0.789482, -0.2838, -0.235492, -0.701329, -0.718917, -0.406632
0.06, 0.0319375, 0.459009, 0.540274, 0.698552, 1.42684, 2.87945, 1.62448, 1.35527, 1.10085, 1.21659, 1.85157, 0.87851, 0.543392, 1.01437, 0.989085, 0.301468, 0.693145, 0.184642, 0.319876, 0.117608, -0.256705, -0.51758, -0.636536, -0.806494, -0.74065, -0.387853, -0.125221, 0.108083, -0.411311, -0.517495, 0.120328
0.08, 0.0319375, 0.535523, 0.890869, 0.158065, 1.55297, 2.81346, 0.471495, 0.927312, 1.28907, 1.35547, 1.96174, 0.764083, 0.157124, 0.57228, 0.91986, -0.2853, -0.474822, -0.201006, -0.0492842, -0.31912, -0.482824, -0.465132, -1.01512, -0.804408, -0.770499, -0.303543, -0.0623221, -0.169012, -0.555618, -0.580273, -0.1824
0.1, 0.0319375, 0.213867, -0.161394, 0.590117, 1.55706, 2.9752, 1.49561, 1.25577, 0.995729, 1.1191, 1.97172, 0.783701, 0.585412, 0.730263, 1.0818, 0.580662, 0.0690748, 0.0407038, -0.00375067, -0.12124, -0.272844, -0.579708, -1.10709, -0.485052, -0.27832, -0.262851, -0.25145, -0.238085, -0.537018, -0.107611, -0.164111
0.12, 0.0319375, -0.461378, -0.391422, -0.0955623, 1.59907, 3.00513, 1.26843, 1.12982, 1.48298, 1.41191, 1.94736, 0.608197, 0.911319, 0.543417, 0.920977, 0.467216, 0.82218, 0.0185318, 0.353702, -0.280683, -0.156007, -0.658735, -0.97073, -0.477826, -0.795565, -0.461058, 0.0581212, 0.0951048, -0.819483, -0.610638, -0.23958
0.14, 0.0319375, 0.0182738, 0.528933, 0.169627, 1.54549, 3.0029, 1.54528, 0.707797, 1.02493, 1.00658, 1.84269, 0.779806, 0.690768, 0.231712, 0.51438, 0.492876, 0.379588, -0.17354, 0.533112, -0.123509, -0.28468, -0.709252, -1.17438, -0.377575, -0.500855, -1.08658, -0.297729, -0.256583, -0.651514, -0.474547, -0.335569
0.16, 0.0319375, 0.246129, 0.402182, 0.098808, 1.41517, 2.84995, 0.619314, 0.976689, 1.3054, 1.32989, 1.85516, 0.771375, 0.592441, 0.573524, 0.925623, 0.140518, 0.167159, 0.174313, 0.29616, -0.264485, -0.22745, -0.214909, -0.546396, -0.515198, -0.639213, -0.52355, -0.145286, -0.235525, -0.388593, -0.705955, -0.368384
0.18, 0.0319375, -0.754138, 0.309257, 0.612128, 1.292, 2.75378, 1.42034, 1.59637, 1.13233, 1.21067, 2.15697, 0.729264, 0.586801, 0.255075, 0.773809, 0.73555, -0.0195793, -0.328222, 0.362169, -0.470862, -0.607309, -0.784821, -0.643869, -0.759984, -0.469956, -0.728305, 0.0288693, 0.0924846, -0.980135, -0.594683, -0.383086
