# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.32157, -8.05905, -7.37443, -7.58034, -7.6832, -7.12952, -7.80172, -7.50117, -7.29903, -7.03767, -7.51884, -6.97828, -6.97122, -6.58535, -6.97634, -6.69233, -7.17516, -6.58843, -6.52622, -6.66236, -6.41743, -6.37213, -6.39865, -6.25582, -6.21258, -6.2253, -5.92213, -6.29811, -5.71044, -5.90608
0.02, 0.0319375, -7.2542, -6.90984, -7.27663, -7.8781, -7.20946, -7.3825, -7.18363, -7.43895, -7.73602, -7.78906, -7.36979, -6.85269, -7.03265, -6.71358, -6.68957, -6.68747, -6.65396, -6.80492, -6.64912, -6.86178, -6.18591, -6.03314, -6.13382, -6.22978, -5.91729, -5.734, -6.09163, -6.0788, -5.78784, -5.9224
0.04, 0.0319375, -7.66276, -7.85135, -8.02642, -7.83543, -7.22597, -7.68151, -7.4853, -7.49556, -6.93944, -7.12694, -7.45158, -6.75213, -6.90319, -7.32417, -6.93283, -7.21983, -6.69896, -6.54627, -6.16927, -6.30888, -6.18398, -6.18332, -6.02986, -6.69173, -6.03558, -6.03742, -6.09988, -6.04551, -5.95576, -5.72558
0.06, 0.0319375, -8.02184, -7.77204, -7.6181, -8.05905, -8.05905, -8.05291, -7.77859, -7.64949, -7.12665, -7.19229, -7.44263, -7.32749, -6.90817, -6.59309, -7.0005, -7.28479, -6.6338, -6.75082, -6.44351, -6.59016, -6.90561, -6.47016, -6.23916, -6.11142, -6.3045, -6.06656, -6.23753, -6.10649, -6.12192, -5.6482
0.08, 0.0319375, -7.74482, -7.74806, -8.05905, -7.59557, -7.06205, -7.36292, -7.21712, -7.37167, -7.60648, -7.32603, -7.50641, -7.45743, -6.8641, -7.3812, -7.10433, -6.50445, -6.4577, -6.716, -6.35256, -6.44248, -6.5403, -6.57031, -6.25416, -6.20323, -5.95813, -6.03261, -5.97978, -5.88884, -5.83535, -5.78684
0.1, 0.0319375, -7.81547, -7.59362, -8.05905, -7.93465, -7.7414, -8.00848, -7.41211, -7.56488, -7.49158, -7.11733, -7.02757, -7.15693, -7.07907, -7.20678, -7.02561, -6.40574, -6.72654, -6.81813, -6.59029, -6.29737, -6.54922, -6.17686, -6.25769, -6.13377, -6.01058, -6.05184, -6.04796, -5.92498, -5.91298, -6.06923
0.12, 0.0319375, -7.45738, -7.80743, -7.81814, -7.70493, -8.05905, -7.07344, -7.14653, -7.22512, -6.93962, -7.23906, -7.29781, -7.246, -7.20996, -6.6412, -6.7333, -7.28864, -7.23667, -6.71388, -6.66251, -6.48336, -6.09645, -6.2652, -6.35182, -5.95687, -5.98057, -6.14895, -5.84738, -6.02157, -5.97511, -5.89092
0.14, 0.0319375, -8.01978, -7.84947, -7.96208, -8.05905, -7.92904, -8.05905, -7.81937, -7.64645, -7.35272, -6.71989, -7.42251, -6.61251, -6.77697, -7.13402, -6.98561, -6.80014, -6.36769, -6.68763, -6.3319, -6.36159, -5.97493, -6.30326, -6.13094, -6.34295, -6.1395, -6.18015, -6.03422, -5.97555, -5.97724, -5.73682
0.16, 0.0319375, -7.70884, -7.21467, -7.11819, -7.43374, -7.27522, -7.75776, -8.05905, -7.99323, -7.22205, -6.68171, -6.77284, -6.67422, -6.85384, -7.32394, -7.14484, -6.82842, -6.96107, -7.00456, -6.67281, -6.46969, -6.16388, -6.05408, -6.31891, -6.2281, -5.87462, -6.27984, -6.05005, -5.92907, -5.69094, -6.00095
0.18, 0.0319375, -7.85796, -7.94606, -7.18471, -7.61635, -7.97761, -7.27499, -7.83796, -7.30956, -7.58696, -7.06968, -7.56017, -7.55073, -7.04727, -7.13616, -6.73277, -6.79879, -6.82195, -6.78327, -6.84931, -6.62648, -6.16625, -6.33885, -6.29544, -6.39144, -6.2014, -6.23905, -6.03928, -6.05581, -5.9059, -6.12439
0.2, 0.0319375, -7.59596, -7.38615, -8.05905, -7.23746, -7.39767, -8.05905, -7.99789, -6.71515, -7.29802, -6.95223, -7.02399, -7.25457, -7.02075, -6.76443, -6.882, -6.88793, -6.47121, -6.49553, -7.02829, -6.76868, -6.61515, -6.49673, -6.35367, -6.069, -6.1472, -6.28952, -6.09959, -6.40869, -6.2002, -5.92498
0.22, 0.0319375, -8.05905, -7.49289, -7.25388, -7.20804, -7.15471, -7.52806, -7.77881, -7.35365, -7.45829, -7.18196, -7.73526, -8.04334, -7.06928, -6.67842, -6.87401, -6.82886, -7.17426, -6.48519, -6.6337, -6.58618, -6.2672, -6.46619, -6.151, -6.51589, -6.32114, -5.84375, -5.98368, -5.9095, -5.80643, -5.87438
0.24, 0.0319375, -8.05905, -7.76819, -7.49018, -7.83363, -6.9761, -7.53119, -8.05905, -7.56705, -7.74615, -7.86745, -7.37592, -7.4778, -6.79627, -6.5817, -7.16975, -7.08061, -6.97214, -7.30807, -6.4858, -6.6667, -6.37188, -6.19309, -6.19996, -6.39243, -6.08959, -6.0725, -6.0206, -5.9738, -5.59876, -5.84912
