# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -6.90696, -7.09339, -6.52114, -6.62078, -7.11327, -6.68979, -6.52874, -5.70549, -5.90459, -5.12884, -5.57845, -5.50855, -5.0853, -5.00126, -5.51236, -5.49703, -4.69401, -4.44493, -4.73384, -5.19061, -5.52426, -5.46592, -5.49983, -5.26761, -4.74148, -4.91883, -4.87151, -4.50383, -4.89868, -5.04893
0.02, 0.0319375, -4.08584, -3.82798, -4.32176, -4.05082, -2.88137, -2.73637, -2.61629, -2.40432, -2.46606, -2.38834, -2.66961, -2.60646, -2.5545, -2.48791, -2.85331, -2.68825, -2.62127, -2.18402, -2.64803, -2.86456, -2.93255, -2.68628, -2.79368, -2.7996, -2.76233, -2.77914, -3.02646, -2.44232, -2.52776, -2.73823
0.04, 0.0319375, -2.59405, -2.40004, -2.6575, -2.02427, -1.48092, -1.45625, -1.69715, -2.22712, -1.73411, -1.32484, -1.87498, -2.64475, -2.18164, -2.15666, -2.21447, -2.14325, -1.64846, -1.10344, -1.42664, -2.06726, -1.8196, -1.77092, -1.81277, -2.11691, -1.86515, -2.05352, -1.69046, -1.69253, -1.46914, -1.95217
0.06, 0.0319375, -2.15532, -2.38351, -2.19853, -1.77404, -1.14575, -1.68313, -1.34763, -1.31252, -1.19569, -0.921564, -1.02507, -1.23225, -1.74932, -1.63298, -1.8496, -1.25689, -1.10965, -0.662426, -1.04747, -1.76154, -0.95717, -1.10773, -1.02087, -1.47379, -1.29289, -1.52497, -1.29948, -1.07957, -0.906493, -1.33744
0.08, 0.0319375, -1.67611, -1.51404, -1.88801, -1.45513, -1.17479, -1.6558, -1.29993, -1.00428, -1.20823, -1.04637, -1.75967, -1.61842, -1.39847, -1.59927, -1.90616, -1.54119, -0.902794, -0.411672, -0.724243, -1.13427, -0.93239, -1.06615, -0.991886, -1.28068, -0.872542, -0.900225, -1.08566, -0.823938, -0.581853, -1.25448
0.1, 0.0319375, -2.08338, -1.00564, -1.16129, -1.43299, -1.10377, -0.948253, -0.944181, -0.575792, -0.388403, -0.855553, -0.922079, -0.807644, -0.97397, -0.74686, -0.72347, -1.07393, -0.793034, -0.100273, -0.460854, -0.95138, -0.831067, -0.932416, -0.591163, -0.557644, -0.482951, -0.596899, -0.838349, -0.406717, -0.389266, -1.04996
0.12, 0.0319375, -2.1753, -0.71074, -1.65983, -1.23241, -0.527181, -0.675134, -0.824591, -0.438216, -0.317879, -0.235577, -0.42967, -0.755254, -0.341858, -0.15729, -0.285732, -0.306304, -0.485854, 0.121526, -0.464181, -0.581734, -0.801768, -0.567461, -0.525815, -0.92087, -0.347339, -0.327839, -0.297934, -0.0164191, -0.11648, -0.412778
0.14, 0.0319375, -2.06757, -1.40719, -0.837279, -0.917319, -0.213707, -1.07971, -0.992495, -0.412639, 0.0318116, 0.130139, -0.0938041, -0.801359, -0.473916, -0.241588, -0.294725, -0.0144512, 0.0706344, -0.0598465, -0.106316, -0.0649912, -0.585127, -0.499223, 0.197873, -0.198556, 0.0582785, -0.388246, -0.176983, 0.111989, -0.0443306, -0.123531
0.16, 0.0319375, -0.90995, -1.2013, -0.852446, -1.04139, -0.457039, -0.282679, -0.0684524, -0.0716398, -0.294283, -1.01635, -0.797004, -0.336242, 0.0439738, -0.47255, -1.04031, -0.0074646, -0.254835, 0.122394, 0.0848196, -0.6328, -0.395961, 0.0139817, 0.018004, -0.189338, -0.0170078, -0.0158253, -0.0783259, 0.364481, 0.367522, -0.0698481
0.18, 0.0319375, -1.15742, -0.9188, -1.29962, -1.77729, 0.000642927, -0.325395, 0.159509, 0.0460327, 0.214772, 0.149193, -0.0926553, 0.11753, 0.12646, -0.282713, -0.318077, -0.118088, 0.0910607, 0.559144, 0.304936, -0.398666, -0.416106, -0.0817018, 0.330573, 0.151784, -0.0462617, 0.0413106, 0.123504, 0.513258, 0.527364, 0.0516927
