# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.788095, 0.154153, 0.917916, 0.845536, 0.550173, 0.657596, 0.829243, 0.753873, 0.589604, -0.020474, -0.78588, -0.642852, -0.949841, -0.781426, -0.392861, -0.508943, -1.2056, -0.45436, 0.206835, 0.0439848, 0.236801, 0.342444, 0.905629, 0.850614, 1.30802, 1.5736, 1.32661, 1.60068, 1.56016, 1.30866
0.02, 0.0319375, -0.425718, -0.126968, -0.229029, 0.452732, 0.681965, 0.41084, -0.381592, -0.401646, 0.656795, 0.261658, -1.26167, -1.1078, -0.954109, -0.63119, -0.545942, -0.420188, -1.12617, -0.545591, -0.198742, -0.0471647, 0.263711, 0.695862, 0.628373, 1.21891, 1.21289, 1.75487, 1.42785, 1.26991, 1.06372, 1.32973
0.04, 0.0319375, -0.679516, -0.335369, 0.0945342, -0.587231, 0.40227, 0.644762, 0.380603, 0.31799, 0.732702, 0.479626, -0.268659, -0.606562, -0.540354, -0.991287, -0.0957749, -0.933427, -0.716828, -0.480741, -0.221697, 0.101945, 0.422491, 0.822049, 0.917393, 0.973796, 1.34635, 1.63432, 1.18665, 1.33439, 1.26763, 1.37792
0.06, 0.0319375, -1.05329, -0.266308, -0.0266338, 0.200778, 0.416976, 0.253729, 0.29068, 0.300351, 0.555363, 0.357419, -1.02255, -0.426447, -0.427559, -0.272983, -0.534339, -0.721093, -0.693374, -0.241437, 0.0249012, 0.299874, 0.653168, 0.800668, 0.654838, 1.07275, 1.09915, 1.14453, 1.47061, 1.53365, 1.36145, 1.82469
0.08, 0.0319375, -0.36618, -0.830472, -0.245049, 0.493865, 1.23268, 0.599539, -0.347364, 0.556661, 0.74423, 0.244482, -0.134975, 0.0515988, -0.668221, -0.488877, -0.335669, -0.632017, -0.46609, -0.481633, 0.23876, 0.537905, 0.819738, 1.01608, 1.12398, 1.04005, 1.21372, 1.42452, 1.22016, 1.26732, 1.5794, 1.23586
0.1, 0.0319375, -1.09704, -0.25509, 0.225002, -0.256044, -0.356276, -0.188699, 0.301923, -0.0451204, 0.196361, -0.232442, -0.333846, 0.105582, -0.251324, -0.370045, -0.389123, -0.656985, -0.577092, -0.655097, -0.191718, 0.0194715, 0.157283, 0.472329, 0.870379, 0.853616, 1.2073, 1.64977, 1.53262, 1.36849, 1.13345, 1.41152
0.12, 0.0319375, -0.914279, -0.796759, -0.346585, 0.288888, 0.460188, 0.81253, 0.357764, 0.325462, 0.343106, 0.120799, -0.39868, -0.195813, -0.337888, -0.658423, -1.07029, -0.420101, -0.808491, -0.569276, -0.218916, 0.196531, 0.716388, 1.03931, 1.21079, 0.99128, 1.32703, 1.20001, 1.44645, 1.5016, 1.20085, 1.1678
0.14, 0.0319375, -0.93731, -0.155881, 0.50499, -0.221106, 0.62794, 0.752041, -0.116094, 0.746068, 0.36883, -0.0312738, -0.566224, -0.40935, -0.279727, -0.243638, -0.791673, -0.944475, -0.705512, -0.153032, 0.0577207, 0.14417, 0.487905, 0.774024, 1.03312, 0.812166, 1.18022, 1.52911, 1.50464, 1.72019, 1.83578, 1.52577
0.16, 0.0319375, -0.61148, -0.0748394, -0.583277, -0.330894, 0.595491, 1.02656, 0.137797, 0.10889, 0.0429358, 0.0627865, -1.03924, -0.881917, -0.754081, -0.99475, -1.02284, -0.541501, -0.737331, -0.331271, -0.208517, -0.104207, 0.44405, 0.764759, 0.718067, 0.979639, 1.31476, 1.40462, 1.145, 1.46038, 1.39049, 1.42188
0.18, 0.0319375, -0.861562, -0.817498, -0.0873448, -0.0776598, 0.160259, 0.504177, -0.174471, -0.090668, 0.353577, 0.276256, -0.420052, 0.18928, -0.325404, -0.99669, -0.850426, -0.474238, -0.767093, -0.517888, 0.260467, 0.336139, 0.476444, 0.791226, 0.915122, 1.19456, 0.933063, 1.26688, 0.860917, 1.31079, 1.6282, 1.57425
