# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.73847, -7.23692, -8.0336, -7.93391, -7.82612, -7.46928, -7.50121, -7.35926, -7.65291, -7.15098, -7.03199, -7.21108, -7.04743, -6.53359, -6.78982, -6.99374, -7.19736, -6.51076, -6.5951, -6.54351, -6.20147, -6.41314, -6.38206, -6.01168, -6.12625, -6.2983, -6.07249, -5.94923, -5.83749, -5.621
0.02, 0.0319375, -7.62494, -7.57231, -7.97236, -7.66554, -7.21256, -7.7158, -8.05905, -7.5829, -7.20214, -7.58179, -7.78008, -6.96044, -6.96613, -7.25309, -7.66151, -7.12337, -6.99924, -6.36389, -6.51813, -6.57862, -6.3996, -6.22147, -6.45108, -6.02166, -5.9099, -6.35797, -6.13689, -6.12461, -5.71448, -5.74427
0.04, 0.0319375, -7.66449, -7.6921, -7.45825, -7.57845, -7.27262, -7.46244, -7.37873, -6.7588, -7.34376, -7.76754, -7.24432, -7.12387, -7.60257, -7.44487, -7.32976, -7.00201, -6.78232, -6.2781, -6.41345, -6.31482, -6.63325, -6.5965, -6.50266, -6.18781, -6.22308, -5.80331, -6.009, -5.8177, -5.84589, -5.92229
0.06, 0.0319375, -7.28634, -7.52236, -7.07818, -8.03403, -7.61013, -7.33736, -7.88827, -7.09913, -7.21622, -7.27442, -7.46186, -7.25726, -7.0951, -6.54581, -7.34903, -7.08251, -6.63078, -6.36475, -6.63396, -6.61562, -6.13177, -6.53735, -6.21786, -6.22719, -6.05546, -6.10763, -6.25683, -6.00014, -6.07785, -5.88426
0.08, 0.0319375, -7.74984, -7.82024, -7.82006, -8.05905, -7.49453, -7.38263, -8.05905, -7.14699, -7.30015, -7.29685, -6.90627, -6.83353, -6.88108, -6.85089, -6.8543, -6.65239, -6.56189, -6.42388, -6.58097, -6.44425, -6.33969, -6.01166, -5.97259, -6.58148, -6.61364, -6.09466, -6.11305, -6.18, -5.81692, -5.75794
0.1, 0.0319375, -8.05905, -7.30908, -7.29599, -8.05905, -8.05905, -7.94284, -7.70544, -7.3943, -7.4237, -7.12909, -7.28695, -6.8764, -7.16725, -7.10458, -6.85772, -6.79332, -7.01239, -7.02433, -6.95951, -6.47984, -6.80477, -6.78234, -6.11262, -6.28005, -6.07809, -5.93269, -5.87366, -5.78983, -5.81185, -6.10039
0.12, 0.0319375, -7.56799, -7.6772, -7.66957, -7.93374, -7.54379, -7.02357, -7.34341, -6.97186, -7.50386, -7.6721, -7.53286, -7.21293, -7.33874, -7.06631, -7.18976, -6.41298, -6.5266, -6.93607, -6.54499, -7.0792, -6.74549, -5.96289, -6.04854, -6.30336, -5.83718, -5.92799, -6.09791, -5.99398, -5.95556, -5.90827
0.14, 0.0319375, -8.05905, -8.02008, -7.84914, -7.29999, -8.05905, -7.71723, -7.6283, -7.6885, -7.07595, -7.23063, -7.06029, -6.84571, -7.50489, -7.04105, -6.82691, -6.92312, -6.85012, -6.59759, -6.46838, -6.6253, -6.47133, -6.25755, -6.17049, -6.17818, -6.58232, -6.17757, -5.90442, -6.18611, -5.6037, -5.84999
0.16, 0.0319375, -7.79079, -7.75869, -7.85015, -7.92977, -7.66037, -7.67036, -7.53569, -7.33857, -7.43955, -7.8118, -7.43772, -7.09792, -7.39887, -7.29509, -7.52234, -6.90876, -7.00693, -6.57023, -6.6445, -6.38794, -6.25351, -6.27994, -6.32353, -6.25235, -6.14618, -6.22502, -6.40895, -6.11466, -6.05057, -5.93144
0.18, 0.0319375, -7.89252, -7.76413, -8.05905, -7.94696, -7.22696, -7.66521, -7.39714, -7.29139, -7.11573, -7.04388, -7.47305, -7.44909, -6.98637, -6.70694, -7.32232, -6.96147, -6.64215, -6.37002, -6.36665, -6.66327, -7.00184, -6.43217, -6.36597, -6.36917, -6.20845, -6.13821, -5.93687, -5.88893, -5.92372, -6.03011
