# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.037554, 0.0445188, 0.0756676, 0.0704011, 0.0453309, 0.0344004, 0.053425, 0.0460238, 0.0340753, 0.0608961, 0.137875, 0.166236, 0.144324, 0.179324, 0.0768154, 0.118201, 0.202522, 0.125505, 0.13806, 0.16867, 0.114524, 0.0644032, 0.0589334, 0.0371843, 0.0356831, 0.0456004, 0.0671104, 0.0444843, 0.0422895, 0.0435028, 0.0405787, 0.0316104, 0.0523218, 0.0619616, 0.129283, 0.102012, 0.0354953, 0.0244836, 0.0323386, 0.0659927, 0.0642623, 0.076153, 0.0950604, 0.205146, 0.143419, 0.073378, 0.0484111, 0.034917, 0.0311647, 0.0210687
0.01, 0.0319375, 0.0173384, 0.0462539, 0.0751079, 0.128035, 0.0544976, 0.0469595, 0.0412421, 0.0309194, 0.0276047, 0.0912635, 0.152879, 0.143581, 0.193624, 0.151296, 0.048172, 0.0984754, 0.142573, 0.108846, 0.174001, 0.161125, 0.177416, 0.1048, 0.0440138, 0.0190848, 0.041395, 0.0285306, 0.0454122, 0.0434412, 0.032004, 0.0459826, 0.0366784, 0.0435382, 0.0469023, 0.0815203, 0.105956, 0.082874, 0.0335249, 0.0266022, 0.0331999, 0.0516451, 0.0733421, 0.0714323, 0.131804, 0.186098, 0.117191, 0.0546453, 0.0375913, 0.0383744, 0.0395427, 0.0199765
0.02, 0.0319375, 0.0178996, 0.0264427, 0.0924753, 0.132226, 0.0640873, 0.0622828, 0.0547953, 0.0558944, 0.0423207, 0.0488788, 0.0871668, 0.0536748, 0.0923368, 0.146128, 0.0731552, 0.136445, 0.194099, 0.180642, 0.115829, 0.116634, 0.132795, 0.154127, 0.038261, 0.0177781, 0.047217, 0.0288772, 0.0332779, 0.0399611, 0.0372789, 0.0355262, 0.0246321, 0.031779, 0.0435507, 0.0825702, 0.114935, 0.0661266, 0.0297894, 0.0264992, 0.0346995, 0.0531986, 0.0580537, 0.0788563, 0.104652, 0.1306, 0.107662, 0.0683073, 0.0436649, 0.0369724, 0.0562718, 0.0275861
0.03, 0.0319375, 0.0284116, 0.00942566, 0.043539, 0.118239, 0.0844772, 0.0573399, 0.0593581, 0.0960802, 0.0760382, 0.0597637, 0.110787, 0.0972347, 0.0955396, 0.0684667, 0.053801, 0.152558, 0.203584, 0.160838, 0.0933464, 0.126508, 0.120025, 0.107917, 0.0375893, 0.0364941, 0.0562491, 0.0520755, 0.0446324, 0.0441777, 0.0402054, 0.0646425, 0.0327156, 0.0405933, 0.0368506, 0.0721438, 0.122555, 0.045413, 0.029945, 0.0292428, 0.0383629, 0.0712427, 0.0766438, 0.084498, 0.107675, 0.113715, 0.14666, 0.0805332, 0.0410983, 0.0438318, 0.0770046, 0.0257235
0.04, 0.0319375, 0.0367499, 0.0269777, 0.0500515, 0.121916, 0.0917522, 0.0589468, 0.029911, 0.0599018, 0.0966875, 0.083569, 0.139615, 0.089001, 0.181071, 0.0829074, 0.118868, 0.0753579, 0.0947936, 0.157583, 0.182523, 0.0731357, 0.174543, 0.126763, 0.0425377, 0.0408708, 0.0340379, 0.0483041, 0.0483876, 0.0382988, 0.0545427, 0.0628316, 0.0405699, 0.0689645, 0.0474175, 0.0814651, 0.094968, 0.0394802, 0.0224972, 0.0345634, 0.0388614, 0.0532964, 0.0676946, 0.0751508, 0.127369, 0.150916, 0.112797, 0.0927436, 0.0523531, 0.0541212, 0.0852937, 0.0316642
0.05, 0.0319375, 0.0286298, 0.0316262, 0.0313572, 0.043608, 0.0509996, 0.0678935, 0.0629332, 0.0721688, 0.0940344, 0.10094, 0.0631575, 0.129031, 0.236486, 0.243198, 0.132788, 0.0963183, 0.155178, 0.123913, 0.191776, 0.105016, 0.180679, 0.130142, 0.0425374, 0.0415965, 0.0362765, 0.0428477, 0.0390807, 0.0222498, 0.0358941, 0.058307, 0.0502917, 0.0734524, 0.0586891, 0.102202, 0.0828795, 0.041104, 0.0167771, 0.0256485, 0.0418222, 0.0634553, 0.068411, 0.096009, 0.107027, 0.159956, 0.125786, 0.132059, 0.058183, 0.0560829, 0.0756989, 0.0317723
0.06, 0.0319375, 0.0547419, 0.0365112, 0.060324, 0.0800885, 0.0521738, 0.0440656, 0.0474373, 0.119378, 0.148587, 0.197399, 0.117608, 0.173689, 0.192327, 0.151523, 0.0864114, 0.0631595, 0.0959606, 0.0455517, 0.0977386, 0.135262, 0.15119, 0.152904, 0.030817, 0.0315367, 0.0283275, 0.0398537, 0.0311269, 0.0318696, 0.0351063, 0.0539309, 0.0478072, 0.0748889, 0.07049, 0.132938, 0.0677885, 0.0337826, 0.0218781, 0.024474, 0.0383564, 0.0607413, 0.0809054, 0.113093, 0.0838947, 0.128286, 0.123965, 0.107328, 0.0598649, 0.0624457, 0.0709442, 0.0276589
0.07, 0.0319375, 0.0417628, 0.0243554, 0.0836488, 0.0973322, 0.0528998, 0.0138, 0.0686042, 0.112394, 0.0804511, 0.124131, 0.0981218, 0.16504, 0.148478, 0.139122, 0.114754, 0.157549, 0.156529, 0.067645, 0.0765035, 0.111241, 0.157301, 0.131603, 0.0421585, 0.0224907, 0.0229746, 0.0324735, 0.0286585, 0.0239732, 0.0451046, 0.0362168, 0.0430221, 0.0681718, 0.0803067, 0.167511, 0.0605736, 0.0208456, 0.0276178, 0.0284187, 0.0375597, 0.0594243, 0.0804428, 0.102075, 0.0980457, 0.130339, 0.109884, 0.0872928, 0.0716699, 0.0725733, 0.063111, 0.0275357
0.08, 0.0319375, 0.0344328, 0.0341763, 0.047638, 0.0612074, 0.0639058, 0.018444, 0.0681012, 0.0709168, 0.0500619, 0.116223, 0.0647568, 0.188045, 0.180786, 0.114626, 0.0917929, 0.110253, 0.140306, 0.14958, 0.0728593, 0.094764, 0.154493, 0.091066, 0.0431136, 0.0384157, 0.0335674, 0.0377268, 0.0304559, 0.039221, 0.040981, 0.0291701, 0.0338657, 0.0444, 0.114793, 0.172781, 0.0462389, 0.0256153, 0.0209921, 0.0213152, 0.0442821, 0.0854356, 0.105689, 0.0821468, 0.0828786, 0.108906, 0.124088, 0.0698144, 0.0654614, 0.0845469, 0.0634001, 0.0281668
0.09, 0.0319375, 0.0295657, 0.0519927, 0.0946102, 0.053292, 0.068346, 0.0755979, 0.0723534, 0.0929366, 0.0648994, 0.0752555, 0.0866753, 0.157667, 0.123029, 0.165322, 0.137542, 0.0742258, 0.159909, 0.199551, 0.177393, 0.142307, 0.2075, 0.0957585, 0.0451763, 0.041258, 0.0365168, 0.0430641, 0.0430685, 0.0354224, 0.0313504, 0.0306468, 0.034486, 0.0258489, 0.134811, 0.154406, 0.0330634, 0.0183845, 0.0149015, 0.0118732, 0.0325079, 0.0770513, 0.125323, 0.0910496, 0.0761961, 0.127426, 0.113531, 0.0926776, 0.0858015, 0.0907864, 0.0429634, 0.0239756
