# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.00182057, 0.00152257, 0.000941072, 0.00498362, 0.00229346, 0.000996093, 0.00179404, 0.00303166, 0.00140271, 0.00100514, 0.00175394, 0.00292029, 0.00188138, 0.0015515, 0.000811605, 0.00153912, 0.00221971, 0.00233152, 0.00291423, 0.00337614, 0.00342759, 0.00268956, 0.00210564, 0.00320112, 0.0026936, 0.00252536, 0.00252393, 0.00294918, 0.00528119, 0.00613105, 0.00502217, 0.00388831, 0.00253653, 0.00434835, 0.00337983, 0.00267731, 0.0036325, 0.002371, 0.0029802, 0.00303404, 0.00254046, 0.00294965, 0.00268195, 0.00227205, 0.00399779, 0.00374236, 0.00531261, 0.00503119, 0.00518988, 0.0052047
0.01, 0.0319375, 0.00239907, 0.00292707, 0.00448543, 0.00369972, 0.00137021, 0.00107624, 0.00156471, 0.00149651, 0.00199607, 0.00272059, 0.0031751, 0.00367003, 0.00207269, 0.00149282, 0.00188114, 0.00156876, 0.00319934, 0.00268813, 0.00362775, 0.00291078, 0.00415177, 0.00300171, 0.00237207, 0.00321847, 0.00193099, 0.00386159, 0.00258017, 0.00303273, 0.00421695, 0.00523138, 0.00295286, 0.00445243, 0.00350468, 0.00325246, 0.00382917, 0.00252548, 0.00352583, 0.00318568, 0.00292612, 0.0024194, 0.00299232, 0.00278454, 0.00292624, 0.00243855, 0.00345218, 0.00359294, 0.00382288, 0.00476523, 0.00512666, 0.00553148
0.02, 0.0319375, 0.00554334, 0.000807436, 0.00412316, 0.00361741, 0.0024502, 0.00129032, 0.00209279, 0.00137937, 0.00110887, 0.00240121, 0.00472061, 0.00404587, 0.00230321, 0.00151841, 0.00172109, 0.00132616, 0.00192564, 0.00109077, 0.00166694, 0.00347368, 0.00389745, 0.00287227, 0.00296796, 0.00565773, 0.00327099, 0.0031019, 0.00273236, 0.00285896, 0.00384888, 0.00342022, 0.00367632, 0.00463803, 0.00396988, 0.00309394, 0.00325923, 0.00302334, 0.0027232, 0.00359496, 0.00317439, 0.00344754, 0.00317783, 0.00345788, 0.00290211, 0.00313446, 0.00358487, 0.00394768, 0.00522842, 0.00476867, 0.00471112, 0.00578076
0.03, 0.0319375, 0.00553207, 0.00133652, 0.00263332, 0.00488576, 0.00284267, 0.000944883, 0.00302417, 0.00103825, 0.00165469, 0.00218272, 0.00351704, 0.00331282, 0.00317938, 0.00167849, 0.00109315, 0.00164397, 0.00156673, 0.00133675, 0.00296498, 0.00402403, 0.00370269, 0.00262131, 0.0019373, 0.00414038, 0.00263308, 0.0021926, 0.00384259, 0.0029865, 0.00416875, 0.00244402, 0.00368868, 0.00438443, 0.00365839, 0.00354769, 0.00365756, 0.00483095, 0.00371314, 0.00322762, 0.00343317, 0.00348021, 0.00369723, 0.00378879, 0.00260015, 0.00398651, 0.00390873, 0.0049478, 0.00632096, 0.00451972, 0.00480924, 0.00524621
0.04, 0.0319375, 0.0033986, 0.00155162, 0.00336082, 0.00315823, 0.00226242, 0.000711784, 0.00169039, 0.00186151, 0.00249563, 0.000996927, 0.00206698, 0.00414892, 0.00338541, 0.00120186, 0.00224779, 0.00271809, 0.00290995, 0.00208744, 0.00345574, 0.00309691, 0.00290163, 0.00305341, 0.00347427, 0.00453349, 0.00348841, 0.00243082, 0.00426645, 0.00490735, 0.00366385, 0.00337198, 0.00377846, 0.00465595, 0.00364556, 0.00381005, 0.00369592, 0.00419487, 0.00407461, 0.00257125, 0.00318021, 0.00285052, 0.00395457, 0.00419202, 0.003124, 0.0036686, 0.00347463, 0.00441173, 0.00669273, 0.00542039, 0.00405537, 0.00472216
0.05, 0.0319375, 0.00279489, 0.00230119, 0.00508432, 0.00376801, 0.00189863, 0.0013308, 0.00183676, 0.00271595, 0.00308609, 0.0010785, 0.000921421, 0.00372181, 0.00205817, 0.00146925, 0.002603, 0.00176715, 0.00252429, 0.00358035, 0.00421315, 0.00359092, 0.00314682, 0.00296498, 0.00429826, 0.00391728, 0.00224779, 0.00410678, 0.00402011, 0.00361729, 0.00310154, 0.00186246, 0.00209529, 0.00454868, 0.00304414, 0.00355933, 0.00318568, 0.00329464, 0.00328632, 0.00235411, 0.00266423, 0.00356348, 0.0044319, 0.00415593, 0.00362965, 0.00344018, 0.00240275, 0.00344754, 0.00528071, 0.00312947, 0.00283602, 0.00378939
0.06, 0.0319375, 0.00349245, 0.00177726, 0.00259777, 0.00411521, 0.00235851, 0.00152234, 0.00183961, 0.00233532, 0.00100919, 0.00103408, 0.00106385, 0.00260966, 0.00271405, 0.0032521, 0.00394816, 0.00151531, 0.00272665, 0.00224969, 0.00312091, 0.00297235, 0.00384461, 0.00404421, 0.00337424, 0.00506629, 0.0026313, 0.0020119, 0.00152019, 0.00306886, 0.00403412, 0.00180487, 0.00364853, 0.00356847, 0.00357667, 0.0042763, 0.0027062, 0.00289605, 0.00299446, 0.00183402, 0.00344374, 0.0044287, 0.00310772, 0.00348972, 0.00337258, 0.00304711, 0.00388451, 0.00450536, 0.00625237, 0.00380115, 0.00281973, 0.00438478
0.07, 0.0319375, 0.00418454, 0.000706185, 0.0024288, 0.00346703, 0.00253213, 0.00180963, 0.00300872, 0.00384497, 0.00249159, 0.00331674, 0.0023, 0.00297996, 0.00229512, 0.00269514, 0.00269134, 0.0019354, 0.00200059, 0.00132842, 0.00149663, 0.00266281, 0.00415106, 0.00424413, 0.00395789, 0.00253606, 0.00201547, 0.00201106, 0.00200309, 0.00205901, 0.0033803, 0.00280654, 0.0067633, 0.0031404, 0.0022937, 0.00403531, 0.0048338, 0.00344244, 0.00305198, 0.00353308, 0.00427024, 0.00327753, 0.00303701, 0.00278692, 0.00293955, 0.00450085, 0.00476463, 0.00321847, 0.00540522, 0.00481612, 0.00488944, 0.00522794
0.08, 0.0319375, 0.00393284, 0.00174287, 0.00296914, 0.00297925, 0.00107159, 0.00286074, 0.00410524, 0.00356824, 0.00121722, 0.00309263, 0.00349162, 0.00291269, 0.00225968, 0.00340965, 0.00276517, 0.00187686, 0.00189209, 0.00137187, 0.00267458, 0.00163624, 0.00450347, 0.00624657, 0.00377526, 0.0029651, 0.00302001, 0.00241144, 0.00283542, 0.00375293, 0.00389318, 0.0032035, 0.00349435, 0.00304509, 0.00329012, 0.00453764, 0.00523269, 0.00348093, 0.00267196, 0.00362881, 0.00299125, 0.00304224, 0.00256733, 0.00306577, 0.0030502, 0.00569222, 0.00510852, 0.00314171, 0.00657573, 0.00688999, 0.00468431, 0.00499833
0.09, 0.0319375, 0.00380281, 0.00185496, 0.00346536, 0.0017556, 0.00100931, 0.00123651, 0.00277468, 0.00429671, 0.00177012, 0.0019975, 0.00261049, 0.00235768, 0.0022083, 0.00207852, 0.00288927, 0.00345016, 0.00167861, 0.00169515, 0.0031486, 0.00167718, 0.00324925, 0.00303451, 0.00285813, 0.00312733, 0.00314302, 0.00193873, 0.00199488, 0.00189554, 0.00370198, 0.00530739, 0.00485041, 0.00555981, 0.00398746, 0.00548193, 0.00360375, 0.00339266, 0.00297818, 0.00333361, 0.00268219, 0.00305911, 0.00267398, 0.00256816, 0.0030048, 0.00449611, 0.00501944, 0.00402367, 0.00733066, 0.00533419, 0.00413349, 0.00456506
