# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.00868342, 0.00678308, 0.00513248, 0.0121272, 0.0062224, 0.00504838, 0.00567326, 0.00247173, 0.00252904, 0.00691379, 0.00434597, 0.00677609, 0.00493392, 0.00569851, 0.00481482, 0.0047065, 0.00721646, 0.00890451, 0.00947526, 0.00812641, 0.00914409, 0.00779503, 0.00604847, 0.00488066, 0.00391336, 0.00464527, 0.00723409, 0.0103507, 0.00944361, 0.00999092, 0.00967764, 0.0116595, 0.0107388, 0.00894397, 0.00655678, 0.00467766, 0.00510022, 0.00761097, 0.00682748, 0.00750342, 0.00536763, 0.00495492, 0.00586313, 0.00538755, 0.00464219, 0.0044427, 0.0039573, 0.00484792, 0.00486108, 0.00385197
0.01, 0.0319375, 0.00788989, 0.00651154, 0.00315787, 0.00791497, 0.00997157, 0.00670386, 0.00623614, 0.0026313, 0.00696469, 0.00997652, 0.0140371, 0.00589193, 0.00470519, 0.00728605, 0.00650929, 0.00426965, 0.00423903, 0.00543735, 0.00626197, 0.00666017, 0.0058527, 0.00576334, 0.00458618, 0.00954032, 0.00916418, 0.00642247, 0.0104923, 0.0106, 0.0128244, 0.0116669, 0.00978766, 0.011266, 0.0116136, 0.00900056, 0.00725256, 0.00435381, 0.00454963, 0.00641466, 0.00813551, 0.00509096, 0.00496832, 0.00388498, 0.00413955, 0.00583706, 0.00353379, 0.00402272, 0.00301752, 0.00524941, 0.00449255, 0.00367585
0.02, 0.0319375, 0.00704341, 0.00558613, 0.00657076, 0.00795624, 0.00673157, 0.00260146, 0.00570266, 0.00608414, 0.00602311, 0.00645019, 0.0105009, 0.00443036, 0.0069963, 0.0060461, 0.006744, 0.00594692, 0.00707573, 0.00798628, 0.00706271, 0.011409, 0.0081011, 0.00833119, 0.00852978, 0.00629668, 0.00846158, 0.00734545, 0.0105723, 0.0101707, 0.00878812, 0.0156244, 0.0118425, 0.0105686, 0.0127144, 0.0114453, 0.00782295, 0.00477484, 0.00455532, 0.00826451, 0.00907546, 0.00789758, 0.00484175, 0.00353403, 0.00308134, 0.00563948, 0.00364081, 0.00353664, 0.00387157, 0.00451142, 0.00339468, 0.00371932
0.03, 0.0319375, 0.00373547, 0.0030357, 0.00631385, 0.00601008, 0.00613034, 0.00349625, 0.00321693, 0.0032073, 0.00318865, 0.0044338, 0.00661884, 0.00709325, 0.0053751, 0.00640305, 0.00813871, 0.00588293, 0.00977775, 0.00831074, 0.00937122, 0.00876118, 0.011046, 0.00921036, 0.00785938, 0.00588221, 0.00899808, 0.00530158, 0.00613366, 0.0117117, 0.0122877, 0.00903175, 0.00916689, 0.0123535, 0.00792892, 0.0050236, 0.00465975, 0.00531332, 0.00524941, 0.00755075, 0.00715219, 0.00560723, 0.00657988, 0.00416222, 0.00506452, 0.00537024, 0.00576073, 0.00487876, 0.00501589, 0.00397808, 0.00319269, 0.00340941
0.04, 0.0319375, 0.00317439, 0.00144496, 0.00537759, 0.00665721, 0.00623176, 0.0091083, 0.00600095, 0.00299517, 0.00618852, 0.0062179, 0.0123916, 0.00591303, 0.00813894, 0.00670824, 0.00280071, 0.0078317, 0.00963206, 0.00660273, 0.00990169, 0.00653866, 0.0117259, 0.0131763, 0.0087821, 0.00474399, 0.00446062, 0.00568322, 0.00496713, 0.00894031, 0.0122551, 0.0130445, 0.00680332, 0.00949262, 0.00870434, 0.003925, 0.00444852, 0.00408114, 0.00515821, 0.00498279, 0.00601482, 0.00518928, 0.0084215, 0.00529162, 0.00533348, 0.00587854, 0.00583315, 0.00600498, 0.00631954, 0.00583801, 0.00499252, 0.00376944
0.05, 0.0319375, 0.00865506, 0.00341974, 0.00201321, 0.0070994, 0.00406356, 0.00809472, 0.0067877, 0.00621197, 0.00592535, 0.00727043, 0.00856027, 0.00867562, 0.00476843, 0.0043328, 0.00773837, 0.00744769, 0.00441552, 0.00839041, 0.0135611, 0.012058, 0.0116894, 0.00790905, 0.00680593, 0.00528901, 0.00391954, 0.00688301, 0.00894823, 0.00812499, 0.00866711, 0.0132822, 0.00812404, 0.0110767, 0.0111283, 0.00517446, 0.00397867, 0.00412732, 0.00470317, 0.00471148, 0.00765864, 0.00530419, 0.00760269, 0.00646488, 0.00535601, 0.00562596, 0.00570775, 0.00430502, 0.00469914, 0.00599219, 0.0052302, 0.00439855
0.06, 0.0319375, 0.00523103, 0.00317831, 0.00474577, 0.00651344, 0.00387204, 0.00501399, 0.00375863, 0.0053221, 0.00526103, 0.00418774, 0.00863379, 0.0046817, 0.00223684, 0.00400004, 0.00637486, 0.00778072, 0.00525949, 0.00508942, 0.0117666, 0.012063, 0.0110701, 0.00613011, 0.0076383, 0.0102584, 0.00575422, 0.00599704, 0.0135487, 0.00907853, 0.00569661, 0.00754933, 0.00791911, 0.0121636, 0.00920209, 0.00952851, 0.0076758, 0.00462807, 0.00367537, 0.00538423, 0.00460208, 0.00489193, 0.00895602, 0.00709431, 0.00616612, 0.00680605, 0.00583552, 0.00399375, 0.00390826, 0.00398485, 0.00451201, 0.00331448
0.07, 0.0319375, 0.0117029, 0.00447985, 0.00163457, 0.00587179, 0.00640897, 0.00306827, 0.00602323, 0.00426526, 0.00542122, 0.00696872, 0.00658935, 0.00660522, 0.00468929, 0.00408398, 0.00725682, 0.00686312, 0.00606233, 0.00442478, 0.0113346, 0.0164545, 0.0119833, 0.00781786, 0.00913618, 0.0103625, 0.00448744, 0.0035971, 0.00691485, 0.00672589, 0.00697973, 0.0062609, 0.00727267, 0.0103715, 0.00975119, 0.0140216, 0.0102051, 0.0040213, 0.00377419, 0.00727125, 0.00454464, 0.00709112, 0.00874263, 0.00455663, 0.00518525, 0.0050606, 0.00861653, 0.00476736, 0.00508432, 0.00553314, 0.00590035, 0.00458547
0.08, 0.0319375, 0.0113003, 0.0017656, 0.00480331, 0.00432627, 0.00538648, 0.00170098, 0.00483783, 0.00310641, 0.00535139, 0.00748828, 0.00518822, 0.010592, 0.00799042, 0.00389532, 0.00489027, 0.0113231, 0.00946806, 0.00632096, 0.00835743, 0.00786399, 0.00710354, 0.00343044, 0.00651924, 0.00727847, 0.00583113, 0.00627109, 0.00610736, 0.0116275, 0.00906908, 0.00737303, 0.00647494, 0.00872455, 0.0074219, 0.00980301, 0.00980159, 0.0058655, 0.00316227, 0.00656235, 0.00535376, 0.00635472, 0.00582165, 0.00476226, 0.00476736, 0.0039123, 0.00404979, 0.00420614, 0.0057477, 0.00603473, 0.00512975, 0.00482621
0.09, 0.0319375, 0.00961176, 0.00226801, 0.0035604, 0.0032666, 0.00329773, 0.00328216, 0.00799574, 0.00497081, 0.00449943, 0.00532684, 0.00536265, 0.00958507, 0.00757725, 0.00426443, 0.00387869, 0.0104956, 0.00880053, 0.00527573, 0.00546082, 0.00586171, 0.00377419, 0.00931701, 0.0099829, 0.00942472, 0.00804446, 0.00957515, 0.0043925, 0.0100408, 0.0106941, 0.012388, 0.00702755, 0.0131503, 0.0113364, 0.00667604, 0.00600095, 0.00489406, 0.00481731, 0.00643029, 0.0057164, 0.0056051, 0.00582462, 0.00481482, 0.00455414, 0.00506535, 0.00492668, 0.00394851, 0.00526743, 0.00502715, 0.00427796, 0.00389282
