# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.0776628, 0.0509172, 0.438247, 0.461237, 0.095534, 0.115281, 0.0461669, 0.0556701, 0.0210315, 0.0065929, 0.00963313, 0.00485171, 0.00651415, 0.00953784, 0.0136082, 0.0103606, 0.0109825, 0.00693841, 0.00702175, 0.0135082, 0.029039, 0.0571051, 0.0505013, 0.0572077, 0.0391126, 0.0390875, 0.0744934, 0.0604513, 0.0241001, 0.0221829, 0.0114818, 0.0198614, 0.0378708, 0.0497229, 0.0315869, 0.0142544, 0.0126725, 0.0081542, 0.00897611, 0.00886871, 0.00660629, 0.00913193, 0.00915591, 0.0119292, 0.0100826, 0.0064856, 0.00771105, 0.00910759, 0.0122366, 0.00916807
0.01, 0.0319375, 0.0612498, 0.0840548, 0.316583, 0.256065, 0.0980971, 0.102599, 0.044137, 0.0254083, 0.0188619, 0.0142501, 0.0119813, 0.00609788, 0.010202, 0.0107211, 0.0157306, 0.0130621, 0.0129701, 0.0113753, 0.0153402, 0.0213336, 0.0410811, 0.0422308, 0.0354811, 0.0584536, 0.0289947, 0.0403692, 0.0447513, 0.0393128, 0.0340091, 0.0193329, 0.0150131, 0.0175472, 0.0225309, 0.0310095, 0.0244369, 0.0141445, 0.0101233, 0.00602584, 0.00813327, 0.00741231, 0.00719634, 0.00764977, 0.00693888, 0.00986888, 0.00875645, 0.00732593, 0.00652445, 0.00759015, 0.00703465, 0.00724072
0.02, 0.0319375, 0.0478436, 0.0844962, 0.17536, 0.212599, 0.112056, 0.0262108, 0.0388758, 0.0238818, 0.0162149, 0.0124885, 0.00978223, 0.00844444, 0.00958413, 0.00557594, 0.00972037, 0.0119182, 0.0124073, 0.0183392, 0.0203109, 0.0134727, 0.0265961, 0.0299698, 0.0325562, 0.0365892, 0.022369, 0.0308038, 0.0265989, 0.0340997, 0.0237132, 0.0186256, 0.0182997, 0.0155441, 0.0207761, 0.0331873, 0.0210161, 0.00978731, 0.00756625, 0.00676153, 0.0121693, 0.00937831, 0.0057938, 0.00977397, 0.00800816, 0.0140382, 0.00918248, 0.00573584, 0.00501921, 0.0059801, 0.00635069, 0.00485729
0.03, 0.0319375, 0.062669, 0.0316363, 0.101851, 0.0953557, 0.058445, 0.0143623, 0.0224403, 0.0203971, 0.0158774, 0.0131796, 0.00828898, 0.00836039, 0.00940476, 0.0137123, 0.0159959, 0.0183514, 0.0134558, 0.0199021, 0.014093, 0.0181934, 0.0400674, 0.0222249, 0.0242697, 0.0310678, 0.0201171, 0.0244761, 0.0178667, 0.0306217, 0.01719, 0.0147664, 0.00849633, 0.014068, 0.0165421, 0.024096, 0.0132673, 0.0132503, 0.00709763, 0.0072941, 0.0107655, 0.0084202, 0.00537083, 0.00924875, 0.00887178, 0.0116209, 0.00807663, 0.00517292, 0.00675111, 0.00551571, 0.0046607, 0.0037331
0.04, 0.0319375, 0.0553532, 0.0585242, 0.117909, 0.0860754, 0.0261534, 0.0153499, 0.0294459, 0.0336197, 0.0181391, 0.00653641, 0.00887379, 0.00915071, 0.0125695, 0.0196743, 0.0219337, 0.0149497, 0.0157396, 0.0164402, 0.00636005, 0.00454998, 0.0197914, 0.0151446, 0.0232289, 0.0252793, 0.0128547, 0.0196379, 0.0269493, 0.0239274, 0.0188308, 0.0117253, 0.00719823, 0.0116226, 0.019755, 0.0212914, 0.0165116, 0.0119093, 0.0099338, 0.00751656, 0.0092139, 0.00874724, 0.00990877, 0.00792242, 0.00744497, 0.0130836, 0.00987348, 0.00861074, 0.0077463, 0.00420567, 0.00579819, 0.00694161
0.05, 0.0319375, 0.0485953, 0.0111421, 0.0364118, 0.0544143, 0.0218207, 0.0253449, 0.0589555, 0.0226206, 0.00832008, 0.00784743, 0.00645114, 0.0133607, 0.0285578, 0.034269, 0.0247327, 0.015129, 0.0162882, 0.0154836, 0.00913559, 0.0109824, 0.0192385, 0.0269952, 0.0283552, 0.0326944, 0.0202187, 0.0210266, 0.0177995, 0.0152531, 0.012009, 0.0111366, 0.00738687, 0.00952237, 0.0146506, 0.0198272, 0.0100608, 0.00483154, 0.00905231, 0.0111462, 0.0104285, 0.00884295, 0.0120509, 0.00743858, 0.00574699, 0.0126559, 0.011995, 0.0100228, 0.0108162, 0.00653961, 0.00719409, 0.0099685
0.06, 0.0319375, 0.127246, 0.026177, 0.0204771, 0.095207, 0.0924413, 0.0270211, 0.0830499, 0.0428127, 0.0113117, 0.0113129, 0.00522818, 0.0175224, 0.0269707, 0.0894964, 0.0366195, 0.0116493, 0.0144756, 0.0153429, 0.0146724, 0.0109954, 0.0126252, 0.018959, 0.0209934, 0.0236871, 0.0221444, 0.0178293, 0.00979746, 0.0138874, 0.015992, 0.00790704, 0.010342, 0.0156917, 0.0199707, 0.0286096, 0.016661, 0.0111245, 0.015057, 0.0138154, 0.00868472, 0.0135647, 0.0103521, 0.00867314, 0.00595794, 0.0102956, 0.0104513, 0.0107596, 0.00997452, 0.0085221, 0.00511136, 0.00765971
0.07, 0.0319375, 0.187039, 0.080504, 0.0670567, 0.176619, 0.36979, 0.182515, 0.0804969, 0.124425, 0.0212305, 0.0122516, 0.012694, 0.0149535, 0.0313007, 0.0804485, 0.0914348, 0.0219308, 0.00956228, 0.00858734, 0.0127741, 0.00745952, 0.0112078, 0.0118693, 0.0138731, 0.0219927, 0.0230772, 0.0200981, 0.0157342, 0.0189128, 0.0227608, 0.0104316, 0.0152422, 0.0184218, 0.029702, 0.0354716, 0.0198754, 0.00983713, 0.0100771, 0.00892932, 0.00740782, 0.0130217, 0.00854148, 0.00802732, 0.00699097, 0.013084, 0.0106856, 0.0111072, 0.0101137, 0.0086319, 0.00656223, 0.0072683
0.08, 0.0319375, 0.146705, 0.0280615, 0.0362365, 0.30226, 0.618469, 0.356736, 0.211454, 0.349338, 0.0732032, 0.0325006, 0.0479838, 0.0205691, 0.0569646, 0.0995299, 0.273618, 0.059975, 0.0321334, 0.0148496, 0.015705, 0.00702897, 0.0112565, 0.0119009, 0.0138992, 0.0227063, 0.0244241, 0.0190734, 0.0345176, 0.0386903, 0.0237551, 0.0168806, 0.028288, 0.0232239, 0.0586044, 0.0638616, 0.0169456, 0.00899158, 0.00712568, 0.00866321, 0.00612015, 0.0106881, 0.00829678, 0.00704661, 0.00822136, 0.0103228, 0.0098252, 0.00772856, 0.00844172, 0.0104824, 0.0101369, 0.00876165
0.09, 0.0319375, 0.119273, 0.0247386, 0.0197478, 0.205104, 0.48654, 0.195608, 0.18634, 0.64584, 0.194729, 0.0567309, 0.0640926, 0.0219843, 0.0798756, 0.0524886, 0.395271, 0.113989, 0.0638739, 0.0168538, 0.0216444, 0.0115116, 0.0244808, 0.0237315, 0.0131032, 0.0179269, 0.0318158, 0.0352367, 0.0540022, 0.0322744, 0.028628, 0.0316527, 0.0408406, 0.0562908, 0.0929472, 0.0913096, 0.0258065, 0.0071374, 0.00614255, 0.00743302, 0.00885099, 0.00658923, 0.00465963, 0.00745633, 0.0079042, 0.00929505, 0.00972132, 0.00867326, 0.00783513, 0.00758163, 0.00727457, 0.00911019
0.1, 0.0319375, 0.137292, 0.0440208, 0.0211883, 0.1458, 0.22231, 0.0476946, 0.174565, 0.867913, 0.317163, 0.110328, 0.129678, 0.0448845, 0.19671, 0.0758862, 0.448743, 0.195591, 0.0710246, 0.0290495, 0.034523, 0.0168649, 0.033694, 0.0235863, 0.0164026, 0.0290038, 0.0270543, 0.0507945, 0.0837222, 0.0273303, 0.0285627, 0.0508989, 0.0597671, 0.0819335, 0.124367, 0.100827, 0.0381328, 0.00873424, 0.010879, 0.00569329, 0.00721125, 0.00569033, 0.00585709, 0.00775884, 0.0075595, 0.00804352, 0.00903707, 0.0133114, 0.0109752, 0.00872419, 0.0062737, 0.00732072
