Time (seconds),x0,x1,x2,x3,x4,x5
0.0,1176,1187,0,1194,1198,0
0.007,1178,1187,0,1203,1198,0
0.015,1186,1187,0,1200,1198,0
0.022,1179,1187,0,1196,1198,0
0.03,1180,1187,0,1198,1198,0
0.038,1178,1187,0,1193,1198,0
0.047,1184,1187,0,1204,1198,0
0.056,1176,1187,0,1197,1198,0
0.066,1176,1187,0,1202,1198,0
0.076,1179,1187,0,1200,1198,0
0.087,1181,1187,0,1194,1198,0
0.096,1174,1187,0,1193,1198,0
0.106,1180,1187,0,1202,1198,0
0.115,1174,1187,0,1195,1198,0
0.128,1178,1187,0,1200,1198,0
0.14,1176,1187,0,1199,1198,0
0.151,1179,1187,0,1198,1198,0
0.16,1175,1187,0,1203,1198,0
0.17,1180,1187,0,1194,1198,0
0.179,1181,1187,0,1199,1198,0
0.187,1183,1187,0,1202,1198,0
0.195,1180,1187,0,1196,1198,0
0.202,1178,1187,0,1198,1198,0
0.211,1176,1187,0,1195,1198,0
0.219,1180,1187,0,1193,1198,0
0.226,1176,1187,0,1197,1198,0
0.236,1179,1186,0,1197,1198,0
0.244,1178,1186,0,1197,1198,0
0.252,1178,1186,0,1200,1198,0
0.26,1177,1186,0,1199,1198,0
0.268,1178,1186,0,1197,1198,0
0.276,1179,1186,0,1195,1198,0
0.284,1178,1186,0,1195,1198,0
0.29,1175,1186,0,1199,1198,0
0.299,1176,1186,0,1199,1198,0
0.306,1177,1186,0,1201,1198,0
0.315,1178,1186,0,1195,1198,0
0.323,1177,1186,0,1200,1198,0
0.331,1178,1186,0,1205,1198,0
0.339,1178,1186,0,1196,1198,0
0.347,1175,1186,0,1197,1198,0
0.356,1176,1186,0,1198,1198,0
0.364,1180,1186,0,1198,1198,0
0.372,1176,1186,0,1191,1198,0
0.381,1177,1186,0,1198,1198,0
0.389,1181,1186,0,1197,1198,0
0.398,1178,1186,0,1200,1198,0
0.407,1179,1186,0,1198,1198,0
0.416,1184,1186,0,1206,1198,0
0.427,1179,1186,0,1203,1198,0
0.436,1174,1186,0,1203,1198,0
0.446,1180,1186,0,1211,1198,0
0.454,1180,1186,0,1210,1198,0
0.462,1179,1186,0,1212,1198,0
0.47,1176,1185,0,1214,1198,0
0.48,1180,1185,0,1219,1198,0
0.489,1179,1185,0,1229,1198,0
0.497,1180,1185,0,1229,1198,0
0.505,1178,1185,0,1233,1199,0
0.512,1181,1185,0,1228,1199,0
0.52,1179,1185,0,1231,1199,0
0.529,1179,1185,0,1230,1199,0
0.536,1180,1185,0,1226,1199,0
0.544,1181,1185,0,1226,1199,0
0.552,1181,1185,0,1229,1199,0
0.56,1180,1185,0,1223,1199,0
0.569,1179,1185,0,1226,1199,0
0.576,1178,1185,0,1229,1200,0
0.584,1179,1185,0,1235,1200,0
0.591,1187,1185,0,1236,1200,0
0.599,1178,1185,0,1230,1200,0
0.607,1178,1185,0,1231,1200,0
0.614,1181,1185,0,1232,1200,0
0.622,1180,1185,0,1227,1200,0
0.629,1179,1185,0,1233,1200,0
0.636,1182,1185,0,1232,1200,0
0.644,1179,1185,0,1237,1201,0
0.652,1178,1185,0,1237,1201,0
0.66,1182,1185,0,1229,1201,0
0.669,1183,1185,0,1243,1201,42
0.675,1179,1185,0,1238,1201,0
0.683,1183,1185,0,1241,1201,0
0.692,1176,1185,0,1248,1201,47
0.7,1180,1185,0,1253,1201,52
0.71,1179,1185,0,1251,1201,50
0.719,1177,1185,0,1256,1201,55
0.729,1180,1185,0,1256,1201,55
0.739,1177,1185,0,1257,1201,56
0.748,1183,1185,0,1264,1201,63
